#SampleID	N_Source	Dose	miRNA	Treatment	Pair
MI.M03992_0869.001.N702---S502.Lys10uMsc1	Lysine	10	all5	scramble	1
MI.M03992_0869.001.N703---S502.Lys10uMp2	Lysine	10	all5	plant	2
MI.M03992_0869.001.N701---S502.Lys10uMp1	Lysine	10	all5	plant	1
MI.M03992_0869.001.N720---S511.Lys827sc3	Lysine	2	ath827	scramble	3
MI.M03992_0869.001.N721---S511.Lys827p4	Lysine	2	ath827	plant	4
MI.M03992_0869.001.N718---S511.Lys827sc2	Lysine	2	ath827	scramble	2
MI.M03992_0869.001.N719---S511.Lys827p3	Lysine	2	ath827	plant	3
MI.M03992_0869.001.N724---S511.Lys827sc5	Lysine	2	ath827	scramble	5
MI.M03992_0869.001.N722---S511.Lys827sc4	Lysine	2	ath827	scramble	4
MI.M03992_0869.001.N723---S511.Lys827p5	Lysine	2	ath827	plant	5
MI.M03992_0869.001.N720---S507.Lys159sc1	Lysine	2	ath159a	scramble	1
MI.M03992_0869.001.N721---S507.Lys159p2	Lysine	2	ath159a	plant	2
MI.M03992_0869.001.N718---S507.Gly827sc5	Glycine	2	ath827	scramble	5
MI.M03992_0869.001.N719---S507.Lys159p1	Lysine	2	ath159a	plant	1
MI.M03992_0869.001.N724---S507.Lys159sc3	Lysine	2	ath159a	scramble	3
MI.M03992_0869.001.N726---S507.Lys159p4	Lysine	2	ath159a	plant	4
MI.M03992_0869.001.N722---S507.Lys159sc2	Lysine	2	ath159a	scramble	2
MI.M03992_0869.001.N723---S507.Lys159p3	Lysine	2	ath159a	plant	3
MI.M03992_0869.001.N724---S506.Gly827sc2	Glycine	2	ath827	scramble	2
MI.M03992_0869.001.N726---S506.Gly827p3	Glycine	2	ath827	plant	3
MI.M03992_0869.001.N722---S506.Gly827sc1	Glycine	2	ath827	scramble	1
MI.M03992_0869.001.N723---S506.Gly827p2	Glycine	2	ath827	plant	2
MI.M03992_0869.001.N729---S506.Gly827sc4	Glycine	2	ath827	scramble	4
MI.M03992_0869.001.N716---S507.Gly827p5	Glycine	2	ath827	plant	5
MI.M03992_0869.001.N727---S506.Gly827sc3	Glycine	2	ath827	scramble	3
MI.M03992_0869.001.N728---S506.Gly827p4	Glycine	2	ath827	plant	4
MI.M03992_0869.001.N724---S510.Lys158sc4	Lysine	2	ath158	scramble	4
MI.M03992_0869.001.N726---S510.Lys158p5	Lysine	2	ath158	plant	5
MI.M03992_0869.001.N722---S510.Lys158sc3	Lysine	2	ath158	scramble	3
MI.M03992_0869.001.N723---S510.Lys158p4	Lysine	2	ath158	plant	4
MI.M03992_0869.001.N729---S510.Lys827sc1	Lysine	2	ath827	scramble	1
MI.M03992_0869.001.N716---S511.Lys827p2	Lysine	2	ath827	plant	2
MI.M03992_0869.001.N727---S510.Lys158sc5	Lysine	2	ath158	scramble	5
MI.M03992_0869.001.N728---S510.Lys827p1	Lysine	2	ath827	plant	1
MI.M03992_0869.001.N729---S507.Lys159sc5	Lysine	2	ath159a	scramble	5
MI.M03992_0869.001.N716---S510.Lys158p1	Lysine	2	ath158	plant	1
MI.M03992_0869.001.N727---S507.Lys159sc4	Lysine	2	ath159a	scramble	4
MI.M03992_0869.001.N728---S507.Lys159p5	Lysine	2	ath159a	plant	5
MI.M03992_0869.001.N720---S510.Lys158sc2	Lysine	2	ath158	scramble	2
MI.M03992_0869.001.N721---S510.Lys158p3	Lysine	2	ath158	plant	3
MI.M03992_0869.001.N718---S510.Lys158sc1	Lysine	2	ath158	scramble	1
MI.M03992_0869.001.N719---S510.Lys158p2	Lysine	2	ath158	plant	2
MI.M03992_0869.001.N724---S503.Pro5642sc5	Proline	2	ath5642b	scramble	5
MI.M03992_0869.001.N726---S503.Pro827p1	Proline	2	ath827	plant	1
MI.M03992_0869.001.N722---S503.Pro5642sc4	Proline	2	ath5642b	scramble	4
MI.M03992_0869.001.N723---S503.Pro5642p5	Proline	2	ath5642b	plant	5
MI.M03992_0869.001.N729---S503.Pro827sc2	Proline	2	ath827	scramble	2
MI.M03992_0869.001.N716---S505.Pro827p3	Proline	2	ath827	plant	3
MI.M03992_0869.001.N727---S503.Pro827sc1	Proline	2	ath827	scramble	1
MI.M03992_0869.001.N728---S503.Pro827p2	Proline	2	ath827	plant	2
MI.M03992_0869.001.N729---S502.Pro5642sc1	Proline	2	ath5642b	scramble	1
MI.M03992_0869.001.N716---S503.Pro5642p2	Proline	2	ath5642b	plant	2
MI.M03992_0869.001.N727---S502.mix827sc5	mix_17AA	2	ath827	scramble	5
MI.M03992_0869.001.N728---S502.Pro5642p1	Proline	2	ath5642b	plant	1
MI.M03992_0869.001.N720---S503.Pro5642sc3	Proline	2	ath5642b	scramble	3
MI.M03992_0869.001.N721---S503.Pro5642p4	Proline	2	ath5642b	plant	4
MI.M03992_0869.001.N718---S503.Pro5642sc2	Proline	2	ath5642b	scramble	2
MI.M03992_0869.001.N719---S503.Pro5642p3	Proline	2	ath5642b	plant	3
MI.M03992_0869.001.N729---S505.Gly5642sc3	Glycine	2	ath5642b	scramble	3
MI.M03992_0869.001.N716---S506.Gly5642p4	Glycine	2	ath5642b	plant	4
MI.M03992_0869.001.N727---S505.Gly5642sc2	Glycine	2	ath5642b	scramble	2
MI.M03992_0869.001.N728---S505.Gly5642p3	Glycine	2	ath5642b	plant	3
MI.M03992_0869.001.N720---S506.Gly5642sc5	Glycine	2	ath5642b	scramble	5
MI.M03992_0869.001.N721---S506.Gly827p1	Glycine	2	ath827	plant	1
MI.M03992_0869.001.N718---S506.Gly5642sc4	Glycine	2	ath5642b	scramble	4
MI.M03992_0869.001.N719---S506.Gly5642p5	Glycine	2	ath5642b	plant	5
MI.M03992_0869.001.N720---S505.Pro827sc4	Proline	2	ath827	scramble	4
MI.M03992_0869.001.N721---S505.Pro827p5	Proline	2	ath827	plant	5
MI.M03992_0869.001.N718---S505.Pro827sc3	Proline	2	ath827	scramble	3
MI.M03992_0869.001.N719---S505.Pro827p4	Proline	2	ath827	plant	4
MI.M03992_0869.001.N724---S505.Gly5642sc1	Glycine	2	ath5642b	scramble	1
MI.M03992_0869.001.N726---S505.Gly5642p2	Glycine	2	ath5642b	plant	2
MI.M03992_0869.001.N722---S505.Pro827sc5	Proline	2	ath827	scramble	5
MI.M03992_0869.001.N723---S505.Gly5642p1	Glycine	2	ath5642b	plant	1
MI.M03992_0869.001.N706---S511.Phe10uMsc4	Phenylalanine	10	all5	scramble	4
MI.M03992_0869.001.N707---S511.Phe10uMp5	Phenylalanine	10	all5	plant	5
