Well_ID;Treatment;N_souce;miRNA;Pair;Dose(uM);Time;OD_600
A1;plant_miRNA;Mix_17AA;159;1;2;0;0.135700002
A2;scrambled_miRNA;Mix_17AA;159;1;2;0;0.147699997
A3;N.A.;Mix_17AA;N.A.;2;N.A.;0;0.116599999
A4;No_miRNA;Mix_17AA;N.A.;2;N.A.;0;0.150199994
B1;No_miRNA;Mix_17AA;N.A.;1;N.A.;0;0.127000004
B2;N.A.;Mix_17AA;N.A.;1;N.A.;0;0.095299996
B3;scrambled_miRNA;Mix_17AA;159;2;2;0;0.129800007
B4;plant_miRNA;Mix_17AA;159;2;2;0;0.122699998
C1;scrambled_miRNA;Mix_17AA;159;3;2;0;0.1096
C2;plant_miRNA;Mix_17AA;159;3;2;0;0.147300005
C3;N.A.;Mix_17AA;N.A.;4;N.A.;0;0.1215
C4;No_miRNA;Mix_17AA;N.A.;4;N.A.;0;0.145999998
C5;plant_miRNA;Mix_17AA;159;5;2;0;0.139300004
C6;scrambled_miRNA;Mix_17AA;159;5;2;0;0.142199993
D1;No_miRNA;Mix_17AA;N.A.;3;N.A.;0;0.1241
D2;N.A.;Mix_17AA;N.A.;3;N.A.;0;0.089900002
D3;plant_miRNA;Mix_17AA;159;4;2;0;0.116800003
D4;scrambled_miRNA;Mix_17AA;159;4;2;0;0.116400003
D5;No_miRNA;Mix_17AA;N.A.;5;N.A.;0;0.117700003
D6;N.A.;Mix_17AA;N.A.;5;N.A.;0;0.083899997
A1;plant_miRNA;Mix_17AA;159;1;2;1;0.138099998
A2;scrambled_miRNA;Mix_17AA;159;1;2;1;0.164399996
A3;N.A.;Mix_17AA;N.A.;2;N.A.;1;0.136700004
A4;No_miRNA;Mix_17AA;N.A.;2;N.A.;1;0.181600004
B1;No_miRNA;Mix_17AA;N.A.;1;N.A.;1;0.108999997
B2;N.A.;Mix_17AA;N.A.;1;N.A.;1;0.085900001
B3;scrambled_miRNA;Mix_17AA;159;2;2;1;0.117799997
B4;plant_miRNA;Mix_17AA;159;2;2;1;0.118600003
C1;scrambled_miRNA;Mix_17AA;159;3;2;1;0.108999997
C2;plant_miRNA;Mix_17AA;159;3;2;1;0.181099996
C3;N.A.;Mix_17AA;N.A.;4;N.A.;1;0.135499999
C4;No_miRNA;Mix_17AA;N.A.;4;N.A.;1;0.171000004
C5;plant_miRNA;Mix_17AA;159;5;2;1;0.163800001
C6;scrambled_miRNA;Mix_17AA;159;5;2;1;0.167099997
D1;No_miRNA;Mix_17AA;N.A.;3;N.A.;1;0.119599998
D2;N.A.;Mix_17AA;N.A.;3;N.A.;1;0.089100003
D3;plant_miRNA;Mix_17AA;159;4;2;1;0.124600001
D4;scrambled_miRNA;Mix_17AA;159;4;2;1;0.122900002
D5;No_miRNA;Mix_17AA;N.A.;5;N.A.;1;0.136099994
D6;N.A.;Mix_17AA;N.A.;5;N.A.;1;0.079400003
A1;plant_miRNA;Mix_17AA;159;1;2;2;0.142299995
A2;scrambled_miRNA;Mix_17AA;159;1;2;2;0.1752
A3;N.A.;Mix_17AA;N.A.;2;N.A.;2;0.131200001
A4;No_miRNA;Mix_17AA;N.A.;2;N.A.;2;0.173999995
B1;No_miRNA;Mix_17AA;N.A.;1;N.A.;2;0.120700002
B2;N.A.;Mix_17AA;N.A.;1;N.A.;2;0.075800002
B3;scrambled_miRNA;Mix_17AA;159;2;2;2;0.119800001
B4;plant_miRNA;Mix_17AA;159;2;2;2;0.121699996
C1;scrambled_miRNA;Mix_17AA;159;3;2;2;0.097900003
C2;plant_miRNA;Mix_17AA;159;3;2;2;0.143700004
C3;N.A.;Mix_17AA;N.A.;4;N.A.;2;0.136199996
C4;No_miRNA;Mix_17AA;N.A.;4;N.A.;2;0.172700003
C5;plant_miRNA;Mix_17AA;159;5;2;2;0.169799998
C6;scrambled_miRNA;Mix_17AA;159;5;2;2;0.168099999
