Well_ID;Treatment;N_souce;miRNA;Pair;Dose(uM);Time;OD_600
A2;N.A.;Lysine;N.A.;1;N.A.;0;0.129700005
A4;scrambled_miRNA;Lysine;159;2;2;0;0.1655
A5;plant_miRNA;Lysine;159;2;2;0;0.153200001
B2;plant_miRNA;Lysine;159;1;2;0;0.130199999
B3;scrambled_miRNA;Lysine;159;1;2;0;0.125599995
B4;N.A.;Lysine;N.A.;2;N.A.;0;0.094400004
C1;scrambled_miRNA;Lysine;159;3;2;0;0.115199998
C2;plant_miRNA;Lysine;159;3;2;0;0.174799994
C3;N.A.;Lysine;N.A.;4;N.A.;0;0.130899996
C5;scrambled_miRNA;Lysine;159;5;2;0;0.154200003
C6;plant_miRNA;Lysine;159;5;2;0;0.155499995
D1;N.A.;Lysine;N.A.;3;N.A.;0;0.090499997
D3;scrambled_miRNA;Lysine;159;4;2;0;0.1285
D4;plant_miRNA;Lysine;159;4;2;0;0.122900002
D6;N.A.;Lysine;N.A.;5;N.A.;0;0.084100001
A2;N.A.;Lysine;N.A.;1;N.A.;1;0.135700002
A4;scrambled_miRNA;Lysine;159;2;2;1;0.191799998
A5;plant_miRNA;Lysine;159;2;2;1;0.178499997
B2;plant_miRNA;Lysine;159;1;2;1;0.119400002
B3;scrambled_miRNA;Lysine;159;1;2;1;0.121200003
B4;N.A.;Lysine;N.A.;2;N.A.;1;0.086300001
C1;scrambled_miRNA;Lysine;159;3;2;1;0.100599997
C2;plant_miRNA;Lysine;159;3;2;1;0.202299997
C3;N.A.;Lysine;N.A.;4;N.A.;1;0.140599996
C5;scrambled_miRNA;Lysine;159;5;2;1;0.177599996
C6;plant_miRNA;Lysine;159;5;2;1;0.182899997
D1;N.A.;Lysine;N.A.;3;N.A.;1;0.088200003
D3;scrambled_miRNA;Lysine;159;4;2;1;0.127299994
D4;plant_miRNA;Lysine;159;4;2;1;0.1259
D6;N.A.;Lysine;N.A.;5;N.A.;1;0.074000001
A2;N.A.;Lysine;N.A.;1;N.A.;2;0.139400005
A4;scrambled_miRNA;Lysine;159;2;2;2;0.200900003
A5;plant_miRNA;Lysine;159;2;2;2;0.191
B2;plant_miRNA;Lysine;159;1;2;2;0.130500004
B3;scrambled_miRNA;Lysine;159;1;2;2;0.131099999
B4;N.A.;Lysine;N.A.;2;N.A.;2;0.0933
C1;scrambled_miRNA;Lysine;159;3;2;2;0.105999999
C2;plant_miRNA;Lysine;159;3;2;2;0.223000005
C3;N.A.;Lysine;N.A.;4;N.A.;2;0.145400003
C5;scrambled_miRNA;Lysine;159;5;2;2;0.194800004
C6;plant_miRNA;Lysine;159;5;2;2;0.1919
D1;N.A.;Lysine;N.A.;3;N.A.;2;0.096600004
D3;scrambled_miRNA;Lysine;159;4;2;2;0.142700002
D4;plant_miRNA;Lysine;159;4;2;2;0.139699996
D6;N.A.;Lysine;N.A.;5;N.A.;2;0.074699998
A2;N.A.;Lysine;N.A.;1;N.A.;3;0.136600003
A4;scrambled_miRNA;Lysine;159;2;2;3;0.203799993
A5;plant_miRNA;Lysine;159;2;2;3;0.195500001
B2;plant_miRNA;Lysine;159;1;2;3;0.140000001
B3;scrambled_miRNA;Lysine;159;1;2;3;0.133399993
B4;N.A.;Lysine;N.A.;2;N.A.;3;0.089299999
C1;scrambled_miRNA;Lysine;159;3;2;3;0.110399999
C2;plant_miRNA;Lysine;159;3;2;3;0.2271
C3;N.A.;Lysine;N.A.;4;N.A.;3;0.143999994
C5;scrambled_miRNA;Lysine;159;5;2;3;0.2016
C6;plant_miRNA;Lysine;159;5;2;3;0.195500001
D1;N.A.;Lysine;N.A.;3;N.A.;3;0.093099996
