Well_ID;Treatment;N_souce;miRNA;Pair;Dose(uM);Time;OD_600
A1;scrambled_miRNA;L-lysine;158;1;2;0;0.140200004
A2;plant_miRNA;L-lysine;158;1;2;0;0.153600007
A3;N.A.;L-lysine;N.A.;2;N.A.;0;0.121200003
A4;scrambled_miRNA;L-lysine;158;2;2;0;0.162699997
A5;N.A.;L-lysine;N.A.;3;N.A.;0;0.122699998
B1;N.A.;L-lysine;N.A.;1;N.A.;0;0.090300001
B4;plant_miRNA;L-lysine;158;2;2;0;0.114699997
B5;plant_miRNA;L-lysine;158;3;2;0;0.119599998
B6;scrambled_miRNA;L-lysine;158;3;2;0;0.104400001
C2;plant_miRNA;L-lysine;158;4;2;0;0.165700004
C3;scrambled_miRNA;L-lysine;158;4;2;0;0.152199998
C5;N.A.;L-lysine;N.A.;5;N.A.;0;0.122100003
D2;N.A.;L-lysine;N.A.;4;N.A.;0;0.091799997
D4;plant_miRNA;L-lysine;158;5;2;0;0.122000001
D5;scrambled_miRNA;L-lysine;158;5;2;0;0.137999997
A1;scrambled_miRNA;L-lysine;158;1;2;1;0.141100004
A2;plant_miRNA;L-lysine;158;1;2;1;0.177900001
A3;N.A.;L-lysine;N.A.;2;N.A.;1;0.1294
A4;scrambled_miRNA;L-lysine;158;2;2;1;0.184699997
A5;N.A.;L-lysine;N.A.;3;N.A.;1;0.143399999
B1;N.A.;L-lysine;N.A.;1;N.A.;1;0.0911
B4;plant_miRNA;L-lysine;158;2;2;1;0.1149
B5;plant_miRNA;L-lysine;158;3;2;1;0.131200001
B6;scrambled_miRNA;L-lysine;158;3;2;1;0.110100001
C2;plant_miRNA;L-lysine;158;4;2;1;0.186700001
C3;scrambled_miRNA;L-lysine;158;4;2;1;0.170699999
C5;N.A.;L-lysine;N.A.;5;N.A.;1;0.147599995
D2;N.A.;L-lysine;N.A.;4;N.A.;1;0.098399997
D4;plant_miRNA;L-lysine;158;5;2;1;0.131500006
D5;scrambled_miRNA;L-lysine;158;5;2;1;0.1558
A1;scrambled_miRNA;L-lysine;158;1;2;2;0.135000005
A2;plant_miRNA;L-lysine;158;1;2;2;0.195600003
A3;N.A.;L-lysine;N.A.;2;N.A.;2;0.144199997
A4;scrambled_miRNA;L-lysine;158;2;2;2;0.189899996
A5;N.A.;L-lysine;N.A.;3;N.A.;2;0.147100002
B1;N.A.;L-lysine;N.A.;1;N.A.;2;0.096600004
B4;plant_miRNA;L-lysine;158;2;2;2;0.1241
B5;plant_miRNA;L-lysine;158;3;2;2;0.138699993
B6;scrambled_miRNA;L-lysine;158;3;2;2;0.1061
C2;plant_miRNA;L-lysine;158;4;2;2;0.204500005
C3;scrambled_miRNA;L-lysine;158;4;2;2;0.179000005
C5;N.A.;L-lysine;N.A.;5;N.A.;2;0.146200001
D2;N.A.;L-lysine;N.A.;4;N.A.;2;0.098300003
D4;plant_miRNA;L-lysine;158;5;2;2;0.136099994
D5;scrambled_miRNA;L-lysine;158;5;2;2;0.1567
A1;scrambled_miRNA;L-lysine;158;1;2;3;0.165199995
A2;plant_miRNA;L-lysine;158;1;2;3;0.199599996
A3;N.A.;L-lysine;N.A.;2;N.A.;3;0.138099998
A4;scrambled_miRNA;L-lysine;158;2;2;3;0.200299993
A5;N.A.;L-lysine;N.A.;3;N.A.;3;0.159999996
B1;N.A.;L-lysine;N.A.;1;N.A.;3;0.092500001
B4;plant_miRNA;L-lysine;158;2;2;3;0.135600001
B5;plant_miRNA;L-lysine;158;3;2;3;0.152500004
B6;scrambled_miRNA;L-lysine;158;3;2;3;0.115400001
C2;plant_miRNA;L-lysine;158;4;2;3;0.223100007
C3;scrambled_miRNA;L-lysine;158;4;2;3;0.186000004
C5;N.A.;L-lysine;N.A.;5;N.A.;3;0.156000003
D2;N.A.;L-lysine;N.A.;4;N.A.;3;0.1083
D4;plant_miRNA;L-lysine;158;5;2;3;0.148000002
D5;scrambled_miRNA;L-lysine;158;5;2;3;0.174099997
