Well_ID;Treatment;N_souce;miRNA;Pair;Dose(uM);Time;OD_600
A1;plant_miRNA;Proline;5642b;1;2;0;0.159199998
A2;scrambled_miRNA;Proline;5642b;1;2;0;0.141299993
A4;N.A.;Proline;N.A.;2;N.A.;0;0.126599997
A5;plant_miRNA;Proline;5642b;3;2;0;0.146400005
B1;N.A.;Proline;N.A.;1;N.A.;0;0.095200002
B3;scrambled_miRNA;Proline;5642b;2;2;0;0.121399999
B4;plant_miRNA;Proline;5642b;2;2;0;0.120899998
B5;scrambled_miRNA;Proline;5642b;3;2;0;0.125699997
B6;N.A.;Proline;N.A.;3;N.A.;0;0.090400003
C2;N.A.;Proline;N.A.;4;N.A.;0;0.132200003
C3;plant_miRNA;Proline;5642b;5;2;0;0.153400004
C4;scrambled_miRNA;Proline;5642b;5;2;0;0.159899995
D1;scrambled_miRNA;Proline;5642b;4;2;0;0.116899997
D2;plant_miRNA;Proline;5642b;4;2;0;0.118600003
D4;N.A.;Proline;N.A.;5;N.A.;0;0.0902
A1;plant_miRNA;Proline;5642b;1;2;1;0.1558
A2;scrambled_miRNA;Proline;5642b;1;2;1;0.172999993
A4;N.A.;Proline;N.A.;2;N.A.;1;0.158099994
A5;plant_miRNA;Proline;5642b;3;2;1;0.179000005
B1;N.A.;Proline;N.A.;1;N.A.;1;0.077500001
B3;scrambled_miRNA;Proline;5642b;2;2;1;0.122599997
B4;plant_miRNA;Proline;5642b;2;2;1;0.123800002
B5;scrambled_miRNA;Proline;5642b;3;2;1;0.134499997
B6;N.A.;Proline;N.A.;3;N.A.;1;0.089100003
C2;N.A.;Proline;N.A.;4;N.A.;1;0.162
C3;plant_miRNA;Proline;5642b;5;2;1;0.175999999
C4;scrambled_miRNA;Proline;5642b;5;2;1;0.174199998
D1;scrambled_miRNA;Proline;5642b;4;2;1;0.1193
D2;plant_miRNA;Proline;5642b;4;2;1;0.119000003
D4;N.A.;Proline;N.A.;5;N.A.;1;0.108900003
A1;plant_miRNA;Proline;5642b;1;2;2;0.162400007
A2;scrambled_miRNA;Proline;5642b;1;2;2;0.185299993
A4;N.A.;Proline;N.A.;2;N.A.;2;0.157700002
A5;plant_miRNA;Proline;5642b;3;2;2;0.183500007
B1;N.A.;Proline;N.A.;1;N.A.;2;0.0836
B3;scrambled_miRNA;Proline;5642b;2;2;2;0.1241
B4;plant_miRNA;Proline;5642b;2;2;2;0.122500002
B5;scrambled_miRNA;Proline;5642b;3;2;2;0.137099996
B6;N.A.;Proline;N.A.;3;N.A.;2;0.077200003
C2;N.A.;Proline;N.A.;4;N.A.;2;0.156399995
C3;plant_miRNA;Proline;5642b;5;2;2;0.180600002
C4;scrambled_miRNA;Proline;5642b;5;2;2;0.172000006
D1;scrambled_miRNA;Proline;5642b;4;2;2;0.128700003
D2;plant_miRNA;Proline;5642b;4;2;2;0.129099995
D4;N.A.;Proline;N.A.;5;N.A.;2;0.098800004
A1;plant_miRNA;Proline;5642b;1;2;3;0.156100005
A2;scrambled_miRNA;Proline;5642b;1;2;3;0.186900005
A4;N.A.;Proline;N.A.;2;N.A.;3;0.151899993
A5;plant_miRNA;Proline;5642b;3;2;3;0.191599995
B1;N.A.;Proline;N.A.;1;N.A.;3;0.0858
B3;scrambled_miRNA;Proline;5642b;2;2;3;0.127900004
B4;plant_miRNA;Proline;5642b;2;2;3;0.1285
B5;scrambled_miRNA;Proline;5642b;3;2;3;0.152500004
B6;N.A.;Proline;N.A.;3;N.A.;3;0.088
C2;N.A.;Proline;N.A.;4;N.A.;3;0.154899999
C3;plant_miRNA;Proline;5642b;5;2;3;0.1866
C4;scrambled_miRNA;Proline;5642b;5;2;3;0.1743
D1;scrambled_miRNA;Proline;5642b;4;2;3;0.134499997
D2;plant_miRNA;Proline;5642b;4;2;3;0.131300002
D4;N.A.;Proline;N.A.;5;N.A.;3;0.101400003
A1;plant_miRNA;Proline;5642b;1;2;4;0.172900006
A2;scrambled_miRNA;Proline;5642b;1;2;4;0.200900003
A4;N.A.;Proline;N.A.;2;N.A.;4;0.159199998
A5;plant_miRNA;Proline;5642b;3;2;4;0.199300006
B1;N.A.;Proline;N.A.;1;N.A.;4;0.084200002
B3;scrambled_miRNA;Proline;5642b;2;2;4;0.135800004
B4;plant_miRNA;Proline;5642b;2;2;4;0.129999995
B5;scrambled_miRNA;Proline;5642b;3;2;4;0.160600007
B6;N.A.;Proline;N.A.;3;N.A.;4;0.087899998
C2;N.A.;Proline;N.A.;4;N.A.;4;0.157499999
C3;plant_miRNA;Proline;5642b;5;2;4;0.193700001
C4;scrambled_miRNA;Proline;5642b;5;2;4;0.175400004
D1;scrambled_miRNA;Proline;5642b;4;2;4;0.143800005
D2;plant_miRNA;Proline;5642b;4;2;4;0.140200004
D4;N.A.;Proline;N.A.;5;N.A.;4;0.094899997
A1;plant_miRNA;Proline;5642b;1;2;5;0.173299998
A2;scrambled_miRNA;Proline;5642b;1;2;5;0.203600004
A4;N.A.;Proline;N.A.;2;N.A.;5;0.162100002
