Well_ID;Treatment;N_souce;miRNA;Pair;Dose(uM);Time;OD_600
A2;plant_miRNA;Proline;5642b;1;2;0;0.148399994
A4;N.A.;Proline;N.A.;2;N.A.;0;0.132499993
A5;scrambled_miRNA;Proline;5642b;3;2;0;0.142199993
A6;plant_miRNA;Proline;5642b;3;2;0;0.143999994
B1;N.A.;Proline;N.A.;1;N.A.;0;0.097199999
B2;scrambled_miRNA;Proline;5642b;1;2;0;0.127800003
B3;scrambled_miRNA;Proline;5642b;2;2;0;0.1241
B4;plant_miRNA;Proline;5642b;2;2;0;0.125599995
B6;N.A.;Proline;N.A.;3;N.A.;0;0.081299998
C1;plant_miRNA;Proline;5642b;4;2;0;0.108099997
C3;plant_miRNA;Proline;5642b;5;2;0;0.145600006
C4;scrambled_miRNA;Proline;5642b;5;2;0;0.144999996
D1;scrambled_miRNA;Proline;5642b;4;2;0;0.119499996
D2;N.A.;Proline;N.A.;4;N.A.;0;0.087700002
D4;N.A.;Proline;N.A.;5;N.A.;0;0.090300001
A2;plant_miRNA;Proline;5642b;1;2;12;0.235400006
A4;N.A.;Proline;N.A.;2;N.A.;12;0.143600002
A5;scrambled_miRNA;Proline;5642b;3;2;12;0.219099998
A6;plant_miRNA;Proline;5642b;3;2;12;0.195800006
B1;N.A.;Proline;N.A.;1;N.A.;12;0.078500003
B2;scrambled_miRNA;Proline;5642b;1;2;12;0.168699995
B3;scrambled_miRNA;Proline;5642b;2;2;12;0.181500003
B4;plant_miRNA;Proline;5642b;2;2;12;0.158199996
B6;N.A.;Proline;N.A.;3;N.A.;12;0.088600002
C1;plant_miRNA;Proline;5642b;4;2;12;0.125499994
C3;plant_miRNA;Proline;5642b;5;2;12;0.240400001
C4;scrambled_miRNA;Proline;5642b;5;2;12;0.204099998
D1;scrambled_miRNA;Proline;5642b;4;2;12;0.170399994
D2;N.A.;Proline;N.A.;4;N.A.;12;0.095200002
D4;N.A.;Proline;N.A.;5;N.A.;12;0.096299998
A2;plant_miRNA;Proline;5642b;1;2;18;0.300999999
A4;N.A.;Proline;N.A.;2;N.A.;18;0.139400005
A5;scrambled_miRNA;Proline;5642b;3;2;18;0.241999999
A6;plant_miRNA;Proline;5642b;3;2;18;0.222200006
B1;N.A.;Proline;N.A.;1;N.A.;18;0.0814
B2;scrambled_miRNA;Proline;5642b;1;2;18;0.284399986
B3;scrambled_miRNA;Proline;5642b;2;2;18;0.261999995
B4;plant_miRNA;Proline;5642b;2;2;18;0.243200004
B6;N.A.;Proline;N.A.;3;N.A.;18;0.080399998
C1;plant_miRNA;Proline;5642b;4;2;18;0.191499993
C3;plant_miRNA;Proline;5642b;5;2;18;0.263500005
C4;scrambled_miRNA;Proline;5642b;5;2;18;0.249899998
D1;scrambled_miRNA;Proline;5642b;4;2;18;0.223199993
D2;N.A.;Proline;N.A.;4;N.A.;18;0.085000001
D4;N.A.;Proline;N.A.;5;N.A.;18;0.083899997
A2;plant_miRNA;Proline;5642b;1;2;24;0.295100003
A4;N.A.;Proline;N.A.;2;N.A.;24;0.092500001
A5;scrambled_miRNA;Proline;5642b;3;2;24;0.244499996
A6;plant_miRNA;Proline;5642b;3;2;24;0.240400001
B1;N.A.;Proline;N.A.;1;N.A.;24;0.071900003
B2;scrambled_miRNA;Proline;5642b;1;2;24;0.29370001
B3;scrambled_miRNA;Proline;5642b;2;2;24;0.34889999
B4;plant_miRNA;Proline;5642b;2;2;24;0.217700005
B6;N.A.;Proline;N.A.;3;N.A.;24;0.0836
C1;plant_miRNA;Proline;5642b;4;2;24;0.270599991
C3;plant_miRNA;Proline;5642b;5;2;24;0.283800006
C4;scrambled_miRNA;Proline;5642b;5;2;24;0.260699987
D1;scrambled_miRNA;Proline;5642b;4;2;24;0.268000007
D2;N.A.;Proline;N.A.;4;N.A.;24;0.077500001
D4;N.A.;Proline;N.A.;5;N.A.;24;0.082199998
