Well_ID;Treatment;N_souce;miRNA;Pair;Dose(uM);Time;OD_600
A2;plant_miRNA;Proline;827;1;2;0;0.150199994
A4;N.A.;Proline;N.A.;2;N.A.;0;0.125699997
A5;scrambled_miRNA;Proline;827;3;2;0;0.153099999
A6;plant_miRNA;Proline;827;3;2;0;0.144500002
B1;N.A.;Proline;N.A.;1;N.A.;0;0.101599999
B2;scrambled_miRNA;Proline;827;1;2;0;0.127499998
B3;scrambled_miRNA;Proline;827;2;2;0;0.129299998
B4;plant_miRNA;Proline;827;2;2;0;0.127100006
B6;N.A.;Proline;N.A.;3;N.A.;0;0.081699997
C1;plant_miRNA;Proline;827;4;2;0;0.1043
C3;plant_miRNA;Proline;827;5;2;0;0.147300005
C4;scrambled_miRNA;Proline;827;5;2;0;0.149000004
D1;scrambled_miRNA;Proline;827;4;2;0;0.116599999
D2;N.A.;Proline;N.A.;4;N.A.;0;0.091200002
D4;N.A.;Proline;N.A.;5;N.A.;0;0.090700001
A2;plant_miRNA;Proline;827;1;2;1;0.181199998
A4;N.A.;Proline;N.A.;2;N.A.;1;0.160500005
A5;scrambled_miRNA;Proline;827;3;2;1;0.199000001
A6;plant_miRNA;Proline;827;3;2;1;0.1866
B1;N.A.;Proline;N.A.;1;N.A.;1;0.092200004
B2;scrambled_miRNA;Proline;827;1;2;1;0.117899999
B3;scrambled_miRNA;Proline;827;2;2;1;0.119199999
B4;plant_miRNA;Proline;827;2;2;1;0.120099999
B6;N.A.;Proline;N.A.;3;N.A.;1;0.079999998
C1;plant_miRNA;Proline;827;4;2;1;0.097999997
C3;plant_miRNA;Proline;827;5;2;1;0.160600007
C4;scrambled_miRNA;Proline;827;5;2;1;0.171100006
D1;scrambled_miRNA;Proline;827;4;2;1;0.131200001
D2;N.A.;Proline;N.A.;4;N.A.;1;0.098099999
D4;N.A.;Proline;N.A.;5;N.A.;1;0.110399999
A2;plant_miRNA;Proline;827;1;2;2;0.187800005
A4;N.A.;Proline;N.A.;2;N.A.;2;0.166299999
A5;scrambled_miRNA;Proline;827;3;2;2;0.191400006
A6;plant_miRNA;Proline;827;3;2;2;0.1963
B1;N.A.;Proline;N.A.;1;N.A.;2;0.088
B2;scrambled_miRNA;Proline;827;1;2;2;0.119000003
B3;scrambled_miRNA;Proline;827;2;2;2;0.117600001
B4;plant_miRNA;Proline;827;2;2;2;0.116400003
B6;N.A.;Proline;N.A.;3;N.A.;2;0.082599998
C1;plant_miRNA;Proline;827;4;2;2;0.100400001
C3;plant_miRNA;Proline;827;5;2;2;0.169300005
C4;scrambled_miRNA;Proline;827;5;2;2;0.172199994
D1;scrambled_miRNA;Proline;827;4;2;2;0.1382
D2;N.A.;Proline;N.A.;4;N.A.;2;0.099200003
D4;N.A.;Proline;N.A.;5;N.A.;2;0.112999998
A2;plant_miRNA;Proline;827;1;2;3;0.202199996
A4;N.A.;Proline;N.A.;2;N.A.;3;0.159199998
A5;scrambled_miRNA;Proline;827;3;2;3;0.201399997
A6;plant_miRNA;Proline;827;3;2;3;0.204500005
B1;N.A.;Proline;N.A.;1;N.A.;3;0.088799998
B2;scrambled_miRNA;Proline;827;1;2;3;0.128299996
B3;scrambled_miRNA;Proline;827;2;2;3;0.123400003
B4;plant_miRNA;Proline;827;2;2;3;0.124499999
B6;N.A.;Proline;N.A.;3;N.A.;3;0.083899997
C1;plant_miRNA;Proline;827;4;2;3;0.102399997
C3;plant_miRNA;Proline;827;5;2;3;0.180399999
