Well_ID,Treatment,N_souce,miRNA,Pair,Dose(uM),Time,OD_600
A1,plant_miRNA,Glycine,5642b,1,2,0,0.134000003
A2,scrambled_miRNA,Glycine,5642b,1,2,0,0.147100002
A4,N.A.,Glycine,N.A.,2,N.A.,0,0.113399997
A5,N.A.,Glycine,N.A.,3,N.A.,0,0.118100002
A6,plant_miRNA,Glycine,5642b,3,2,0,0.139500007
B1,N.A.,Glycine,N.A.,1,N.A.,0,0.101899996
B3,scrambled_miRNA,Glycine,5642b,2,2,0,0.127499998
B4,plant_miRNA,Glycine,5642b,2,2,0,0.1391
B6,scrambled_miRNA,Glycine,5642b,3,2,0,0.109899998
C1,N.A.,Glycine,N.A.,4,N.A.,0,0.087399997
C2,scrambled_miRNA,Glycine,5642b,4,2,0,0.172299996
C3,plant_miRNA,Glycine,5642b,5,2,0,0.153999999
C4,scrambled_miRNA,Glycine,5642b,5,2,0,0.142700002
D2,plant_miRNA,Glycine,5642b,4,2,0,0.127000004
D4,N.A.,Glycine,N.A.,5,N.A.,0,0.113300003
A1,plant_miRNA,Glycine,5642b,1,2,12,0.185299993
A2,scrambled_miRNA,Glycine,5642b,1,2,12,0.2324
A4,N.A.,Glycine,N.A.,2,N.A.,12,0.122199997
A5,N.A.,Glycine,N.A.,3,N.A.,12,0.124499999
A6,plant_miRNA,Glycine,5642b,3,2,12,0.223900005
B1,N.A.,Glycine,N.A.,1,N.A.,12,0.087800004
B3,scrambled_miRNA,Glycine,5642b,2,2,12,0.161400005
B4,plant_miRNA,Glycine,5642b,2,2,12,0.162
B6,scrambled_miRNA,Glycine,5642b,3,2,12,0.144700006
C1,N.A.,Glycine,N.A.,4,N.A.,12,0.0845
C2,scrambled_miRNA,Glycine,5642b,4,2,12,0.2421
C3,plant_miRNA,Glycine,5642b,5,2,12,0.209399998
C4,scrambled_miRNA,Glycine,5642b,5,2,12,0.215000004
D2,plant_miRNA,Glycine,5642b,4,2,12,0.158700004
D4,N.A.,Glycine,N.A.,5,N.A.,12,0.089199997
A1,plant_miRNA,Glycine,5642b,1,2,16,0.193299994
A2,scrambled_miRNA,Glycine,5642b,1,2,16,0.192599997
A4,N.A.,Glycine,N.A.,2,N.A.,16,0.1241
A5,N.A.,Glycine,N.A.,3,N.A.,16,0.115800001
A6,plant_miRNA,Glycine,5642b,3,2,16,0.207599998
B1,N.A.,Glycine,N.A.,1,N.A.,16,0.073200002
B3,scrambled_miRNA,Glycine,5642b,2,2,16,0.156100005
B4,plant_miRNA,Glycine,5642b,2,2,16,0.162100002
B6,scrambled_miRNA,Glycine,5642b,3,2,16,0.177499995
C1,N.A.,Glycine,N.A.,4,N.A.,16,0.087899998
C2,scrambled_miRNA,Glycine,5642b,4,2,16,0.199399993
C3,plant_miRNA,Glycine,5642b,5,2,16,0.206699997
C4,scrambled_miRNA,Glycine,5642b,5,2,16,0.2007
D2,plant_miRNA,Glycine,5642b,4,2,16,0.166600004
D4,N.A.,Glycine,N.A.,5,N.A.,16,0.086300001
A1,plant_miRNA,Glycine,5642b,1,2,20,0.191699997
A2,scrambled_miRNA,Glycine,5642b,1,2,20,0.182799995
A4,N.A.,Glycine,N.A.,2,N.A.,20,0.103
A5,N.A.,Glycine,N.A.,3,N.A.,20,0.101400003
A6,plant_miRNA,Glycine,5642b,3,2,20,0.211500004
B1,N.A.,Glycine,N.A.,1,N.A.,20,0.072700001
B3,scrambled_miRNA,Glycine,5642b,2,2,20,0.187600002
B4,plant_miRNA,Glycine,5642b,2,2,20,0.194000006
B6,scrambled_miRNA,Glycine,5642b,3,2,20,0.200000003
C1,N.A.,Glycine,N.A.,4,N.A.,20,0.075499997
C2,scrambled_miRNA,Glycine,5642b,4,2,20,0.183200002
C3,plant_miRNA,Glycine,5642b,5,2,20,0.215000004
C4,scrambled_miRNA,Glycine,5642b,5,2,20,0.205799997
D2,plant_miRNA,Glycine,5642b,4,2,20,0.172199994
D4,N.A.,Glycine,N.A.,5,N.A.,20,0.0726
