Well_ID,Treatment,N_souce,miRNA,Pair,Dose(uM),Time,OD_600
A1,plant_miRNA,Glycine,827,1,2,0,0.157399997
A2,scrambled_miRNA,Glycine,827,1,2,0,0.148499995
A4,N.A.,Glycine,N.A.,2,N.A.,0,0.114699997
A5,N.A.,Glycine,N.A.,3,N.A.,0,0.101899996
A6,plant_miRNA,Glycine,827,3,2,0,0.137400001
B1,N.A.,Glycine,N.A.,1,N.A.,0,0.102899998
B3,scrambled_miRNA,Glycine,827,2,2,0,0.135499999
B4,plant_miRNA,Glycine,827,2,2,0,0.128700003
B6,scrambled_miRNA,Glycine,827,3,2,0,0.116300002
C1,N.A.,Glycine,N.A.,4,N.A.,0,0.103799999
C2,scrambled_miRNA,Glycine,827,4,2,0,0.169
C3,plant_miRNA,Glycine,827,5,2,0,0.133399993
C4,scrambled_miRNA,Glycine,827,5,2,0,0.141599998
D2,plant_miRNA,Glycine,827,4,2,0,0.145199999
D4,N.A.,Glycine,N.A.,5,N.A.,0,0.108900003
A1,plant_miRNA,Glycine,827,1,2,12,0.180500001
A2,scrambled_miRNA,Glycine,827,1,2,12,0.181099996
A4,N.A.,Glycine,N.A.,2,N.A.,12,0.135700002
A5,N.A.,Glycine,N.A.,3,N.A.,12,0.106200002
A6,plant_miRNA,Glycine,827,3,2,12,0.194100007
B1,N.A.,Glycine,N.A.,1,N.A.,12,0.084299996
B3,scrambled_miRNA,Glycine,827,2,2,12,0.164399996
B4,plant_miRNA,Glycine,827,2,2,12,0.150700003
B6,scrambled_miRNA,Glycine,827,3,2,12,0.165999994
C1,N.A.,Glycine,N.A.,4,N.A.,12,0.075599998
C2,scrambled_miRNA,Glycine,827,4,2,12,0.245000005
C3,plant_miRNA,Glycine,827,5,2,12,0.228200004
C4,scrambled_miRNA,Glycine,827,5,2,12,0.212099999
D2,plant_miRNA,Glycine,827,4,2,12,0.152799994
D4,N.A.,Glycine,N.A.,5,N.A.,12,0.0858
A1,plant_miRNA,Glycine,827,1,2,16,0.213100001
A2,scrambled_miRNA,Glycine,827,1,2,16,0.192399994
A4,N.A.,Glycine,N.A.,2,N.A.,16,0.103299998
A5,N.A.,Glycine,N.A.,3,N.A.,16,0.113700002
A6,plant_miRNA,Glycine,827,3,2,16,0.180600002
B1,N.A.,Glycine,N.A.,1,N.A.,16,0.085699998
B3,scrambled_miRNA,Glycine,827,2,2,16,0.192499995
B4,plant_miRNA,Glycine,827,2,2,16,0.159099996
B6,scrambled_miRNA,Glycine,827,3,2,16,0.207399994
C1,N.A.,Glycine,N.A.,4,N.A.,16,0.084200002
C2,scrambled_miRNA,Glycine,827,4,2,16,0.236699998
C3,plant_miRNA,Glycine,827,5,2,16,0.233500004
C4,scrambled_miRNA,Glycine,827,5,2,16,0.201800004
D2,plant_miRNA,Glycine,827,4,2,16,0.176699996
D4,N.A.,Glycine,N.A.,5,N.A.,16,0.081900001
A1,plant_miRNA,Glycine,827,1,2,20,0.198400006
A2,scrambled_miRNA,Glycine,827,1,2,20,0.149499997
A4,N.A.,Glycine,N.A.,2,N.A.,20,0.093500003
A5,N.A.,Glycine,N.A.,3,N.A.,20,0.100000001
A6,plant_miRNA,Glycine,827,3,2,20,0.147200003
B1,N.A.,Glycine,N.A.,1,N.A.,20,0.080399998
B3,scrambled_miRNA,Glycine,827,2,2,20,0.185900003
B4,plant_miRNA,Glycine,827,2,2,20,0.156200007
B6,scrambled_miRNA,Glycine,827,3,2,20,0.173500001
C1,N.A.,Glycine,N.A.,4,N.A.,20,0.086800002
C2,scrambled_miRNA,Glycine,827,4,2,20,0.192100003
C3,plant_miRNA,Glycine,827,5,2,20,0.206300005
C4,scrambled_miRNA,Glycine,827,5,2,20,0.191100001
D2,plant_miRNA,Glycine,827,4,2,20,0.148800001
D4,N.A.,Glycine,N.A.,5,N.A.,20,0.075400002
