Well_ID,Treatment,N_Source,Pair,Dose (uM),Time,OD520
A1,plant_miRNA,Glycine,1,2,0,0.207549997
A2,scrambled_miRNA,Glycine,1,2,0,0.206750005
A3,control,Glycine,1,2,0,0.1906
A4,plant_miRNA,Glycine,2,2,0,0.208000004
A5,scrambled_miRNA,Glycine,2,2,0,0.213650003
A6,control,Glycine,2,2,0,0.235850006
A7,plant_miRNA,Glycine,3,2,0,0.237449996
A8,scrambled_miRNA,Glycine,3,2,0,0.225999996
B1,control,Glycine,3,2,0,0.178350002
B2,plant_miRNA,Glycine,4,2,0,0.172250003
B3,scrambled_miRNA,Glycine,4,2,0,0.1778
B4,control,Glycine,4,2,0,0.193700001
B5,plant_miRNA,Glycine,5,2,0,0.177950002
B6,scrambled_miRNA,Glycine,5,2,0,0.187550001
B7,control,Glycine,5,2,0,0.17735
C1,plant_miRNA,Glycine,1,2,12,0.225100003
C2,scrambled_miRNA,Glycine,1,2,12,0.171250001
C3,control,Glycine,1,2,12,0.179750003
C4,plant_miRNA,Glycine,2,2,12,0.217500001
C5,scrambled_miRNA,Glycine,2,2,12,0.212700002
C6,control,Glycine,2,2,12,0.195200004
C7,plant_miRNA,Glycine,3,2,12,0.181400001
C8,scrambled_miRNA,Glycine,3,2,12,0.233949997
D1,control,Glycine,3,2,12,0.196899995
D2,plant_miRNA,Glycine,4,2,12,0.144149996
D3,scrambled_miRNA,Glycine,4,2,12,0.185500003
D4,control,Glycine,4,2,12,0.194499999
D5,plant_miRNA,Glycine,5,2,12,0.19805
D6,scrambled_miRNA,Glycine,5,2,12,0.217699997
D7,control,Glycine,5,2,12,0.235600002
E1,std,Glycine,N.A.,0,2,0.065549999
E2,std,Glycine,N.A.,62.5,2,0.077500001
E3,std,Glycine,N.A.,125,2,0.083299998
E4,std,Glycine,N.A.,250,2,0.094149999
E5,std,Glycine,N.A.,500,2,0.185800001
E6,std,Glycine,N.A.,1000,2,0.227750003
E7,std,Glycine,N.A.,2000,2,0.470249996
F1,std,Glycine,N.A.,0,2,0.054850001
F2,std,Glycine,N.A.,62.5,2,0.063350001
F3,std,Glycine,N.A.,125,2,0.075650003
F4,std,Glycine,N.A.,250,2,0.088549998
F5,std,Glycine,N.A.,500,2,0.127300002
F6,std,Glycine,N.A.,1000,2,0.17475
F7,std,Glycine,N.A.,2000,2,0.435650006
G1,plant_miRNA,Glycine,1,2,16,0.110350002
G2,scrambled_miRNA,Glycine,1,2,16,0.096000001
G3,control,Glycine,1,2,16,0.190449998
G4,plant_miRNA,Glycine,2,2,16,0.121549997
G5,scrambled_miRNA,Glycine,2,2,16,0.122750003
G6,control,Glycine,2,2,16,0.20205
G7,plant_miRNA,Glycine,3,2,16,0.098649997
G8,scrambled_miRNA,Glycine,3,2,16,0.11575
H1,control,Glycine,3,2,16,0.220100001
H2,plant_miRNA,Glycine,4,2,16,0.088300001
H3,scrambled_miRNA,Glycine,4,2,16,0.103250001
H4,control,Glycine,4,2,16,0.205700003
H5,plant_miRNA,Glycine,5,2,16,0.10585
H6,scrambled_miRNA,Glycine,5,2,16,0.11155
H7,control,Glycine,5,2,16,0.334600002
A10,plant_miRNA,Glycine,1,2,20,0.11005
B10,scrambled_miRNA,Glycine,1,2,20,0.086399999
C10,control,Glycine,1,2,20,0.215099998
D10,plant_miRNA,Glycine,2,2,20,0.093499999
E10,scrambled_miRNA,Glycine,2,2,20,0.102399997
F10,control,Glycine,2,2,20,0.23065
G10,plant_miRNA,Glycine,3,2,20,0.076400001
H10,scrambled_miRNA,Glycine,3,2,20,0.086199999
A11,control,Glycine,3,2,20,0.284150004
B11,plant_miRNA,Glycine,4,2,20,0.081749998
C11,scrambled_miRNA,Glycine,4,2,20,0.085299999
D11,control,Glycine,4,2,20,0.255649999
E11,plant_miRNA,Glycine,5,2,20,0.093900003
F11,scrambled_miRNA,Glycine,5,2,20,0.1063
G11,control,Glycine,5,2,20,0.365899995
