Well_ID,Treatment,N_Source,Pair,Dose (uM),Time,OD520
A1,plant_miRNA,Glycine,1,2,0,0.206499994
A2,scrambled_miRNA,Glycine,1,2,0,0.199300006
A3,control,Glycine,1,2,0,0.190799996
A4,plant_miRNA,Glycine,2,2,0,0.213200003
A5,scrambled_miRNA,Glycine,2,2,0,0.207900003
A6,control,Glycine,2,2,0,0.234500006
A7,plant_miRNA,Glycine,3,2,0,0.226899996
A8,scrambled_miRNA,Glycine,3,2,0,0.215599999
B1,control,Glycine,3,2,0,0.195299998
B2,plant_miRNA,Glycine,4,2,0,0.194800004
B3,scrambled_miRNA,Glycine,4,2,0,0.180600002
B4,control,Glycine,4,2,0,0.196700007
B5,plant_miRNA,Glycine,5,2,0,0.1787
B6,scrambled_miRNA,Glycine,5,2,0,0.195199996
B7,control,Glycine,5,2,0,0.177599996
C1,plant_miRNA,Glycine,1,2,12,0.214100003
C2,scrambled_miRNA,Glycine,1,2,12,0.1611
C3,control,Glycine,1,2,12,0.172700003
C4,plant_miRNA,Glycine,2,2,12,0.211600006
C5,scrambled_miRNA,Glycine,2,2,12,0.196400002
C6,control,Glycine,2,2,12,0.187700003
C7,plant_miRNA,Glycine,3,2,12,0.179800004
C8,scrambled_miRNA,Glycine,3,2,12,0.230399996
D1,control,Glycine,3,2,12,0.186399996
D2,plant_miRNA,Glycine,4,2,12,0.147699997
D3,scrambled_miRNA,Glycine,4,2,12,0.180500001
D4,control,Glycine,4,2,12,0.189400002
D5,plant_miRNA,Glycine,5,2,12,0.188999996
D6,scrambled_miRNA,Glycine,5,2,12,0.220100001
D7,control,Glycine,5,2,12,0.245499998
E1,std,Glycine,N.A.,0,2,0.062799998
E2,std,Glycine,N.A.,62.5,2,0.069200002
E3,std,Glycine,N.A.,125,2,0.090999998
E4,std,Glycine,N.A.,250,2,0.094700001
E5,std,Glycine,N.A.,500,2,0.143000007
E6,std,Glycine,N.A.,1000,2,0.194000006
E7,std,Glycine,N.A.,2000,2,0.407200009
F1,std,Glycine,N.A.,0,2,0.0557
F2,std,Glycine,N.A.,62.5,2,0.061500002
F3,std,Glycine,N.A.,125,2,0.076700002
F4,std,Glycine,N.A.,250,2,0.090599999
F5,std,Glycine,N.A.,500,2,0.1162
F6,std,Glycine,N.A.,1000,2,0.160400003
F7,std,Glycine,N.A.,2000,2,0.374000013
G1,plant_miRNA,Glycine,1,2,16,0.116700001
G2,scrambled_miRNA,Glycine,1,2,16,0.101400003
G3,control,Glycine,1,2,16,0.197899997
G4,plant_miRNA,Glycine,2,2,16,0.124899998
G5,scrambled_miRNA,Glycine,2,2,16,0.126900002
G6,control,Glycine,2,2,16,0.206699997
G7,plant_miRNA,Glycine,3,2,16,0.101099998
G8,scrambled_miRNA,Glycine,3,2,16,0.116400003
H1,control,Glycine,3,2,16,0.227200001
H2,plant_miRNA,Glycine,4,2,16,0.0876
H3,scrambled_miRNA,Glycine,4,2,16,0.104199998
H4,control,Glycine,4,2,16,0.207200006
H5,plant_miRNA,Glycine,5,2,16,0.103399999
H6,scrambled_miRNA,Glycine,5,2,16,0.111199997
H7,control,Glycine,5,2,16,0.338200003
A10,plant_miRNA,Glycine,1,2,20,0.109200001
B10,scrambled_miRNA,Glycine,1,2,20,0.083999999
C10,control,Glycine,1,2,20,0.199399993
D10,plant_miRNA,Glycine,2,2,20,0.090999998
E10,scrambled_miRNA,Glycine,2,2,20,0.103699997
F10,control,Glycine,2,2,20,0.224900007
G10,plant_miRNA,Glycine,3,2,20,0.077100001
H10,scrambled_miRNA,Glycine,3,2,20,0.086199999
A11,control,Glycine,3,2,20,0.271200001
B11,plant_miRNA,Glycine,4,2,20,0.080799997
C11,scrambled_miRNA,Glycine,4,2,20,0.085199997
D11,control,Glycine,4,2,20,0.2509
E11,plant_miRNA,Glycine,5,2,20,0.094400004
F11,scrambled_miRNA,Glycine,5,2,20,0.090099998
G11,control,Glycine,5,2,20,0.3565
