Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520;OD530;OD540;OD550;OD560;OD570
A1;plant_miRNA;L-Lysine;1;2;22;0.350499988;0.284950003;0.22885;0.194250003;0.168049999;0.145400003
A2;scrambled_miRNA;L-Lysine;1;2;22;0.319150001;0.266049996;0.218649998;0.187300004;0.163350001;0.142350003
A3;control;L-Lysine;1;2;22;0.628600001;0.537250012;0.457700014;0.408950001;0.369100004;0.330050007
A4;plant_miRNA;L-Lysine;2;2;22;0.354700014;0.294;0.240449995;0.205350004;0.17735;0.153999999
A5;scrambled_miRNA;L-Lysine;2;2;22;0.385400012;0.320649996;0.262600005;0.224900007;0.196000002;0.170649998
A6;control;L-Lysine;2;2;22;0.644400001;0.547199994;0.46315001;0.41065;0.368799999;0.329000011
A7;plant_miRNA;L-Lysine;3;2;22;0.358999997;0.297999993;0.244049996;0.2095;0.183250003;0.159599997
A8;scrambled_miRNA;L-Lysine;3;2;22;0.385549992;0.323750004;0.269249991;0.232500002;0.204049997;0.179449998
A9;control;L-Lysine;3;2;22;0.602699995;0.509899974;0.431100011;0.381950006;0.344799995;0.30690001
A10;plant_miRNA;L-Lysine;4;2;22;0.384399995;0.319450006;0.263599992;0.226549998;0.197099999;0.171900004
A11;scrambled_miRNA;L-Lysine;4;2;22;0.40185;0.331349999;0.270249993;0.23105;0.200649999;0.174949996
A12;control;L-Lysine;4;2;22;0.672899991;0.563600004;0.469249994;0.412300006;0.368349999;0.327649996
B1;plant_miRNA;L-Lysine;5;2;22;0.288199991;0.239150003;0.196400002;0.169350006;0.147849999;0.12965
B2;scrambled_miRNA;L-Lysine;5;2;22;0.266849995;0.223449998;0.185899995;0.160699993;0.140699998;0.123650003
B3;control;L-Lysine;5;2;22;0.570749998;0.484899998;0.412949994;0.366900012;0.330800012;0.296199992
B10;plant_miRNA;L-Lysine;1;2;28;0.050799999;0.05115;0.050249999;0.050100001;0.0507;0.050350001
B11;scrambled_miRNA;L-Lysine;1;2;28;0.050550001;0.050900001;0.05015;0.049800001;0.0506;0.049799999
B12;control;L-Lysine;1;2;28;0.685449988;0.579950005;0.48635;0.426899999;0.38319999;0.342999995
C1;plant_miRNA;L-Lysine;2;2;28;0.0472;0.04645;0.046;0.045799999;0.04645;0.046
C2;scrambled_miRNA;L-Lysine;2;2;28;0.079500001;0.0715;0.065249998;0.06065;0.057700001;0.054500001
C3;control;L-Lysine;2;2;28;0.580150008;0.486400008;0.404250011;0.351400003;0.310399994;0.272849992
C4;plant_miRNA;L-Lysine;3;2;28;0.04675;0.046150001;0.04565;0.0451;0.04545;0.04535
C5;scrambled_miRNA;L-Lysine;3;2;28;0.047249999;0.046650002;0.0461;0.04565;0.046249999;0.045650002
C6;control;L-Lysine;3;2;28;0.571950018;0.48195;0.404349998;0.354299992;0.314350009;0.278799996
C7;plant_miRNA;L-Lysine;4;2;28;0.0582;0.055;0.05225;0.050450001;0.050100001;0.048599999
