Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520;OD530;OD540;OD550;OD560;OD570
A1;plant_miRNA;L-Lysine;1;2;22;0.353899986;0.286500007;0.230599999;0.195700005;0.170499995;0.148100004
A2;scrambled_miRNA;L-Lysine;1;2;22;0.318399996;0.266799986;0.220799997;0.190400004;0.168500006;0.1479
A3;control;L-Lysine;1;2;22;0.636799991;0.547900021;0.477100015;0.437299997;0.405000001;0.367700011
A4;plant_miRNA;L-Lysine;2;2;22;0.349400014;0.291799992;0.241899997;0.209000006;0.184;0.160699993
A5;scrambled_miRNA;L-Lysine;2;2;22;0.386400014;0.324999988;0.269800007;0.233700007;0.206900001;0.182300001
A6;control;L-Lysine;2;2;22;0.664399981;0.568899989;0.491600007;0.446500003;0.411199987;0.371300012
A7;plant_miRNA;L-Lysine;3;2;22;0.361699998;0.3028;0.252799988;0.219799995;0.196600005;0.173299998
A8;scrambled_miRNA;L-Lysine;3;2;22;0.386299998;0.327399999;0.27759999;0.243300006;0.218199998;0.194499999
A9;control;L-Lysine;3;2;22;0.610899985;0.513499975;0.432000011;0.380800009;0.344199985;0.305000007
A10;plant_miRNA;L-Lysine;4;2;22;0.401600003;0.331;0.270099998;0.230499998;0.199900001;0.172800004
A11;scrambled_miRNA;L-Lysine;4;2;22;0.433899999;0.353300005;0.284799993;0.241400003;0.208499998;0.180899993
A12;control;L-Lysine;4;2;22;0.655200005;0.538699985;0.437900007;0.37470001;0.328500003;0.285899997
B1;plant_miRNA;L-Lysine;5;2;22;0.303799987;0.2509;0.205799997;0.177200004;0.155499995;0.136700004
B2;scrambled_miRNA;L-Lysine;5;2;22;0.281599998;0.234699994;0.195199996;0.168599993;0.148499995;0.130600005
B3;control;L-Lysine;5;2;22;0.60769999;0.5176;0.446099997;0.400200009;0.365200013;0.328299999
B10;plant_miRNA;L-Lysine;1;2;28;0.050799999;0.0517;0.050799999;0.050500002;0.0513;0.050900001
B11;scrambled_miRNA;L-Lysine;1;2;28;0.0502;0.051100001;0.0504;0.050000001;0.050799999;0.050099999
B12;control;L-Lysine;1;2;28;0.697399974;0.585099995;0.489800006;0.429899991;0.387699991;0.345299989
C1;plant_miRNA;L-Lysine;2;2;28;0.045400001;0.0458;0.0451;0.044799998;0.045600001;0.0451
C2;scrambled_miRNA;L-Lysine;2;2;28;0.077600002;0.0704;0.064199999;0.059700001;0.0572;0.054000001
C3;control;L-Lysine;2;2;28;0.564800024;0.47240001;0.391400009;0.337099999;0.296700001;0.258899987
C4;plant_miRNA;L-Lysine;3;2;28;0.045499999;0.046100002;0.045499999;0.0449;0.045600001;0.0451
C5;scrambled_miRNA;L-Lysine;3;2;28;0.045499999;0.046100002;0.045600001;0.044799998;0.045699999;0.045000002
C6;control;L-Lysine;3;2;28;0.561500013;0.476500005;0.406699985;0.362599999;0.328900009;0.2958
C7;plant_miRNA;L-Lysine;4;2;28;0.056400001;0.054299999;0.0517;0.050000001;0.050000001;0.048099998
C8;scrambled_miRNA;L-Lysine;4;2;28;0.091499999;0.081500001;0.072300002;0.065899998;0.062700003;0.058200002
C9;control;L-Lysine;4;2;28;0.608500004;0.518299997;0.43900001;0.392500013;0.356999993;0.321999997
C10;plant_miRNA;L-Lysine;5;2;28;0.050700001;0.051800001;0.051399998;0.050900001;0.0513;0.0502
C11;scrambled_miRNA;L-Lysine;5;2;28;0.048300002;0.0484;0.047699999;0.0471;0.0482;0.047400001
C12;control;L-Lysine;5;2;28;0.64319998;0.532700002;0.437000006;0.377000004;0.333200008;0.292600006
D1;std;L-Lysine;N.A.;0;2;0.045299999;0.045600001;0.044799998;0.044599999;0.0451;0.0447
D2;std;L-Lysine;N.A.;62.5;2;0.052900001;0.049899999;0.047800001;0.046;0.0458;0.0449
D3;std;L-Lysine;N.A.;125;2;0.063199997;0.0579;0.053300001;0.050700001;0.049699999;0.048099998
D4;std;L-Lysine;N.A.;250;2;0.081699997;0.071000002;0.063000001;0.058200002;0.055599999;0.052900001
D5;std;L-Lysine;N.A.;500;2;0.118699998;0.097599998;0.082099997;0.072899997;0.067500003;0.061900001
D6;std;L-Lysine;N.A.;1000;2;0.200800002;0.160500005;0.130999997;0.112499997;0.099200003;0.087700002
D7;std;L-Lysine;N.A.;2000;2;0.345099986;0.273000002;0.217299998;0.180800006;0.153899997;0.1303
D8;std;L-Lysine;N.A.;4000;2;0.577499986;0.461699992;0.36559999;0.300300002;0.25150001;0.210099995
F1;plant_miRNA;L-Lysine;1;2;0;0.638599992;0.514699996;0.406599998;0.33919999;0.289999992;0.248300001
F2;scrambled_miRNA;L-Lysine;1;2;0;0.534399986;0.439900011;0.35769999;0.304100007;0.263300002;0.228
F3;control;L-Lysine;1;2;0;0.533999979;0.439700007;0.358999997;0.306300014;0.265199989;0.229599997
F4;plant_miRNA;L-Lysine;2;2;0;0.518899977;0.42719999;0.346300006;0.293799996;0.253800005;0.219300002
F5;scrambled_miRNA;L-Lysine;2;2;0;0.52609998;0.432799995;0.351099998;0.297300011;0.256099999;0.220799997
F6;control;L-Lysine;2;2;0;0.524100006;0.432999998;0.351700008;0.300399989;0.261500001;0.227400005
F7;plant_miRNA;L-Lysine;3;2;0;0.543500006;0.446399987;0.360799998;0.305599988;0.264200002;0.227899998
F8;scrambled_miRNA;L-Lysine;3;2;0;0.528999984;0.434199989;0.351700008;0.297399998;0.256399989;0.221499994
F9;control;L-Lysine;3;2;0;0.53579998;0.450300008;0.37560001;0.328299999;0.292800009;0.259900004
F10;plant_miRNA;L-Lysine;4;2;0;0.531400025;0.441399992;0.360799998;0.310200006;0.273000002;0.239299998
F11;scrambled_miRNA;L-Lysine;4;2;0;0.516799986;0.4296;0.353500009;0.3037;0.266200006;0.232700005
F12;control;L-Lysine;4;2;0;0.627200007;0.519400001;0.426800013;0.369399995;0.327300012;0.288700014
G1;plant_miRNA;L-Lysine;5;2;0;0.64230001;0.529900014;0.435400009;0.377799988;0.335399985;0.295899987
G2;scrambled_miRNA;L-Lysine;5;2;0;0.508700013;0.4287;0.361499995;0.318199992;0.284500003;0.253600001
G3;control;L-Lysine;5;2;0;0.522199988;0.429899991;0.349799991;0.298200011;0.25909999;0.223800004
G10;plant_miRNA;L-Lysine;1;2;20;0.369899988;0.30430001;0.246800005;0.214399993;0.185800001;0.164399996
G11;scrambled_miRNA;L-Lysine;1;2;20;0.372399986;0.306100011;0.248199999;0.210999995;0.184;0.159799993
G12;control;L-Lysine;1;2;20;0.65200001;0.537599981;0.438899994;0.377900004;0.334100008;0.29370001
H1;plant_miRNA;L-Lysine;2;2;20;0.453900009;0.361299992;0.283499986;0.233899996;0.197400004;0.1664
H2;scrambled_miRNA;L-Lysine;2;2;20;0.415600002;0.337300003;0.270300001;0.225600004;0.191799998;0.162699997
H3;control;L-Lysine;2;2;20;0.609499991;0.498800009;0.399899989;0.337900013;0.291399986;0.251100004
H4;plant_miRNA;L-Lysine;3;2;20;0.42899999;0.346500009;0.275099993;0.229300007;0.194900006;0.165399998
H5;scrambled_miRNA;L-Lysine;3;2;20;0.451000005;0.367900014;0.294999987;0.247199997;0.211099997;0.180399999
H6;control;L-Lysine;3;2;20;0.596800029;0.49059999;0.396699995;0.336600006;0.291900009;0.252299994
