Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520;OD530;OD540;OD550;OD560;OD570
A1;plant_miRNA;L-Lysine;1;2;0;0.601799995;0.493149996;0.403699994;0.346200004;0.301449999;0.26245001
A2;scrambled_miRNA;L-Lysine;1;2;0;0.565100014;0.469700009;0.388099998;0.3354;0.293150008;0.256749995
A3;control;L-Lysine;1;2;0;0.58524999;0.485050008;0.400200009;0.344449997;0.300099999;0.26214999
A4;plant_miRNA;L-Lysine;2;2;0;0.585649997;0.483649999;0.396799996;0.33905001;0.293449998;0.2553
A5;scrambled_miRNA;L-Lysine;2;2;0;0.59345001;0.490749985;0.404299989;0.347000003;0.301500008;0.26235
A6;control;L-Lysine;2;2;0;0.62470001;0.508899987;0.410150006;0.344900012;0.294249997;0.252800003
A7;plant_miRNA;L-Lysine;3;2;0;0.570500016;0.47405;0.388799995;0.332650006;0.288149998;0.250749998
A8;scrambled_miRNA;L-Lysine;3;2;0;0.578649998;0.482449993;0.398499995;0.342700005;0.298350006;0.26055
B1;control;L-Lysine;3;2;0;0.603599995;0.491400003;0.400899991;0.343349993;0.298599988;0.26070001
B2;plant_miRNA;L-Lysine;4;2;0;0.549549997;0.451200008;0.370700002;0.317850009;0.274999991;0.23945
B3;scrambled_miRNA;L-Lysine;4;2;0;0.580750018;0.476349995;0.388950005;0.331699997;0.285400003;0.247100003
B4;control;L-Lysine;4;2;0;0.604649991;0.496099979;0.406349987;0.347049996;0.299349993;0.260050006
B5;plant_miRNA;L-Lysine;5;2;0;0.589150012;0.481649995;0.392900005;0.333400011;0.285400003;0.245900005
B6;scrambled_miRNA;L-Lysine;5;2;0;0.598200023;0.494949996;0.411449999;0.355649993;0.310450003;0.271449991
B7;control;L-Lysine;5;2;0;0.55855;0.457900003;0.373999998;0.318550006;0.273599997;0.236900002
C1;plant_miRNA;L-Lysine;1;2;20;0.367049992;0.295499995;0.237850003;0.200899996;0.171000004;0.146949999
C2;scrambled_miRNA;L-Lysine;1;2;20;0.343150005;0.281900004;0.231649995;0.1976;0.169349998;0.14655
C3;control;L-Lysine;1;2;20;0.592649996;0.497299999;0.419799998;0.367899999;0.323899999;0.286500007
C4;plant_miRNA;L-Lysine;2;2;20;0.410400003;0.338100001;0.278149992;0.237200007;0.203099996;0.175549999
C5;scrambled_miRNA;L-Lysine;2;2;20;0.400700003;0.329449996;0.271600001;0.231699996;0.198450007;0.1712
C6;control;L-Lysine;2;2;20;0.607800007;0.510600001;0.430899993;0.377049997;0.332800001;0.294949993
C7;plant_miRNA;L-Lysine;3;2;20;0.407499999;0.336449996;0.275999993;0.234850004;0.200949997;0.173700005
C8;scrambled_miRNA;L-Lysine;3;2;20;0.376600012;0.305849999;0.249049999;0.210749999;0.179349996;0.15405
D1;control;L-Lysine;3;2;20;0.55340001;0.454849988;0.373850003;0.322549999;0.282299995;0.248150006
D2;plant_miRNA;L-Lysine;4;2;20;0.403450012;0.332149997;0.272649989;0.232000001;0.199000001;0.171950005
D3;scrambled_miRNA;L-Lysine;4;2;20;0.359700009;0.29550001;0.241650008;0.204800002;0.174249999;0.149549998
D4;control;L-Lysine;4;2;20;0.602349997;0.499199986;0.412349999;0.354450002;0.307950005;0.2689
