Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520;OD530;OD540;OD550;OD560;OD570
A1;plant_miRNA;L-Lysine;1;2;0;0.595099986;0.49059999;0.407299995;0.353799999;0.312299997;0.274100006
A2;scrambled_miRNA;L-Lysine;1;2;0;0.566100001;0.474000007;0.395500004;0.346799999;0.307700008;0.272199988
A3;control;L-Lysine;1;2;0;0.57980001;0.480500013;0.398200005;0.345699996;0.3037;0.267199993
A4;plant_miRNA;L-Lysine;2;2;0;0.564999998;0.465600014;0.3847;0.33160001;0.290100008;0.254099995
A5;scrambled_miRNA;L-Lysine;2;2;0;0.55250001;0.45539999;0.376899987;0.325500011;0.284200013;0.248099998
A6;control;L-Lysine;2;2;0;0.607800007;0.489199996;0.392100006;0.328900009;0.279399991;0.239800006
A7;plant_miRNA;L-Lysine;3;2;0;0.572700024;0.479400009;0.397599995;0.343400002;0.300799996;0.263399988
A8;scrambled_miRNA;L-Lysine;3;2;0;0.581200004;0.491699994;0.413599998;0.361400008;0.319700003;0.281599998
B1;control;L-Lysine;3;2;0;0.605799973;0.494500011;0.408899993;0.354999989;0.313499987;0.277200013
B2;plant_miRNA;L-Lysine;4;2;0;0.550000012;0.450100005;0.370400012;0.319000006;0.277399987;0.242300004
B3;scrambled_miRNA;L-Lysine;4;2;0;0.542500019;0.443399996;0.361699998;0.310400009;0.268700004;0.234099999
B4;control;L-Lysine;4;2;0;0.556100011;0.452499986;0.368999988;0.316100001;0.273699999;0.237900004
B5;plant_miRNA;L-Lysine;5;2;0;0.552600026;0.450800002;0.370499998;0.318300009;0.276300013;0.240700006
B6;scrambled_miRNA;L-Lysine;5;2;0;0.554400027;0.453299999;0.373899996;0.32159999;0.279300004;0.243599996
B7;control;L-Lysine;5;2;0;0.547800004;0.452100009;0.374199986;0.323300004;0.281599998;0.246600002
C1;plant_miRNA;L-Lysine;1;2;20;0.363499999;0.293199986;0.237800002;0.202099994;0.172900006;0.149399996
C2;scrambled_miRNA;L-Lysine;1;2;20;0.317699999;0.261700004;0.217099994;0.1866;0.161300004;0.140599996
C3;control;L-Lysine;1;2;20;0.559499979;0.469799995;0.402399987;0.3574;0.318199992;0.284700006
C4;plant_miRNA;L-Lysine;2;2;20;0.367300004;0.300999999;0.248899996;0.213400006;0.183599994;0.159400001
C5;scrambled_miRNA;L-Lysine;2;2;20;0.368499994;0.300799996;0.249200001;0.213599995;0.183500007;0.158800006
C6;control;L-Lysine;2;2;20;0.55430001;0.465200007;0.395399988;0.349099994;0.310000002;0.27759999
C7;plant_miRNA;L-Lysine;3;2;20;0.369599998;0.303799987;0.25;0.213400006;0.182899997;0.158600003
C8;scrambled_miRNA;L-Lysine;3;2;20;0.382800013;0.310000002;0.253399998;0.2148;0.182799995;0.157000005
D1;control;L-Lysine;3;2;20;0.569400012;0.474799991;0.395500004;0.34709999;0.309399992;0.276800007
D2;plant_miRNA;L-Lysine;4;2;20;0.372200012;0.305999994;0.252099991;0.216100007;0.186499998;0.162200004
D3;scrambled_miRNA;L-Lysine;4;2;20;0.322100013;0.263200015;0.214900002;0.183300003;0.156399995;0.134900004
D4;control;L-Lysine;4;2;20;0.530600011;0.436399996;0.360599995;0.310900003;0.270900011;0.238800004
D5;plant_miRNA;L-Lysine;5;2;20;0.363900006;0.296000004;0.241300002;0.204799995;0.174099997;0.149100006
D6;scrambled_miRNA;L-Lysine;5;2;20;0.344999999;0.281800002;0.231000006;0.196400002;0.167600006;0.144999996
D7;control;L-Lysine;5;2;20;0.605199993;0.509000003;0.430500001;0.378699988;0.337500006;0.301400006
E1;std;L-Lysine;N.A.;0;2;0.0526;0.054099999;0.052999999;0.052200001;0.0524;0.0517
E2;std;L-Lysine;N.A.;62.5;2;0.059900001;0.059099998;0.056499999;0.055300001;0.0546;0.0537
E3;std;L-Lysine;N.A.;125;2;0.068700001;0.065399997;0.061000001;0.058600001;0.057700001;0.055599999
E4;std;L-Lysine;N.A.;250;2;0.082800001;0.076099999;0.068099998;0.064499997;0.061799999;0.0594
E5;std;L-Lysine;N.A.;500;2;0.130700007;0.110699996;0.094300002;0.085299999;0.078400001;0.072400004
E6;std;L-Lysine;N.A.;1000;2;0.190699995;0.157600001;0.130799994;0.114500001;0.101999998;0.090700001
E7;std;L-Lysine;N.A.;2000;2;0.311800003;0.253899992;0.208000004;0.176799998;0.152999997;0.132300004
E8;std;L-Lysine;N.A.;4000;2;0.499500006;0.412999988;0.340499997;0.287600011;0.2447;0.208800003
G1;plant_miRNA;L-Lysine;1;2;22;0.261700004;0.214599997;0.177599996;0.152600005;0.131799996;0.115000002
G2;scrambled_miRNA;L-Lysine;1;2;22;0.262199998;0.217399999;0.182099998;0.157800004;0.136800006;0.120200001
G3;control;L-Lysine;1;2;22;0.619499981;0.525399983;0.454600006;0.407499999;0.368800014;0.334399998
G4;plant_miRNA;L-Lysine;2;2;22;0.348800004;0.289400011;0.240600005;0.208100006;0.179700002;0.157100007
G5;scrambled_miRNA;L-Lysine;2;2;22;0.350699991;0.290499985;0.241999999;0.2086;0.180199996;0.156800002
G6;control;L-Lysine;2;2;22;0.604600012;0.513400018;0.440899998;0.395999998;0.3583;0.322400004
G7;plant_miRNA;L-Lysine;3;2;22;0.327699989;0.270099998;0.2245;0.192699999;0.166099995;0.144500002
