Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520;OD530;OD540;OD550;OD560;OD570
A1;plant_miRNA;L-Lysine;1;2;0;0.605550021;0.500649989;0.411750004;0.354699999;0.309650004;0.270649999
A2;scrambled_miRNA;L-Lysine;1;2;0;0.582049996;0.481449991;0.396200001;0.34025;0.296199992;0.258350007
A3;control;L-Lysine;1;2;0;0.582000017;0.480900005;0.3935;0.337449998;0.292400002;0.253950007
A4;plant_miRNA;L-Lysine;2;2;0;0.586400002;0.491849989;0.413899988;0.362199992;0.32069999;0.283200003
A5;scrambled_miRNA;L-Lysine;2;2;0;0.567750007;0.474900007;0.397349998;0.346149996;0.305000007;0.268550009
A6;control;L-Lysine;2;2;0;0.60710001;0.510199994;0.42840001;0.374949992;0.331400007;0.292899996
A7;plant_miRNA;L-Lysine;3;2;0;0.572600007;0.472499996;0.388100013;0.330699995;0.285899997;0.247900002
A8;scrambled_miRNA;L-Lysine;3;2;0;0.545900017;0.451250002;0.371300012;0.3169;0.27350001;0.237050004
B1;control;L-Lysine;3;2;0;0.605649978;0.486149997;0.384049997;0.319650009;0.270500004;0.230599999
B2;plant_miRNA;L-Lysine;4;2;0;0.518000007;0.429950014;0.355449989;0.305800006;0.265249997;0.231400006
B3;scrambled_miRNA;L-Lysine;4;2;0;0.520899981;0.431700006;0.356099993;0.305950001;0.265500009;0.231600001
B4;control;L-Lysine;4;2;0;0.503100008;0.411949992;0.336400002;0.287249997;0.247400008;0.214749999
B5;plant_miRNA;L-Lysine;5;2;0;0.542450011;0.449000001;0.36985001;0.31750001;0.274700001;0.239300005
B6;scrambled_miRNA;L-Lysine;5;2;0;0.543099999;0.452299997;0.375649989;0.325399995;0.284350008;0.249150001
B7;control;L-Lysine;5;2;0;0.528899997;0.438749999;0.364000008;0.314450011;0.273650005;0.239350006
C1;plant_miRNA;L-Lysine;1;2;20;0.29384999;0.238449998;0.192900002;0.164250001;0.140700005;0.122050002
C2;scrambled_miRNA;L-Lysine;1;2;20;0.254450008;0.209250003;0.171750002;0.148000002;0.127549998;0.1118
C3;control;L-Lysine;1;2;20;0.541999996;0.447999999;0.372799993;0.316;0.272200003;0.236650005
C4;plant_miRNA;L-Lysine;2;2;20;0.310499996;0.254999995;0.208950005;0.181649998;0.154250003;0.133050002
C5;scrambled_miRNA;L-Lysine;2;2;20;0.310900003;0.254899994;0.208299994;0.178150006;0.152400002;0.132200003
C6;control;L-Lysine;2;2;20;0.559650004;0.458699986;0.372599989;0.316799998;0.271950006;0.235399999
C7;plant_miRNA;L-Lysine;3;2;20;0.356549993;0.29110001;0.236650005;0.20115;0.1712;0.147550002
C8;scrambled_miRNA;L-Lysine;3;2;20;0.371299997;0.302850008;0.245350003;0.208149999;0.177199997;0.152099997
D1;control;L-Lysine;3;2;20;0.556349993;0.455200002;0.368799999;0.313749999;0.269749999;0.232699998
D2;plant_miRNA;L-Lysine;4;2;20;0.305000007;0.252999999;0.2082;0.178500004;0.153549999;0.1338
D3;scrambled_miRNA;L-Lysine;4;2;20;0.3653;0.302499995;0.249249995;0.212899998;0.183300003;0.158849999
D4;control;L-Lysine;4;2;20;0.545450002;0.457149997;0.383249998;0.334700003;0.29519999;0.260399997
D5;plant_miRNA;L-Lysine;5;2;20;0.269299999;0.223200001;0.1844;0.158100002;0.136;0.11815
D6;scrambled_miRNA;L-Lysine;5;2;20;0.319700003;0.26470001;0.218649998;0.187000006;0.161249995;0.139899999
D7;control;L-Lysine;5;2;20;0.593950003;0.499150008;0.418650001;0.365649998;0.323950008;0.285550006
E1;std;L-Lysine;N.A.;0;2;0.055750001;0.054400001;0.053850001;0.053749999;0.05345;0.052949999
E2;std;L-Lysine;N.A.;62.5;2;0.062700002;0.0592;0.062600002;0.058149999;0.059549998;0.05865
E3;std;L-Lysine;N.A.;125;2;0.07175;0.065050002;0.061249999;0.0595;0.058;0.05625
E4;std;L-Lysine;N.A.;250;2;0.088750001;0.07725;0.069850001;0.065550003;0.062550001;0.05995
E5;std;L-Lysine;N.A.;500;2;0.138349995;0.112149999;0.094999999;0.08515;0.077950001;0.0724
E6;std;L-Lysine;N.A.;1000;2;0.213299997;0.166500002;0.134349994;0.116100002;0.102249999;0.091249999
E7;std;L-Lysine;N.A.;2000;2;0.373800009;0.292750001;0.230549999;0.192450002;0.163600005;0.140450001
E8;std;L-Lysine;N.A.;4000;2;0.640799999;0.520599991;0.415749997;0.346799999;0.292699993;0.248600006
G1;plant_miRNA;L-Lysine;1;2;22;0.219950005;0.178450003;0.145100005;0.125000004;0.107500002;0.094099998
G2;scrambled_miRNA;L-Lysine;1;2;22;0.202650003;0.166550003;0.13735;0.11885;0.103500001;0.0909
G3;control;L-Lysine;1;2;22;0.536900014;0.438150004;0.35165;0.296049997;0.250800006;0.214049995
G4;plant_miRNA;L-Lysine;2;2;22;0.210349999;0.173200004;0.142449997;0.123349998;0.106849998;0.093900003
G5;scrambled_miRNA;L-Lysine;2;2;22;0.235350005;0.192450002;0.157200001;0.135449998;0.116700001;0.1019
G6;control;L-Lysine;2;2;22;0.536949992;0.442200005;0.358400002;0.303900003;0.259499997;0.223349996
G7;plant_miRNA;L-Lysine;3;2;22;0.226900004;0.186000004;0.152149998;0.131549999;0.11355;0.099649999
G8;scrambled_miRNA;L-Lysine;3;2;22;0.232000001;0.1906;0.156800002;0.135650001;0.11665;0.102199998
H1;control;L-Lysine;3;2;22;0.575049996;0.467900008;0.373449996;0.313449994;0.26715;0.228750005
H2;plant_miRNA;L-Lysine;4;2;22;0.228850007;0.187749997;0.15405;0.131749995;0.113650002;0.0984
H3;scrambled_miRNA;L-Lysine;4;2;22;0.283950001;0.232250005;0.188249998;0.159999996;0.136299998;0.116950002
