Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520;OD530;OD540;OD550;OD560;OD570
A1;plant_miRNA;L-Lysine;1;2;0;0.657800019;0.538299978;0.437999994;0.37439999;0.323100001;0.280000001
A2;scrambled_miRNA;L-Lysine;1;2;0;0.61680001;0.510599971;0.421099991;0.363700002;0.316599995;0.27700001
A3;control;L-Lysine;1;2;0;0.650600016;0.529100001;0.42809999;0.363700002;0.311300009;0.26820001
A4;plant_miRNA;L-Lysine;2;2;0;0.656700015;0.551199973;0.464899987;0.409799993;0.363999993;0.322100013
A5;scrambled_miRNA;L-Lysine;2;2;0;0.620299995;0.517400026;0.431400001;0.3759;0.330300003;0.290300012
A6;control;L-Lysine;2;2;0;0.66960001;0.561999977;0.47240001;0.415699989;0.36680001;0.324900001
A7;plant_miRNA;L-Lysine;3;2;0;0.566799998;0.464899987;0.378500015;0.3213;0.275099993;0.237900004
A8;scrambled_miRNA;L-Lysine;3;2;0;0.545400023;0.446799994;0.364100009;0.3116;0.267500013;0.231700003
B1;control;L-Lysine;3;2;0;0.574599981;0.465499997;0.372999996;0.314700007;0.26730001;0.229499996
B2;plant_miRNA;L-Lysine;4;2;0;0.530799985;0.441000015;0.363799989;0.314099997;0.272199988;0.238100007
B3;scrambled_miRNA;L-Lysine;4;2;0;0.53549999;0.442000002;0.361799985;0.309700012;0.266600013;0.231800005
B4;control;L-Lysine;4;2;0;0.495400012;0.405099988;0.330000013;0.282700002;0.243100002;0.211300001
B5;plant_miRNA;L-Lysine;5;2;0;0.572600007;0.474299997;0.39230001;0.340200007;0.296000004;0.25940001
B6;scrambled_miRNA;L-Lysine;5;2;0;0.564499974;0.470699996;0.391099989;0.340000004;0.296700001;0.260600001
B7;control;L-Lysine;5;2;0;0.524399996;0.435499996;0.362800002;0.315600008;0.274800003;0.241500005
C1;plant_miRNA;L-Lysine;1;2;20;0.296299994;0.241899997;0.196400002;0.168099999;0.143900007;0.125300005
C2;scrambled_miRNA;L-Lysine;1;2;20;0.270900011;0.222200006;0.180700004;0.155200005;0.132699996;0.116099998
C3;control;L-Lysine;1;2;20;0.568000019;0.471300006;0.397899985;0.336499989;0.290300012;0.254200011
C4;plant_miRNA;L-Lysine;2;2;20;0.335700005;0.274699986;0.223100007;0.196400002;0.1646;0.140900001
C5;scrambled_miRNA;L-Lysine;2;2;20;0.330500007;0.269699991;0.217999995;0.186000004;0.157900006;0.136500001
C6;control;L-Lysine;2;2;20;0.560699999;0.460399985;0.373699993;0.318699986;0.272300005;0.236000001
C7;plant_miRNA;L-Lysine;3;2;20;0.385899991;0.312400013;0.250200003;0.211400002;0.177599996;0.152099997
C8;scrambled_miRNA;L-Lysine;3;2;20;0.400299996;0.324200004;0.259600013;0.219699994;0.185399994;0.158399999
