Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520
A1;plant_miRNA;L-Proline;1;2;0;2.470700026
A2;scrambled_miRNA;L-Proline;1;2;0;2.237200022
A3;control;L-Proline;1;2;0;2.435499907
A4;plant_miRNA;L-Proline;2;2;0;2.177099943
A5;scrambled_miRNA;L-Proline;2;2;0;2.255399942
A6;control;L-Proline;2;2;0;2.424299955
A7;plant_miRNA;L-Proline;3;2;0;2.253799915
A8;scrambled_miRNA;L-Proline;3;2;0;2.329299927
B1;control;L-Proline;3;2;0;2.943099976
B2;plant_miRNA;L-Proline;4;2;0;1.759600043
B3;scrambled_miRNA;L-Proline;4;2;0;1.714599967
B4;control;L-Proline;4;2;0;1.893900037
B5;plant_miRNA;L-Proline;5;2;0;1.813699961
B6;scrambled_miRNA;L-Proline;5;2;0;1.967300057
B7;control;L-Proline;5;2;0;1.855399966
C1;plant_miRNA;L-Proline;1;2;12;1.943699956
C2;scrambled_miRNA;L-Proline;1;2;12;2.047899961
C3;control;L-Proline;1;2;12;1.907500029
C4;plant_miRNA;L-Proline;2;2;12;1.791900039
C5;scrambled_miRNA;L-Proline;2;2;12;1.762799978
C6;control;L-Proline;2;2;12;1.781200051
C7;plant_miRNA;L-Proline;3;2;12;1.728199959
C8;scrambled_miRNA;L-Proline;3;2;12;1.68599999
D1;control;L-Proline;3;2;12;2.485199928
D2;plant_miRNA;L-Proline;4;2;12;1.716799974
D3;scrambled_miRNA;L-Proline;4;2;12;1.690400004
D4;control;L-Proline;4;2;12;1.800699949
D5;plant_miRNA;L-Proline;5;2;12;1.629799962
D6;scrambled_miRNA;L-Proline;5;2;12;1.662999988
D7;control;L-Proline;5;2;12;2.024600029
E1;std;L-Proline;N.A.;0;2;0.054499999
E2;std;L-Proline;N.A.;62.5;2;0.112000003
E3;std;L-Proline;N.A.;125;2;0.181999996
E4;std;L-Proline;N.A.;250;2;0.334899992
E5;std;L-Proline;N.A.;500;2;0.712800026
E6;std;L-Proline;N.A.;1000;2;1.375499964
E7;std;L-Proline;N.A.;2000;2;2.085299969
E8;std;L-Proline;N.A.;4000;2;2.814100027
G1;plant_miRNA;L-Proline;1;2;18;0.859899998
G2;scrambled_miRNA;L-Proline;1;2;18;0.654200017
G3;control;L-Proline;1;2;18;2.101599932
G4;plant_miRNA;L-Proline;2;2;18;0.731999993
G5;scrambled_miRNA;L-Proline;2;2;18;0.750899971
G6;control;L-Proline;2;2;18;1.806599975
G7;plant_miRNA;L-Proline;3;2;18;0.852199972
G8;scrambled_miRNA;L-Proline;3;2;18;0.860400021
H1;control;L-Proline;3;2;18;2.73210001
H2;plant_miRNA;L-Proline;4;2;18;1.164399981
H3;scrambled_miRNA;L-Proline;4;2;18;0.899800003
H4;control;L-Proline;4;2;18;2.052099943
H5;plant_miRNA;L-Proline;5;2;18;1.022899985
H6;scrambled_miRNA;L-Proline;5;2;18;1.218400002
H7;control;L-Proline;5;2;18;2.277400017
A10;scrambled_miRNA;L-Proline;3;2;24;0.056600001
B10;plant_miRNA;L-Proline;3;2;24;0.049800001
C10;control;L-Proline;2;2;24;2.444499969
D10;scrambled_miRNA;L-Proline;2;2;24;0.043499999
E10;plant_miRNA;L-Proline;2;2;24;0.054200001
F10;control;L-Proline;1;2;24;2.450900078
G10;scrambled_miRNA;L-Proline;1;2;24;0.0484
H10;plant_miRNA;L-Proline;1;2;24;0.046
A11;control;L-Proline;5;2;24;2.647599936
B11;scrambled_miRNA;L-Proline;5;2;24;0.053300001
C11;plant_miRNA;L-Proline;5;2;24;0.047499999
D11;control;L-Proline;4;2;24;2.264199972
E11;scrambled_miRNA;L-Proline;4;2;24;0.057
F11;plant_miRNA;L-Proline;4;2;24;0.0504
G11;control;L-Proline;3;2;24;2.618799925
