Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520
A1;plant_miRNA;L-Proline;1;2;0;2.121600032
A2;scrambled_miRNA;L-Proline;1;2;0;1.857749999
A3;control;L-Proline;1;2;0;2.426399946
A4;plant_miRNA;L-Proline;2;2;0;1.781350017
A5;scrambled_miRNA;L-Proline;2;2;0;2.06979996
A6;control;L-Proline;2;2;0;2.183899999
A7;plant_miRNA;L-Proline;3;2;0;2.028800011
A8;scrambled_miRNA;L-Proline;3;2;0;1.899150014
B1;control;L-Proline;3;2;0;2.116150022
B2;plant_miRNA;L-Proline;4;2;0;1.716399968
B3;scrambled_miRNA;L-Proline;4;2;0;1.684600055
B4;control;L-Proline;4;2;0;1.69205004
B5;plant_miRNA;L-Proline;5;2;0;1.599300027
B6;scrambled_miRNA;L-Proline;5;2;0;1.666000009
B7;control;L-Proline;5;2;0;1.814300001
C1;plant_miRNA;L-Proline;1;2;12;1.815600038
C2;scrambled_miRNA;L-Proline;1;2;12;1.588400006
C3;control;L-Proline;1;2;12;1.783050001
C4;plant_miRNA;L-Proline;2;2;12;1.583400011
C5;scrambled_miRNA;L-Proline;2;2;12;1.49849999
C6;control;L-Proline;2;2;12;1.763700008
C7;plant_miRNA;L-Proline;3;2;12;1.54914999
C8;scrambled_miRNA;L-Proline;3;2;12;1.688699961
D1;control;L-Proline;3;2;12;1.791649997
D2;plant_miRNA;L-Proline;4;2;12;1.539650023
D3;scrambled_miRNA;L-Proline;4;2;12;1.472050011
D4;control;L-Proline;4;2;12;1.735949993
D5;plant_miRNA;L-Proline;5;2;12;1.493149996
D6;scrambled_miRNA;L-Proline;5;2;12;1.55035001
D7;control;L-Proline;5;2;12;1.739499986
E1;std;L-Proline;N.A.;0;2;0.056150001
E2;std;L-Proline;N.A.;62.5;2;0.12125
E3;std;L-Proline;N.A.;125;2;0.194299996
E4;std;L-Proline;N.A.;250;2;0.355700001
E5;std;L-Proline;N.A.;500;2;0.760849983
E6;std;L-Proline;N.A.;1000;2;1.365100026
E7;std;L-Proline;N.A.;2000;2;2.199299932
E8;std;L-Proline;N.A.;4000;2;0.0493
G1;plant_miRNA;L-Proline;1;2;18;1.305950046
G2;scrambled_miRNA;L-Proline;1;2;18;0.942900002
G3;control;L-Proline;1;2;18;1.769550025
G4;plant_miRNA;L-Proline;2;2;18;0.913650006
G5;scrambled_miRNA;L-Proline;2;2;18;0.895549983
G6;control;L-Proline;2;2;18;1.72240001
G7;plant_miRNA;L-Proline;3;2;18;0.979400009
G8;scrambled_miRNA;L-Proline;3;2;18;0.911249995
H1;control;L-Proline;3;2;18;2.241149902
H2;plant_miRNA;L-Proline;4;2;18;0.962000012
H3;scrambled_miRNA;L-Proline;4;2;18;1.133399963
H4;control;L-Proline;4;2;18;1.839850008
H5;plant_miRNA;L-Proline;5;2;18;1.093699992
H6;scrambled_miRNA;L-Proline;5;2;18;1.140350044
H7;control;L-Proline;5;2;18;2.042349935
A10;scrambled_miRNA;L-Proline;3;2;24;0.060799999
B10;plant_miRNA;L-Proline;3;2;24;0.245749995
C10;control;L-Proline;2;2;24;1.999499977
D10;scrambled_miRNA;L-Proline;2;2;24;0.05535
E10;plant_miRNA;L-Proline;2;2;24;0.175699994
F10;control;L-Proline;1;2;24;1.870299995
G10;scrambled_miRNA;L-Proline;1;2;24;0.0471
H10;plant_miRNA;L-Proline;1;2;24;0.04305
A11;control;L-Proline;5;2;24;2.621699929
B11;scrambled_miRNA;L-Proline;5;2;24;0.232750006
C11;plant_miRNA;L-Proline;5;2;24;0.136850003
D11;control;L-Proline;4;2;24;2.25150001
E11;scrambled_miRNA;L-Proline;4;2;24;0.658699989
F11;plant_miRNA;L-Proline;4;2;24;0.04995
G11;control;L-Proline;3;2;24;2.518300056
