Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD520
A1;plant_miRNA;L-Proline;1;2;0;2.145900011
A2;scrambled_miRNA;L-Proline;1;2;0;1.849099994
A3;control;L-Proline;1;2;0;2.627399921
A4;plant_miRNA;L-Proline;2;2;0;1.69780004
A5;scrambled_miRNA;L-Proline;2;2;0;1.819800019
A6;control;L-Proline;2;2;0;2.071099997
A7;plant_miRNA;L-Proline;3;2;0;2.061300039
A8;scrambled_miRNA;L-Proline;3;2;0;1.980599999
B1;control;L-Proline;3;2;0;1.995300055
B2;plant_miRNA;L-Proline;4;2;0;1.779399991
B3;scrambled_miRNA;L-Proline;4;2;0;1.756800056
B4;control;L-Proline;4;2;0;1.702200055
B5;plant_miRNA;L-Proline;5;2;0;1.660400033
B6;scrambled_miRNA;L-Proline;5;2;0;1.783100009
B7;control;L-Proline;5;2;0;1.660599947
C1;plant_miRNA;L-Proline;1;2;12;1.842200041
C2;scrambled_miRNA;L-Proline;1;2;12;1.541100025
C3;control;L-Proline;1;2;12;1.663800001
C4;plant_miRNA;L-Proline;2;2;12;1.523599982
C5;scrambled_miRNA;L-Proline;2;2;12;1.463500023
C6;control;L-Proline;2;2;12;1.774999976
C7;plant_miRNA;L-Proline;3;2;12;1.618199944
C8;scrambled_miRNA;L-Proline;3;2;12;1.754099965
D1;control;L-Proline;3;2;12;1.829599977
D2;plant_miRNA;L-Proline;4;2;12;1.623900056
D3;scrambled_miRNA;L-Proline;4;2;12;1.538400054
D4;control;L-Proline;4;2;12;1.800699949
D5;plant_miRNA;L-Proline;5;2;12;1.456599951
D6;scrambled_miRNA;L-Proline;5;2;12;1.550500035
D7;control;L-Proline;5;2;12;1.712000012
E1;std;L-Proline;N.A.;0;2;0.057399999
E2;std;L-Proline;N.A.;62.5;2;0.121399999
E3;std;L-Proline;N.A.;125;2;0.192399994
E4;std;L-Proline;N.A.;250;2;0.351000011
E5;std;L-Proline;N.A.;500;2;0.756699979
E6;std;L-Proline;N.A.;1000;2;1.34010005
E7;std;L-Proline;N.A.;2000;2;2.10739994
E8;std;L-Proline;N.A.;4000;2;0.046300001
G1;plant_miRNA;L-Proline;1;2;18;1.343700051
G2;scrambled_miRNA;L-Proline;1;2;18;0.9005
G3;control;L-Proline;1;2;18;1.78760004
G4;plant_miRNA;L-Proline;2;2;18;0.921599984
G5;scrambled_miRNA;L-Proline;2;2;18;0.879599988
G6;control;L-Proline;2;2;18;1.716099977
G7;plant_miRNA;L-Proline;3;2;18;0.947899997
G8;scrambled_miRNA;L-Proline;3;2;18;0.95480001
H1;control;L-Proline;3;2;18;2.243599892
H2;plant_miRNA;L-Proline;4;2;18;0.980400026
H3;scrambled_miRNA;L-Proline;4;2;18;1.26639998
H4;control;L-Proline;4;2;18;2.04640007
H5;plant_miRNA;L-Proline;5;2;18;1.202499986
H6;scrambled_miRNA;L-Proline;5;2;18;1.264600039
H7;control;L-Proline;5;2;18;2.219199896
A10;scrambled_miRNA;L-Proline;3;2;24;0.066399999
B10;plant_miRNA;L-Proline;3;2;24;0.228100002
C10;control;L-Proline;2;2;24;1.78610003
D10;scrambled_miRNA;L-Proline;2;2;24;0.056000002
E10;plant_miRNA;L-Proline;2;2;24;0.166099995
F10;control;L-Proline;1;2;24;1.722000003
G10;scrambled_miRNA;L-Proline;1;2;24;0.049199998
H10;plant_miRNA;L-Proline;1;2;24;0.0438
A11;control;L-Proline;5;2;24;2.422199965
B11;scrambled_miRNA;L-Proline;5;2;24;0.205899999
C11;plant_miRNA;L-Proline;5;2;24;0.1237
D11;control;L-Proline;4;2;24;2.068000078
E11;scrambled_miRNA;L-Proline;4;2;24;0.647199988
F11;plant_miRNA;L-Proline;4;2;24;0.0502
G11;control;L-Proline;3;2;24;2.313600063
