Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD540
A1;plant_miRNA;MIX17AA;1;2;0;0.340849996
A2;scrambled_miRNA;MIX17AA;1;2;0;0.445450008
A3;control;MIX17AA;1;2;0;0.4419
A4;plant_miRNA;MIX17AA;2;2;0;0.449249998
A5;scrambled_miRNA;MIX17AA;2;2;0;0.477150008
A6;control;MIX17AA;2;2;0;0.43705
A7;plant_miRNA;MIX17AA;3;2;0;0.439549997
A8;scrambled_miRNA;MIX17AA;3;2;0;0.474199995
B1;control;MIX17AA;3;2;0;0.457199991
B2;plant_miRNA;MIX17AA;4;2;0;0.477300018
B3;scrambled_miRNA;MIX17AA;4;2;0;0.463149995
B4;control;MIX17AA;4;2;0;0.483249992
B5;plant_miRNA;MIX17AA;5;2;0;0.48545
B6;scrambled_miRNA;MIX17AA;5;2;0;0.467599988
B7;control;MIX17AA;5;2;0;0.499050006
C1;plant_miRNA;MIX17AA;1;2;1;0.381199986
C2;scrambled_miRNA;MIX17AA;1;2;1;0.462949991
C3;control;MIX17AA;1;2;1;0.439249992
C4;plant_miRNA;MIX17AA;2;2;1;0.437250003
C5;scrambled_miRNA;MIX17AA;2;2;1;0.466049999
C6;control;MIX17AA;2;2;1;0.456949994
C7;plant_miRNA;MIX17AA;3;2;1;0.484200016
C8;scrambled_miRNA;MIX17AA;3;2;1;0.503100008
D1;control;MIX17AA;3;2;1;0.44614999
D2;plant_miRNA;MIX17AA;4;2;1;0.492850006
D3;scrambled_miRNA;MIX17AA;4;2;1;0.465149999
D4;control;MIX17AA;4;2;1;0.491400003
D5;plant_miRNA;MIX17AA;5;2;1;0.463750005
D6;scrambled_miRNA;MIX17AA;5;2;1;0.48619999
D7;control;MIX17AA;5;2;1;0.433850005
E1;std;MIX17AA;N.A.;0;2;0.064400002
E2;std;MIX17AA;N.A.;62.5;2;0.169699997
E3;std;MIX17AA;N.A.;125;2;0.258300006
E4;std;MIX17AA;N.A.;250;2;0.447600007
E5;std;MIX17AA;N.A.;500;2;0.516799986
G1;plant_miRNA;MIX17AA;1;2;4;0.353499994
G2;scrambled_miRNA;MIX17AA;1;2;4;0.371950001
G3;control;MIX17AA;1;2;4;0.438649997
G4;plant_miRNA;MIX17AA;2;2;4;0.3653
G5;scrambled_miRNA;MIX17AA;2;2;4;0.390849993
G6;control;MIX17AA;2;2;4;0.448300004
G7;plant_miRNA;MIX17AA;3;2;4;0.36665
G8;scrambled_miRNA;MIX17AA;3;2;4;0.392800003
H1;control;MIX17AA;3;2;4;0.405300006
H2;plant_miRNA;MIX17AA;4;2;4;0.357950002
H3;scrambled_miRNA;MIX17AA;4;2;4;0.383999988
H4;control;MIX17AA;4;2;4;0.441699997
H5;plant_miRNA;MIX17AA;5;2;4;0.401150003
H6;scrambled_miRNA;MIX17AA;5;2;4;0.385499999
H7;control;MIX17AA;5;2;4;0.451999992
A10;scrambled_miRNA;MIX17AA;3;2;12;0.233500004
B10;plant_miRNA;MIX17AA;3;2;12;0.230549999
C10;control;MIX17AA;2;2;12;0.470400006
D10;scrambled_miRNA;MIX17AA;2;2;12;0.229800001
E10;plant_miRNA;MIX17AA;2;2;12;0.23945
F10;control;MIX17AA;1;2;12;0.444049999
G10;scrambled_miRNA;MIX17AA;1;2;12;0.238049999
H10;plant_miRNA;MIX17AA;1;2;12;0.206250004
A11;control;MIX17AA;5;2;12;0.454549998
B11;scrambled_miRNA;MIX17AA;5;2;12;0.255900003
C11;plant_miRNA;MIX17AA;5;2;12;0.149750005
D11;control;MIX17AA;4;2;12;0.450550005
E11;scrambled_miRNA;MIX17AA;4;2;12;0.2685
F11;plant_miRNA;MIX17AA;4;2;12;0.259299994
G11;control;MIX17AA;3;2;12;0.412650004
