Well_ID;Treatment;N_Source;Pair;Dose (uM);Time;OD540
A1;plant_miRNA;MIX17AA;1;2;0;0.407499999
A2;scrambled_miRNA;MIX17AA;1;2;0;0.413700014
A3;control;MIX17AA;1;2;0;0.437099993
A4;plant_miRNA;MIX17AA;2;2;0;0.414200008
A5;scrambled_miRNA;MIX17AA;2;2;0;0.419999987
A6;control;MIX17AA;2;2;0;0.425999999
A7;plant_miRNA;MIX17AA;3;2;0;0.393099993
A8;scrambled_miRNA;MIX17AA;3;2;0;0.439900011
B1;control;MIX17AA;3;2;0;0.420399994
B2;plant_miRNA;MIX17AA;4;2;0;0.440800011
B3;scrambled_miRNA;MIX17AA;4;2;0;0.422500014
B4;control;MIX17AA;4;2;0;0.442099988
B5;plant_miRNA;MIX17AA;5;2;0;0.435400009
B6;scrambled_miRNA;MIX17AA;5;2;0;0.419499993
B7;control;MIX17AA;5;2;0;0.490500003
C1;plant_miRNA;MIX17AA;1;2;1;0.453399986
C2;scrambled_miRNA;MIX17AA;1;2;1;0.4199
C3;control;MIX17AA;1;2;1;0.412099987
C4;plant_miRNA;MIX17AA;2;2;1;0.394400001
C5;scrambled_miRNA;MIX17AA;2;2;1;0.428600013
C6;control;MIX17AA;2;2;1;0.425599992
C7;plant_miRNA;MIX17AA;3;2;1;0.447100013
C8;scrambled_miRNA;MIX17AA;3;2;1;0.503199995
D1;control;MIX17AA;3;2;1;0.430099994
D2;plant_miRNA;MIX17AA;4;2;1;0.485599995
D3;scrambled_miRNA;MIX17AA;4;2;1;0.4384
D4;control;MIX17AA;4;2;1;0.476300001
D5;plant_miRNA;MIX17AA;5;2;1;0.43720001
D6;scrambled_miRNA;MIX17AA;5;2;1;0.471500009
D7;control;MIX17AA;5;2;1;0.448000014
E1;std;MIX17AA;N.A.;0;2;0.064400002
E2;std;MIX17AA;N.A.;62.5;2;0.169699997
E3;std;MIX17AA;N.A.;125;2;0.258300006
E4;std;MIX17AA;N.A.;250;2;0.447600007
E5;std;MIX17AA;N.A.;500;2;0.516799986
G1;plant_miRNA;MIX17AA;1;2;4;0.35589999
G2;scrambled_miRNA;MIX17AA;1;2;4;0.393400013
G3;control;MIX17AA;1;2;4;0.465799987
G4;plant_miRNA;MIX17AA;2;2;4;0.377999991
G5;scrambled_miRNA;MIX17AA;2;2;4;0.400099993
G6;control;MIX17AA;2;2;4;0.462300003
G7;plant_miRNA;MIX17AA;3;2;4;0.391799986
G8;scrambled_miRNA;MIX17AA;3;2;4;0.405800015
H1;control;MIX17AA;3;2;4;0.426600009
H2;plant_miRNA;MIX17AA;4;2;4;0.362199992
H3;scrambled_miRNA;MIX17AA;4;2;4;0.382099986
H4;control;MIX17AA;4;2;4;0.44569999
H5;plant_miRNA;MIX17AA;5;2;4;0.372900009
H6;scrambled_miRNA;MIX17AA;5;2;4;0.36559999
H7;control;MIX17AA;5;2;4;0.443199992
A10;scrambled_miRNA;MIX17AA;3;2;12;0.221300006
B10;plant_miRNA;MIX17AA;3;2;12;0.224199995
C10;control;MIX17AA;2;2;12;0.481000006
D10;scrambled_miRNA;MIX17AA;2;2;12;0.241400003
E10;plant_miRNA;MIX17AA;2;2;12;0.237499997
F10;control;MIX17AA;1;2;12;0.423099995
G10;scrambled_miRNA;MIX17AA;1;2;12;0.226699993
H10;plant_miRNA;MIX17AA;1;2;12;0.163200006
A11;control;MIX17AA;5;2;12;0.435099989
B11;scrambled_miRNA;MIX17AA;5;2;12;0.249699995
C11;plant_miRNA;MIX17AA;5;2;12;0.041900001
D11;control;MIX17AA;4;2;12;0.460500002
E11;scrambled_miRNA;MIX17AA;4;2;12;0.278699994
F11;plant_miRNA;MIX17AA;4;2;12;0.261599988
G11;control;MIX17AA;3;2;12;0.460299999
