Well_ID	Treatment	N_Source	Pair	Dose (uM)	Time	OD540	OD550	OD560	OD570
A2	plant_miRNA	mix17_AA	1	2	0	0.411000013	0.478399992	0.563000023	0.639199972
A3	scrambled_miRNA	mix17_AA	1	2	0	0.227300003	0.262400001	0.306400001	0.344599992
A4	control	mix17_AA	1	0	0	0.324299991	0.377099991	0.441500008	0.50029999
A5	plant_miRNA	mix17_AA	2	2	0	0.371600002	0.432000011	0.506099999	0.574000001
A6	scrambled_miRNA	mix17_AA	2	2	0	0.420399994	0.487199992	0.566100001	0.638999999
A7	control	mix17_AA	2	0	0	0.422399998	0.488999993	0.572399974	0.647700012
A8	plant_miRNA	mix17_AA	3	2	0	0.381500006	0.441799998	0.515299976	0.583400011
A9	scrambled_miRNA	mix17_AA	3	2	0	0.435400009	0.505599976	0.593299985	0.672399998
A10	control	mix17_AA	3	0	0	0.312000006	0.361600012	0.422300011	0.477999985
B2	plant_miRNA	mix17_AA	4	2	0	0.377900004	0.43779999	0.512399971	0.580799997
B3	scrambled_miRNA	mix17_AA	4	2	0	0.359200001	0.416099995	0.486400008	0.550000012
B4	control	mix17_AA	4	0	0	0.445199996	0.517799973	0.606599987	0.687699974
B5	plant_miRNA	mix17_AA	5	2	0	0.369700015	0.42930001	0.501800001	0.568599999
B6	scrambled_miRNA	mix17_AA	5	2	0	0.374599993	0.434100002	0.506699979	0.573800027
B7	control	mix17_AA	5	0	0	0.400099993	0.465499997	0.544700027	0.61589998
C2	plant_miRNA	mix17_AA	1	2	1	0.375999987	0.435799986	0.512199998	0.582599998
C3	scrambled_miRNA	mix17_AA	1	2	1	0.36469999	0.422199994	0.495700002	0.56279999
C4	plant_miRNA	mix17_AA	2	2	1	0.348500013	0.404300004	0.4745	0.539200008
C5	scrambled_miRNA	mix17_AA	2	2	1	0.358399987	0.415600002	0.486900002	0.552999973
C6	plant_miRNA	mix17_AA	3	2	1	0.377700001	0.437900007	0.512399971	0.582199991
C7	scrambled_miRNA	mix17_AA	3	2	1	0.379099995	0.440400004	0.516300023	0.587100029
C8	plant_miRNA	mix17_AA	4	2	1	0.36649999	0.425099999	0.498400003	0.566999972
C9	scrambled_miRNA	mix17_AA	4	2	1	0.355300009	0.412299991	0.483500004	0.549600005
C10	plant_miRNA	mix17_AA	5	2	1	0.435799986	0.504299998	0.592599988	0.673699975
C11	scrambled_miRNA	mix17_AA	5	2	1	0.4463	0.515100002	0.603799999	0.686699986
D2	std	mix17_AA	N.A	500	N.A.	0.439300001	0.506900012	0.592999995	0.671500027
D3	std	mix17_AA	N.A	250	N.A.	0.411799997	0.478199989	0.561800003	0.637700021
D4	std	mix17_AA	N.A	125	N.A.	0.260800004	0.301600009	0.351799995	0.397700012
D5	std	mix17_AA	N.A	62.5	N.A.	0.193200007	0.222900003	0.25850001	0.289900005
D6	std	mix17_AA	N.A	0	N.A.	0.104599997	0.1184	0.132300004	0.1435
E2	plant_miRNA	mix17_AA	1	2	4	0.333299994	0.386999995	0.453099996	0.512799978
E3	scrambled_miRNA	mix17_AA	1	2	4	0.31310001	0.361600012	0.421799988	0.477800012
E4	plant_miRNA	mix17_AA	2	2	4	0.361999989	0.417199999	0.487599999	0.550000012
E5	scrambled_miRNA	mix17_AA	2	2	4	0.353799999	0.407999992	0.479000002	0.539799988
E6	plant_miRNA	mix17_AA	3	2	4	0.344000012	0.398600012	0.464399993	0.524600029
E7	scrambled_miRNA	mix17_AA	3	2	4	0.365099996	0.424100012	0.493200004	0.556900024
E8	plant_miRNA	mix17_AA	4	2	4	0.331900001	0.384900004	0.448500007	0.505800009
E9	scrambled_miRNA	mix17_AA	4	2	4	0.3477	0.40200001	0.468800008	0.529500008
E10	plant_miRNA	mix17_AA	5	2	4	0.353700012	0.40959999	0.476799995	0.541100025
E11	scrambled_miRNA	mix17_AA	5	2	4	0.345699996	0.400200009	0.467900008	0.529500008
F2	plant_miRNA	mix17_AA	1	2	12	0.26879999	0.310900003	0.362100005	0.408800006
F3	scrambled_miRNA	mix17_AA	1	2	12	0.256399989	0.296499997	0.345600009	0.390599996
F4	control	mix17_AA	1	0	12	0.409799993	0.476300001	0.558899999	0.63410002
F5	plant_miRNA	mix17_AA	2	2	12	0.253899992	0.292400002	0.34009999	0.38319999
F6	scrambled_miRNA	mix17_AA	2	2	12	0.238199994	0.275700003	0.319599986	0.359699994
F7	control	mix17_AA	2	0	12	0.422500014	0.490200013	0.574500024	0.651799977
F8	plant_miRNA	mix17_AA	3	2	12	0.240199998	0.277700007	0.32249999	0.363200009
F9	scrambled_miRNA	mix17_AA	3	2	12	0.283899993	0.328000009	0.380100012	0.428000003
F10	control	mix17_AA	3	0	12	0.189400002	0.216900006	0.248500004	0.276499987
G2	plant_miRNA	mix17_AA	4	2	12	0.253399998	0.291700006	0.340600014	0.385800004
G3	scrambled_miRNA	mix17_AA	4	2	12	0.253899992	0.292400002	0.341199994	0.386500001
G4	control	mix17_AA	4	0	12	0.447400004	0.518899977	0.609600008	0.693099976
G5	plant_miRNA	mix17_AA	5	2	12	0.253699988	0.291900009	0.340900004	0.385800004
G6	scrambled_miRNA	mix17_AA	5	2	12	0.243599996	0.280800015	0.327399999	0.370299995
G7	control	mix17_AA	5	0	12	0.440299988	0.510100007	0.59829998	0.679700017
