Well_ID	Treatment	N_Source	Pair	Dose (uM)	Time	OD540	OD550	OD560	OD570
A2	plant_miRNA	mix17_AA	1	2	0	0.428500012	0.496250004	0.582750022	0.662449986
A3	scrambled_miRNA	mix17_AA	1	2	0	0.318799995	0.368249997	0.431199998	0.487649992
A4	control	mix17_AA	1	0	0	0.359349996	0.416850001	0.48754999	0.553799987
A5	plant_miRNA	mix17_AA	2	2	0	0.395050004	0.458250001	0.536350012	0.609200001
A6	scrambled_miRNA	mix17_AA	2	2	0	0.395549998	0.457450002	0.533899993	0.605100006
A7	control	mix17_AA	2	0	0	0.428900003	0.495199993	0.579399973	0.65655002
A8	plant_miRNA	mix17_AA	3	2	0	0.378800005	0.438600004	0.512999982	0.582300007
A9	scrambled_miRNA	mix17_AA	3	2	0	0.413300008	0.479299992	0.562099993	0.638799995
A10	control	mix17_AA	3	0	0	0.308750004	0.357050002	0.417450011	0.473699987
B2	plant_miRNA	mix17_AA	4	2	0	0.394749999	0.456799999	0.534749985	0.607250005
B3	scrambled_miRNA	mix17_AA	4	2	0	0.361550003	0.417850003	0.488399997	0.553649992
B4	control	mix17_AA	4	0	0	0.427550003	0.49619998	0.581	0.659649998
B5	plant_miRNA	mix17_AA	5	2	0	0.381800011	0.442650005	0.517800003	0.588250011
B6	scrambled_miRNA	mix17_AA	5	2	0	0.403999999	0.467549995	0.545349985	0.619000018
B7	control	mix17_AA	5	0	0	0.393449992	0.456200004	0.533900023	0.605499983
C2	plant_miRNA	mix17_AA	1	2	1	0.382949993	0.444149986	0.521750003	0.594550014
C3	scrambled_miRNA	mix17_AA	1	2	1	0.363199994	0.419650003	0.492400005	0.560249984
C4	plant_miRNA	mix17_AA	2	2	1	0.36285001	0.420650005	0.493550003	0.561850011
C5	scrambled_miRNA	mix17_AA	2	2	1	0.372099996	0.431250006	0.505550012	0.575599998
C6	plant_miRNA	mix17_AA	3	2	1	0.384399995	0.446400002	0.522999972	0.595799983
C7	scrambled_miRNA	mix17_AA	3	2	1	0.409850001	0.475600004	0.558349997	0.636050016
C8	plant_miRNA	mix17_AA	4	2	1	0.376000002	0.436100006	0.512249991	0.583549976
C9	scrambled_miRNA	mix17_AA	4	2	1	0.373450011	0.432999998	0.508249998	0.578099996
C10	plant_miRNA	mix17_AA	5	2	1	0.423799992	0.490199998	0.575499982	0.655199975
C11	scrambled_miRNA	mix17_AA	5	2	1	0.428149998	0.494650006	0.580150008	0.659999996
D2	std	mix17_AA	N.A	500	N.A.	0.454400003	0.523849994	0.612300009	0.694800019
D3	std	mix17_AA	N.A	250	N.A.	0.436000004	0.505749986	0.59404999	0.676050007
D4	std	mix17_AA	N.A	125	N.A.	0.274250001	0.317550004	0.370949998	0.420150012
D5	std	mix17_AA	N.A	62.5	N.A.	0.195400007	0.225550003	0.261800006	0.294349998
D6	std	mix17_AA	N.A	0	N.A.	0.1087	0.12255	0.137650006	0.150600001
E2	plant_miRNA	mix17_AA	1	2	4	0.34799999	0.402449995	0.470499992	0.533399999
E3	scrambled_miRNA	mix17_AA	1	2	4	0.323200002	0.372150004	0.434049994	0.491250008
E4	plant_miRNA	mix17_AA	2	2	4	0.356600001	0.410850003	0.480250001	0.542750001
E5	scrambled_miRNA	mix17_AA	2	2	4	0.3609	0.416149989	0.486650005	0.550199986
E6	plant_miRNA	mix17_AA	3	2	4	0.332300007	0.38485001	0.449699998	0.509450018
E7	scrambled_miRNA	mix17_AA	3	2	4	0.483199999	0.53685002	0.600699991	0.658749998
E8	plant_miRNA	mix17_AA	4	2	4	0.353049994	0.408800006	0.476349995	0.538949996
E9	scrambled_miRNA	mix17_AA	4	2	4	0.338499993	0.391249999	0.457100004	0.517850012
E10	plant_miRNA	mix17_AA	5	2	4	0.352450013	0.407399997	0.475500003	0.540000021
E11	scrambled_miRNA	mix17_AA	5	2	4	0.349799991	0.404400006	0.473200008	0.536449999
F2	plant_miRNA	mix17_AA	1	2	12	0.276149988	0.318650007	0.371100008	0.419750005
F3	scrambled_miRNA	mix17_AA	1	2	12	0.258749992	0.29795	0.347050011	0.392000005
F4	control	mix17_AA	1	0	12	0.410750002	0.476449996	0.559049994	0.634950012
F5	plant_miRNA	mix17_AA	2	2	12	0.25774999	0.296949998	0.344549999	0.38849999
F6	scrambled_miRNA	mix17_AA	2	2	12	0.243349999	0.280400008	0.325049996	0.3662
F7	control	mix17_AA	2	0	12	0.296100006	0.340450004	0.396350011	0.447549991
F8	plant_miRNA	mix17_AA	3	2	12	0.259999998	0.29975	0.347749993	0.391599998
F9	scrambled_miRNA	mix17_AA	3	2	12	0.284649998	0.328250006	0.381549999	0.430199996
F10	control	mix17_AA	3	0	12	0.298799999	0.344000004	0.399650015	0.451350003
G2	plant_miRNA	mix17_AA	4	2	12	0.250100002	0.288000003	0.33600001	0.380800009
G3	scrambled_miRNA	mix17_AA	4	2	12	0.258599997	0.297600001	0.34725	0.393450007
G4	control	mix17_AA	4	0	12	0.428300008	0.496399984	0.583149999	0.664049983
G5	plant_miRNA	mix17_AA	5	2	12	0.254349992	0.293150008	0.342350006	0.387800008
G6	scrambled_miRNA	mix17_AA	5	2	12	0.244849995	0.282200009	0.32965	0.373400003
G7	control	mix17_AA	5	0	12	0.446699992	0.520200014	0.607749999	0.691350013
