Well_ID	Treatment	N_Source	miRNA	Pair	Dose (uM)	Time	OD_600
A1	plant_miRNA	L-Lysine	ath827	1	2	0	0.144899994
A2	scrambled_miRNA	L-Lysine	ath827	1	2	0	0.159199998
A4	N.A.	L-Lysine	N.A.	2	N.A.	0	0.113499999
B1	N.A.	L-Lysine	N.A.	1	N.A.	0	0.088699996
B3	scrambled_miRNA	L-Lysine	ath827	2	2	0	0.138899997
B4	plant_miRNA	L-Lysine	ath827	2	2	0	0.131699994
C1	scrambled_miRNA	L-Lysine	ath827	3	2	0	0.108400002
C2	N.A.	L-Lysine	N.A.	3	N.A.	0	0.111699998
C3	plant_miRNA	L-Lysine	ath827	4	2	0	0.145199999
C4	N.A.	L-Lysine	N.A.	4	N.A.	0	0.115500003
C6	plant_miRNA	L-Lysine	ath827	5	2	0	0.146300003
D2	plant_miRNA	L-Lysine	ath827	3	2	0	0.119099997
D3	scrambled_miRNA	L-Lysine	ath827	4	2	0	0.120800003
D5	scrambled_miRNA	L-Lysine	ath827	5	2	0	0.126100004
D6	N.A.	L-Lysine	N.A.	5	N.A.	0	0.085299999
A1	plant_miRNA	L-Lysine	ath827	1	2	1	0.140200004
A2	scrambled_miRNA	L-Lysine	ath827	1	2	1	0.168500006
A4	N.A.	L-Lysine	N.A.	2	N.A.	1	0.131200001
B1	N.A.	L-Lysine	N.A.	1	N.A.	1	0.083099999
B3	scrambled_miRNA	L-Lysine	ath827	2	2	1	0.127299994
B4	plant_miRNA	L-Lysine	ath827	2	2	1	0.123000003
C1	scrambled_miRNA	L-Lysine	ath827	3	2	1	0.101899996
C2	N.A.	L-Lysine	N.A.	3	N.A.	1	0.132699996
C3	plant_miRNA	L-Lysine	ath827	4	2	1	0.170100003
C4	N.A.	L-Lysine	N.A.	4	N.A.	1	0.1303
C6	plant_miRNA	L-Lysine	ath827	5	2	1	0.172000006
D2	plant_miRNA	L-Lysine	ath827	3	2	1	0.1215
D3	scrambled_miRNA	L-Lysine	ath827	4	2	1	0.115999997
D5	scrambled_miRNA	L-Lysine	ath827	5	2	1	0.132400006
D6	N.A.	L-Lysine	N.A.	5	N.A.	1	0.071699999
A1	plant_miRNA	L-Lysine	ath827	1	2	2	0.147499993
A2	scrambled_miRNA	L-Lysine	ath827	1	2	2	0.178599998
A4	N.A.	L-Lysine	N.A.	2	N.A.	2	0.140499994
B1	N.A.	L-Lysine	N.A.	1	N.A.	2	0.0779
B3	scrambled_miRNA	L-Lysine	ath827	2	2	2	0.120399997
B4	plant_miRNA	L-Lysine	ath827	2	2	2	0.135600001
C1	scrambled_miRNA	L-Lysine	ath827	3	2	2	0.106600001
C2	N.A.	L-Lysine	N.A.	3	N.A.	2	0.133399993
C3	plant_miRNA	L-Lysine	ath827	4	2	2	0.160999998
C4	N.A.	L-Lysine	N.A.	4	N.A.	2	0.125699997
C6	plant_miRNA	L-Lysine	ath827	5	2	2	0.1778
D2	plant_miRNA	L-Lysine	ath827	3	2	2	0.132599995
D3	scrambled_miRNA	L-Lysine	ath827	4	2	2	0.132400006
D5	scrambled_miRNA	L-Lysine	ath827	5	2	2	0.160899997
D6	N.A.	L-Lysine	N.A.	5	N.A.	2	0.073799998
A1	plant_miRNA	L-Lysine	ath827	1	2	3	0.153600007
A2	scrambled_miRNA	L-Lysine	ath827	1	2	3	0.187900007
A4	N.A.	L-Lysine	N.A.	2	N.A.	3	0.149200007
B1	N.A.	L-Lysine	N.A.	1	N.A.	3	0.090899996
B3	scrambled_miRNA	L-Lysine	ath827	2	2	3	0.124700002
B4	plant_miRNA	L-Lysine	ath827	2	2	3	0.124300003
C1	scrambled_miRNA	L-Lysine	ath827	3	2	3	0.108499996
C2	N.A.	L-Lysine	N.A.	3	N.A.	3	0.138799995
C3	plant_miRNA	L-Lysine	ath827	4	2	3	0.172000006
C4	N.A.	L-Lysine	N.A.	4	N.A.	3	0.132300004
C6	plant_miRNA	L-Lysine	ath827	5	2	3	0.186199993
D2	plant_miRNA	L-Lysine	ath827	3	2	3	0.129500002
D3	scrambled_miRNA	L-Lysine	ath827	4	2	3	0.138600007
D5	scrambled_miRNA	L-Lysine	ath827	5	2	3	0.160600007
D6	N.A.	L-Lysine	N.A.	5	N.A.	3	0.069899999
A1	plant_miRNA	L-Lysine	ath827	1	2	4	0.156900004
A2	scrambled_miRNA	L-Lysine	ath827	1	2	4	0.196799994
A4	N.A.	L-Lysine	N.A.	2	N.A.	4	0.135600001
B1	N.A.	L-Lysine	N.A.	1	N.A.	4	0.084399998
B3	scrambled_miRNA	L-Lysine	ath827	2	2	4	0.136099994
B4	plant_miRNA	L-Lysine	ath827	2	2	4	0.139599994
C1	scrambled_miRNA	L-Lysine	ath827	3	2	4	0.113600001
C2	N.A.	L-Lysine	N.A.	3	N.A.	4	0.142399997
C3	plant_miRNA	L-Lysine	ath827	4	2	4	0.1752
C4	N.A.	L-Lysine	N.A.	4	N.A.	4	0.138300002
C6	plant_miRNA	L-Lysine	ath827	5	2	4	0.195600003
D2	plant_miRNA	L-Lysine	ath827	3	2	4	0.134399995
D3	scrambled_miRNA	L-Lysine	ath827	4	2	4	0.140900001
D5	scrambled_miRNA	L-Lysine	ath827	5	2	4	0.165099993
D6	N.A.	L-Lysine	N.A.	5	N.A.	4	0.068400003
A1	plant_miRNA	L-Lysine	ath827	1	2	5	0.164399996
A2	scrambled_miRNA	L-Lysine	ath827	1	2	5	0.217600003
A4	N.A.	L-Lysine	N.A.	2	N.A.	5	0.146599993
B1	N.A.	L-Lysine	N.A.	1	N.A.	5	0.087899998
B3	scrambled_miRNA	L-Lysine	ath827	2	2	5	0.149599999
B4	plant_miRNA	L-Lysine	ath827	2	2	5	0.159099996
C1	scrambled_miRNA	L-Lysine	ath827	3	2	5	0.118900001
C2	N.A.	L-Lysine	N.A.	3	N.A.	5	0.131699994
C3	plant_miRNA	L-Lysine	ath827	4	2	5	0.195899993
C4	N.A.	L-Lysine	N.A.	4	N.A.	5	0.140499994
C6	plant_miRNA	L-Lysine	ath827	5	2	5	0.204699993
D2	plant_miRNA	L-Lysine	ath827	3	2	5	0.140900001
D3	scrambled_miRNA	L-Lysine	ath827	4	2	5	0.140400007
D5	scrambled_miRNA	L-Lysine	ath827	5	2	5	0.158999994
D6	N.A.	L-Lysine	N.A.	5	N.A.	5	0.067900002
A1	plant_miRNA	L-Lysine	ath827	1	2	6	0.189999998
A2	scrambled_miRNA	L-Lysine	ath827	1	2	6	0.223000005
