"Treatment","Time","Pair","Well_ID.x","N_Source.x","miRNA","Dose..uM..x","OD_600","Well_ID.y","N_Source.y","Dose..uM..y","OD520","OD530","OD540","OD550","OD560","OD570","Predicted_AA_540","Treatment.2"
"Plant miRNAs","0","1","A1","L-Lysine","ath827","2",0.144899994,"A1","L-Lysine",2,0.605550021,0.500649989,0.411750004,0.354699999,0.309650004,0.270649999,13317.848246976,"Plant miRNAs"
"Plant miRNAs","0","2","B4","L-Lysine","ath827","2",0.131699994,"A4","L-Lysine",2,0.586400002,0.491849989,0.413899988,0.362199992,0.32069999,0.283200003,13397.0887674628,"Plant miRNAs"
"Plant miRNAs","0","3","D2","L-Lysine","ath827","2",0.119099997,"A7","L-Lysine",2,0.572600007,0.472499996,0.388100013,0.330699995,0.285899997,0.247900002,12446.1963666141,"Plant miRNAs"
"Plant miRNAs","0","4","C3","L-Lysine","ath827","2",0.145199999,"B2","L-Lysine",2,0.518000007,0.429950014,0.355449989,0.305800006,0.265249997,0.231400006,11242.836297113,"Plant miRNAs"
"Plant miRNAs","0","5","C6","L-Lysine","ath827","2",0.146300003,"B5","L-Lysine",2,0.542450011,0.449000001,0.36985001,0.31750001,0.274700001,0.239300005,11773.5682277044,"Plant miRNAs"
"Plant miRNAs","20","1","A1","L-Lysine","ath827","2",0.454400003,"C1","L-Lysine",2,0.29384999,0.238449998,0.192900002,0.164250001,0.140700005,0.122050002,5251.84028272322,"Plant miRNAs"
"Plant miRNAs","20","2","B4","L-Lysine","ath827","2",0.377099991,"C4","L-Lysine",2,0.310499996,0.254999995,0.208950005,0.181649998,0.154250003,0.133050002,5843.38449492881,"Plant miRNAs"
"Plant miRNAs","20","3","D2","L-Lysine","ath827","2",0.370999992,"C7","L-Lysine",2,0.356549993,0.29110001,0.236650005,0.20115,0.1712,0.147550002,6864.30484479384,"Plant miRNAs"
"Plant miRNAs","20","4","C3","L-Lysine","ath827","2",0.425099999,"D2","L-Lysine",2,0.305000007,0.252999999,0.2082,0.178500004,0.153549999,0.1338,5815.74206290713,"Plant miRNAs"
"Plant miRNAs","20","5","C6","L-Lysine","ath827","2",0.464300007,"D5","L-Lysine",2,0.269299999,0.223200001,0.1844,0.158100002,0.136,0.11815,4938.56140129025,"Plant miRNAs"
"Plant miRNAs","22","1","A1","L-Lysine","ath827","2",0.378500015,"G1","L-Lysine",2,0.219950005,0.178450003,0.145100005,0.125000004,0.107500002,0.094099998,3490.10780399444,"Plant miRNAs"
"Plant miRNAs","22","2","B4","L-Lysine","ath827","2",0.369300008,"G4","L-Lysine",2,0.210349999,0.173200004,0.142449997,0.123349998,0.106849998,0.093900003,3392.4382337957,"Plant miRNAs"
"Plant miRNAs","22","3","D2","L-Lysine","ath827","2",0.3398,"G7","L-Lysine",2,0.226900004,0.186000004,0.152149998,0.131549999,0.11355,0.099649999,3749.94467475639,"Plant miRNAs"
"Plant miRNAs","22","4","C3","L-Lysine","ath827","2",0.412800014,"H2","L-Lysine",2,0.228850007,0.187749997,0.15405,0.131749995,0.113650002,0.0984,3819.97177607712,"Plant miRNAs"
"Plant miRNAs","22","5","C6","L-Lysine","ath827","2",0.444700003,"H5","L-Lysine",2,0.217,0.179449998,0.148199998,0.127949998,0.11025,0.096450001,3604.36216999224,"Plant miRNAs"
"Plant miRNAs","28","1","A1","L-Lysine","ath827","2",0.351799995,"H10","L-Lysine",2,0.352000006,0.294100005,0.300199997,0.318550009,0.269699994,0.298000004,1289.468,"Plant miRNAs"
"Plant miRNAs","28","2","B4","L-Lysine","ath827","2",0.390399992,"E10","L-Lysine",2,0.059599999,0.05765,0.057150001,0.056849999,0.056049999,0.0551,248.593404921858,"Plant miRNAs"
"Plant miRNAs","28","3","D2","L-Lysine","ath827","2",0.275999993,"B10","L-Lysine",2,0.0539,0.0527,0.05205,0.052099999,0.051650001,0.051399998,60.6260834333385,"Plant miRNAs"
"Plant miRNAs","28","4","C3","L-Lysine","ath827","2",0.408600003,"F11","L-Lysine",2,0.080849998,0.0737,0.06825,0.065699998,0.0627,0.060649998,657.69863461794,"Plant miRNAs"
"Plant miRNAs","28","5","C6","L-Lysine","ath827","2",0.319299996,"C11","L-Lysine",2,0.049449999,0.047900001,0.047149999,0.0482,0.046949999,0.0471,-119.969971991174,"Plant miRNAs"
"Scramble miRNAs","0","1","A2","L-Lysine","ath827","2",0.159199998,"A2","L-Lysine",2,0.582049996,0.481449991,0.396200001,0.34025,0.296199992,0.258350007,12744.7321999304,"Scramble miRNAs"
"Scramble miRNAs","0","2","B3","L-Lysine","ath827","2",0.138899997,"A5","L-Lysine",2,0.567750007,0.474900007,0.397349998,0.346149996,0.305000007,0.268550009,12787.1168692295,"Scramble miRNAs"
"Scramble miRNAs","0","3","C1","L-Lysine","ath827","2",0.108400002,"A8","L-Lysine",2,0.545900017,0.451250002,0.371300012,0.3169,0.27350001,0.237050004,11827.0099803811,"Scramble miRNAs"
"Scramble miRNAs","0","4","D3","L-Lysine","ath827","2",0.120800003,"B3","L-Lysine",2,0.520899981,0.431700006,0.356099993,0.305950001,0.265500009,0.231600001,11266.7930592463,"Scramble miRNAs"
"Scramble miRNAs","0","5","D5","L-Lysine","ath827","2",0.126100004,"B6","L-Lysine",2,0.543099999,0.452299997,0.375649989,0.325399995,0.284350008,0.249150001,11987.3341695777,"Scramble miRNAs"
"Scramble miRNAs","20","1","A2","L-Lysine","ath827","2",0.46419999,"C2","L-Lysine",2,0.254450008,0.209250003,0.171750002,0.148000002,0.127549998,0.1118,4472.32889645444,"Scramble miRNAs"
"Scramble miRNAs","20","2","B3","L-Lysine","ath827","2",0.382800013,"C5","L-Lysine",2,0.310900003,0.254899994,0.208299994,0.178150006,0.152400002,0.132200003,5819.42747480115,"Scramble miRNAs"
"Scramble miRNAs","20","3","C1","L-Lysine","ath827","2",0.320899993,"C8","L-Lysine",2,0.371299997,0.302850008,0.245350003,0.208149999,0.177199997,0.152099997,7184.9548448655,"Scramble miRNAs"
"Scramble miRNAs","20","4","D3","L-Lysine","ath827","2",0.321500003,"D3","L-Lysine",2,0.3653,0.302499995,0.249249995,0.212899998,0.183300003,0.158849999,7328.694238263,"Scramble miRNAs"
"Scramble miRNAs","20","5","D5","L-Lysine","ath827","2",0.354099989,"D6","L-Lysine",2,0.319700003,0.26470001,0.218649998,0.187000006,0.161249995,0.139899999,6200.89064103886,"Scramble miRNAs"
"Scramble miRNAs","22","1","A2","L-Lysine","ath827","2",0.421499997,"G2","L-Lysine",2,0.202650003,0.166550003,0.13735,0.11885,0.103500001,0.0909,3204.4710597325,"Scramble miRNAs"
"Scramble miRNAs","22","2","B3","L-Lysine","ath827","2",0.35769999,"G5","L-Lysine",2,0.235350005,0.192450002,0.157200001,0.135449998,0.116700001,0.1019,3936.06925344157,"Scramble miRNAs"
"Scramble miRNAs","22","3","C1","L-Lysine","ath827","2",0.285699993,"G8","L-Lysine",2,0.232000001,0.1906,0.156800002,0.135650001,0.11665,0.102199998,3921.32675816988,"Scramble miRNAs"
"Scramble miRNAs","22","4","D3","L-Lysine","ath827","2",0.341399997,"H3","L-Lysine",2,0.283950001,0.232250005,0.188249998,0.159999996,0.136299998,0.116950002,5080.45819930973,"Scramble miRNAs"
"Scramble miRNAs","22","5","D5","L-Lysine","ath827","2",0.306899995,"H6","L-Lysine",2,0.258550003,0.213000007,0.174550004,0.149449997,0.128300004,0.110900003,4575.5266950632,"Scramble miRNAs"
"Scramble miRNAs","28","1","A2","L-Lysine","ath827","2",0.360399991,"G10","L-Lysine",2,0.048149999,0.046799999,0.04635,0.046899999,0.04635,0.046249999,-149.454999390873,"Scramble miRNAs"
"Scramble miRNAs","28","2","B3","L-Lysine","ath827","2",0.371100008,"D10","L-Lysine",2,0.045700001,0.044650001,0.04445,0.044400001,0.04415,0.044050001,-219.482026998943,"Scramble miRNAs"
"Scramble miRNAs","28","3","C1","L-Lysine","ath827","2",0.358099997,"A10","L-Lysine",2,0.094900001,0.086449999,0.080400001,0.075799998,0.072300002,0.0691,1105.50308486272,"Scramble miRNAs"
"Scramble miRNAs","28","4","D3","L-Lysine","ath827","2",0.345899999,"E11","L-Lysine",2,0.061250001,0.059950002,0.0591,0.058300002,0.0582,0.057599999,320.4632121896,"Scramble miRNAs"
"Scramble miRNAs","28","5","D5","L-Lysine","ath827","2",0.284299999,"B11","L-Lysine",2,0.0518,0.051200001,0.05105,0.0517,0.05085,0.05085,23.7697531133013,"Scramble miRNAs"
