Well_ID	Treatment	N_Source	miRNA	Pair	Dose (uM)	Time	OD_600
A1	No_miRNA	mix17AA	N.A.	1	N.A.	0	0.134000003
A2	N.A.	mix17AA	N.A.	1	N.A.	0	0.1131
A3	scrambled_miRNA	mix17AA	ath827	2	2	0	0.143700004
A4	plant_miRNA	mix17AA	ath827	2	2	0	0.151099995
A5	N.A.	mix17AA	N.A.	3	N.A.	0	0.112899996
A6	No_miRNA	mix17AA	N.A.	3	N.A.	0	0.142299995
B1	plant_miRNA	mix17AA	ath827	1	2	0	0.122599997
B2	scrambled_miRNA	mix17AA	ath827	1	2	0	0.122299999
B3	No_miRNA	mix17AA	N.A.	2	N.A.	0	0.128800005
B4	N.A.	mix17AA	N.A.	2	N.A.	0	0.099799998
B5	plant_miRNA	mix17AA	ath827	3	2	0	0.131999999
B6	scrambled_miRNA	mix17AA	ath827	3	2	0	0.114
C3	N.A.	mix17AA	N.A.	4	N.A.	0	0.120099999
C4	No_miRNA	mix17AA	N.A.	4	N.A.	0	0.148900002
C5	No_miRNA	mix17AA	N.A.	5	N.A.	0	0.149200007
C6	N.A.	mix17AA	N.A.	5	N.A.	0	0.1162
D3	scrambled_miRNA	mix17AA	ath827	4	2	0	0.117600001
D4	plant_miRNA	mix17AA	ath827	4	2	0	0.122199997
D5	scrambled_miRNA	mix17AA	ath827	5	2	0	0.123199999
D6	plant_miRNA	mix17AA	ath827	5	2	0	0.120300002
A1	No_miRNA	mix17AA	N.A.	1	N.A.	1	0.150399998
A2	N.A.	mix17AA	N.A.	1	N.A.	1	0.116899997
A3	scrambled_miRNA	mix17AA	ath827	2	2	1	0.169499993
A4	plant_miRNA	mix17AA	ath827	2	2	1	0.178800002
A5	N.A.	mix17AA	N.A.	3	N.A.	1	0.125400007
A6	No_miRNA	mix17AA	N.A.	3	N.A.	1	0.186399996
B1	plant_miRNA	mix17AA	ath827	1	2	1	0.125
B2	scrambled_miRNA	mix17AA	ath827	1	2	1	0.124200001
B3	No_miRNA	mix17AA	N.A.	2	N.A.	1	0.124399997
B4	N.A.	mix17AA	N.A.	2	N.A.	1	0.079599999
B5	plant_miRNA	mix17AA	ath827	3	2	1	0.131200001
B6	scrambled_miRNA	mix17AA	ath827	3	2	1	0.122000001
C3	N.A.	mix17AA	N.A.	4	N.A.	1	0.119000003
C4	No_miRNA	mix17AA	N.A.	4	N.A.	1	0.168099999
C5	No_miRNA	mix17AA	N.A.	5	N.A.	1	0.172299996
C6	N.A.	mix17AA	N.A.	5	N.A.	1	0.136999995
