Well_ID	Pair	miRNA	Treatment	Time	OD600
B2	A	158b	Scramble	0	0.191499993
B3	A	158b	Plant	0	0.199200004
B4	A	5642b	Plant	0	0.169400007
B5	A	5642b	Scramble	0	0.202999994
C2	A	Mix5	Plant	0	0.227500007
C3	A	Mix5	Scramble	0	0.148499995
C4	A	Ctl-1	NA	0	0.138999999
C5	A	Ctl-2	NA	0	0.134599999
B2	A	158b	Scramble	6	0.160699993
B3	A	158b	Plant	6	0.151299998
B4	A	5642b	Plant	6	0.162300006
B5	A	5642b	Scramble	6	0.157700002
C2	A	Mix5	Plant	6	0.416599989
C3	A	Mix5	Scramble	6	0.346199989
C4	A	Ctl-1	NA	6	0.182699993
C5	A	Ctl-2	NA	6	0.171800002
B2	A	158b	Scramble	10	0.203099996
B3	A	158b	Plant	10	0.213699996
B4	A	5642b	Plant	10	0.204400003
B5	A	5642b	Scramble	10	0.195700005
C2	A	Mix5	Plant	10	0.475199997
C3	A	Mix5	Scramble	10	0.436399996
C4	A	Ctl-1	NA	10	0.185699999
C5	A	Ctl-2	NA	10	0.158000007
B2	A	158b	Scramble	28	0.224999994
B3	A	158b	Plant	28	0.228300005
B4	A	5642b	Plant	28	0.225799993
B5	A	5642b	Scramble	28	0.214699998
C2	A	Mix5	Plant	28	0.373800009
C3	A	Mix5	Scramble	28	0.36559999
C4	A	Ctl-1	NA	28	0.084899999
C5	A	Ctl-2	NA	28	0.0933
B2	B	Ctl-1	NA	0	0.151999995
B3	B	Ctl-2	NA	0	0.159799993
B4	B	Mix5	Plant	0	0.163599998
B5	B	Mix5	Scramble	0	0.189700007
C2	B	158b	Plant	0	0.200800002
C3	B	158b	Scramble	0	0.148399994
C4	B	5642b	Scramble	0	0.158800006
C5	B	5642b	Plant	0	0.144899994
B2	B	Ctl-1	NA	6	0.091700003
B3	B	Ctl-2	NA	6	0.089199997
B4	B	Mix5	Plant	6	0.151099995
B5	B	Mix5	Scramble	6	0.154899999
C2	B	158b	Plant	6	0.398000002
C3	B	158b	Scramble	6	0.336100012
C4	B	5642b	Scramble	6	0.338999987
C5	B	5642b	Plant	6	0.338
B2	B	Ctl-1	NA	10	0.074900001
B3	B	Ctl-2	NA	10	0.081600003
B4	B	Mix5	Plant	10	0.203500003
B5	B	Mix5	Scramble	10	0.198599994
C2	B	158b	Plant	10	0.49090001
C3	B	158b	Scramble	10	0.457800001
C4	B	5642b	Scramble	10	0.450300008
C5	B	5642b	Plant	10	0.423299998
B2	B	Ctl-1	NA	28	0.090099998
B3	B	Ctl-2	NA	28	0.078199998
B4	B	Mix5	Plant	28	0.214599997
B5	B	Mix5	Scramble	28	0.209999993
C2	B	158b	Plant	28	0.442900002
C3	B	158b	Scramble	28	0.430400014
C4	B	5642b	Scramble	28	0.407700002
C5	B	5642b	Plant	28	0.388999999
B2	C	5642b	Plant	0	0.210500002
B3	C	5642b	Scramble	0	0.206499994
B4	C	158b	Scramble	0	0.187299997
B5	C	158b	Plant	0	0.201199993
C2	C	Ctl-2	NA	0	0.189300001
C3	C	Ctl-1	NA	0	0.139699996
C4	C	Mix5	Plant	0	0.157600001
C5	C	Mix5	Scramble	0	0.164000005
B2	C	5642b	Plant	6	0.141000003
B3	C	5642b	Scramble	6	0.141599998
B4	C	158b	Scramble	6	0.150099993
B5	C	158b	Plant	6	0.156499997
C2	C	Ctl-2	NA	6	0.281599998
C3	C	Ctl-1	NA	6	0.176699996
C4	C	Mix5	Plant	6	0.328399986
C5	C	Mix5	Scramble	6	0.337199986
B2	C	5642b	Plant	10	0.194399998
B3	C	5642b	Scramble	10	0.196400002
B4	C	158b	Scramble	10	0.203799993
B5	C	158b	Plant	10	0.179399997
C2	C	Ctl-2	NA	10	0.228799999
C3	C	Ctl-1	NA	10	0.206200004
C4	C	Mix5	Plant	10	0.415499985
C5	C	Mix5	Scramble	10	0.386599988
B2	C	5642b	Plant	28	0.2095
B3	C	5642b	Scramble	28	0.218400002
B4	C	158b	Scramble	28	0.224900007
B5	C	158b	Plant	28	0.215100005
C2	C	Ctl-2	NA	28	0.1241
C3	C	Ctl-1	NA	28	0.102399997
C4	C	Mix5	Plant	28	0.361799985
C5	C	Mix5	Scramble	28	0.348699987
B2	D	Mix5	Scramble	0	0.195999995
B3	D	Mix5	Plant	0	0.186399996
B4	D	Ctl-1	NA	0	0.158299997
B5	D	Ctl-2	NA	0	0.151700005
C2	D	5642b	Scramble	0	0.264999986
C3	D	5642b	Plant	0	0.164299995
C4	D	158b	Plant	0	0.192300007
C5	D	158b	Scramble	0	0.175799996
B2	D	Mix5	Scramble	6	0.1338
B3	D	Mix5	Plant	6	0.131400004
B4	D	Ctl-1	NA	6	0.085100003
B5	D	Ctl-2	NA	6	0.087800004
C2	D	5642b	Scramble	6	0.394800007
C3	D	5642b	Plant	6	0.3292
C4	D	158b	Plant	6	0.331200004
C5	D	158b	Scramble	6	0.310299993
B2	D	Mix5	Scramble	10	0.188800007
B3	D	Mix5	Plant	10	0.167099997
B4	D	Ctl-1	NA	10	0.074500002
B5	D	Ctl-2	NA	10	0.083300002
C2	D	5642b	Scramble	10	0.4736
C3	D	5642b	Plant	10	0.42930001
C4	D	158b	Plant	10	0.419999987
C5	D	158b	Scramble	10	0.394699991
B2	D	Mix5	Scramble	28	0.204099998
B3	D	Mix5	Plant	28	0.191699997
B4	D	Ctl-1	NA	28	0.077200003
B5	D	Ctl-2	NA	28	0.079300001
C2	D	5642b	Scramble	28	0.400400013
C3	D	5642b	Plant	28	0.384200007
C4	D	158b	Plant	28	0.357199997
C5	D	158b	Scramble	28	0.352699995
B2	E	5642b	Plant	0	0.216000006
B3	E	5642b	Scramble	0	0.203500003
B4	E	158b	Scramble	0	0.182899997
B5	E	158b	Plant	0	0.190400004
C2	E	Mix5	Scramble	0	0.219400004
C3	E	Mix5	Plant	0	0.157299995
C4	E	Ctl-2	NA	0	0.152400002
C5	E	Ctl-1	NA	0	0.143900007
B2	E	5642b	Plant	6	0.158299997
B3	E	5642b	Scramble	6	0.153500006
B4	E	158b	Scramble	6	0.161300004
B5	E	158b	Plant	6	0.144899994
C2	E	Mix5	Scramble	6	0.392199993
C3	E	Mix5	Plant	6	0.346599996
C4	E	Ctl-2	NA	6	0.180099994
C5	E	Ctl-1	NA	6	0.177200004
B2	E	5642b	Plant	10	0.198699996
B3	E	5642b	Scramble	10	0.190099999
B4	E	158b	Scramble	10	0.197400004
B5	E	158b	Plant	10	0.189199999
C2	E	Mix5	Scramble	10	0.483399987
C3	E	Mix5	Plant	10	0.427700013
C4	E	Ctl-2	NA	10	0.203799993
C5	E	Ctl-1	NA	10	0.192699999
B2	E	5642b	Plant	28	0.209099993
B3	E	5642b	Scramble	28	0.209399998
B4	E	158b	Scramble	28	0.216000006
B5	E	158b	Plant	28	0.220400006
C2	E	Mix5	Scramble	28	0.412400007
C3	E	Mix5	Plant	28	0.407400012
C4	E	Ctl-2	NA	28	0.121399999
C5	E	Ctl-1	NA	28	0.107299998
