Well_ID	Pair	miRNA	Treatment	Time	OD600
B2	A	ath-miR158b	Plant	0	0.192699999
B3	A	ath-miR158b	Scramble	0	0.198400006
B4	A	ath-miR827	Plant	0	0.168200001
B5	A	ath-miR827	Scramble	0	0.182999998
C2	A	Mix5	Scramble	0	0.213200003
C3	A	Mix5	Plant	0	0.157800004
C4	A	Ctl-2	NA	0	0.164000005
C5	A	Ctl-1	NA	0	0.128999993
B2	A	ath-miR158b	Plant	8	0.134299994
B3	A	ath-miR158b	Scramble	8	0.122299999
B4	A	ath-miR827	Plant	8	0.133599997
B5	A	ath-miR827	Scramble	8	0.128900006
C2	A	Mix5	Scramble	8	0.377700001
C3	A	Mix5	Plant	8	0.310799986
C4	A	Ctl-2	NA	8	0.186700001
C5	A	Ctl-1	NA	8	0.173099995
B2	A	ath-miR158b	Plant	16	0.151700005
B3	A	ath-miR158b	Scramble	16	0.152600005
B4	A	ath-miR827	Plant	16	0.156599998
B5	A	ath-miR827	Scramble	16	0.158399999
C2	A	Mix5	Scramble	16	0.367199987
C3	A	Mix5	Plant	16	0.357800007
C4	A	Ctl-2	NA	16	0.146200001
C5	A	Ctl-1	NA	16	0.130999997
B2	A	ath-miR158b	Plant	32	0.150000006
B3	A	ath-miR158b	Scramble	32	0.163699999
B4	A	ath-miR827	Plant	32	0.167300001
B5	A	ath-miR827	Scramble	32	0.148599997
C2	A	Mix5	Scramble	32	0.311500013
C3	A	Mix5	Plant	32	0.326599985
C4	A	Ctl-2	NA	32	0.100900002
C5	A	Ctl-1	NA	32	0.091399997
B2	B	Ctl-2	NA	0	0.193200007
B3	B	Ctl-1	NA	0	0.181500003
B4	B	Mix5	Plant	0	0.183899999
B5	B	Mix5	Scramble	0	0.197500005
C2	B	ath-miR158b	Scramble	0	0.212599993
C3	B	ath-miR158b	Plant	0	0.158999994
C4	B	ath-miR827	Scramble	0	0.165199995
C5	B	ath-miR827	Plant	0	0.154599994
B2	B	Ctl-2	NA	8	0.096699998
B3	B	Ctl-1	NA	8	0.098399997
B4	B	Mix5	Plant	8	0.141200006
B5	B	Mix5	Scramble	8	0.139200002
C2	B	ath-miR158b	Scramble	8	0.3671
C3	B	ath-miR158b	Plant	8	0.311300009
C4	B	ath-miR827	Scramble	8	0.311399996
C5	B	ath-miR827	Plant	8	0.289900005
