Well_ID	Plate	Pair	miRNA	Treatment	N_Source	Time	OD540
A1	1	A	ath-miR158b	Plant	Mix_AA	0	0.291399986
A2	1	A	ath-miR158b	Scramble	Mix_AA	0	0.275000006
A3	1	A	ath-miR158a3p	Plant	Mix_AA	0	0.274300009
A4	1	A	ath-miR158a3p	Scramble	Mix_AA	0	0.2958
A5	1	A	ath-miR159	Plant	Mix_AA	0	0.282299995
A6	1	A	ath-miR159	Scramble	Mix_AA	0	0.277799994
A7	1	A	Ctl-1	NA	Mix_AA	0	0.284799993
B1	1	A	Mix5	Plant	Mix_AA	0	0.265199989
B2	1	A	Mix5	Scramble	Mix_AA	0	0.261999995
B3	1	A	ath-miR827	Plant	Mix_AA	0	0.260199994
B4	1	A	ath-miR827	Scramble	Mix_AA	0	0.295700014
B5	1	A	ath-miR5642b	Plant	Mix_AA	0	0.273299992
B6	1	A	ath-miR5642b	Scramble	Mix_AA	0	0.266000003
B7	1	A	Ctl-2	NA	Mix_AA	0	0.272300005
C1	1	A	ath-miR158b	Plant	Mix_AA	3	0.281399995
C2	1	A	ath-miR158b	Scramble	Mix_AA	3	0.252799988
C3	1	A	ath-miR158a3p	Plant	Mix_AA	3	0.2465
C4	1	A	ath-miR158a3p	Scramble	Mix_AA	3	0.274699986
C5	1	A	ath-miR159	Plant	Mix_AA	3	0.265599996
C6	1	A	ath-miR159	Scramble	Mix_AA	3	0.2465
C7	1	A	Ctl-1	NA	Mix_AA	3	0.263999999
D1	1	A	Mix5	Plant	Mix_AA	3	0.245900005
D2	1	A	Mix5	Scramble	Mix_AA	3	0.241699994
D3	1	A	ath-miR827	Plant	Mix_AA	3	0.244599998
D4	1	A	ath-miR827	Scramble	Mix_AA	3	0.271699995
D5	1	A	ath-miR5642b	Plant	Mix_AA	3	0.256300002
D6	1	A	ath-miR5642b	Scramble	Mix_AA	3	0.248999998
D7	1	A	Ctl-2	NA	Mix_AA	3	0.274800003
E1	1	A	ath-miR158b	Plant	Mix_AA	6	0.238600001
E2	1	A	ath-miR158b	Scramble	Mix_AA	6	0.243399993
