Well_ID	Pair	miRNA	Treatment	Time	OD600
A2	A	ath-miR5642b	Plant	0	0.117
A3	A	ath-miR5642b	Scramble	0	0.117
A4	A	ath-miR159	Scramble	0	0.12
A5	A	ath-miR159	Plant	0	0.122
B1	A	ath-miR827	Scramble	0	0.155
B2	A	ath-miR827	Plant	0	0.111
B3	A	Ctl-1	NA	0	0.07
B4	A	ath-miR158a3p	Scramble	0	0.111
B5	A	ath-miR158a3p	Plant	0	0.118
C2	A	ath-miR158b	Plant	0	0.115
C3	A	ath-miR158b	Scramble	0	0.109
C5	A	Ctl-2	NA	0	0.08
D3	A	Mix5	Scramble	0	0.119
D4	A	Mix5	Plant	0	0.121
A2	A	ath-miR5642b	Plant	3	0.245
A3	A	ath-miR5642b	Scramble	3	0.263
A4	A	ath-miR159	Scramble	3	0.315
A5	A	ath-miR159	Plant	3	0.259
B1	A	ath-miR827	Scramble	3	0.254
B2	A	ath-miR827	Plant	3	0.241
B3	A	Ctl-1	NA	3	0.071
B4	A	ath-miR158a3p	Scramble	3	0.241
B5	A	ath-miR158a3p	Plant	3	0.24
C2	A	ath-miR158b	Plant	3	0.237
C3	A	ath-miR158b	Scramble	3	0.231
C5	A	Ctl-2	NA	3	0.066
D3	A	Mix5	Scramble	3	0.234
D4	A	Mix5	Plant	3	0.242
A2	A	ath-miR5642b	Plant	6	0.271
A3	A	ath-miR5642b	Scramble	6	0.288
A4	A	ath-miR159	Scramble	6	0.292
A5	A	ath-miR159	Plant	6	0.277
B1	A	ath-miR827	Scramble	6	0.352
B2	A	ath-miR827	Plant	6	0.342
B3	A	Ctl-1	NA	6	0.069
B4	A	ath-miR158a3p	Scramble	6	0.349
B5	A	ath-miR158a3p	Plant	6	0.361
C2	A	ath-miR158b	Plant	6	0.358
C3	A	ath-miR158b	Scramble	6	0.386
C5	A	Ctl-2	NA	6	0.084
D3	A	Mix5	Scramble	6	0.255
D4	A	Mix5	Plant	6	0.349
A2	A	ath-miR5642b	Plant	24	0.341
A3	A	ath-miR5642b	Scramble	24	0.366
A4	A	ath-miR159	Scramble	24	0.352
A5	A	ath-miR159	Plant	24	0.352
B1	A	ath-miR827	Scramble	24	0.307
B2	A	ath-miR827	Plant	24	0.304
B3	A	Ctl-1	NA	24	0.078
B4	A	ath-miR158a3p	Scramble	24	0.315
B5	A	ath-miR158a3p	Plant	24	0.322
C2	A	ath-miR158b	Plant	24	0.432
C3	A	ath-miR158b	Scramble	24	0.313
C5	A	Ctl-2	NA	24	0.082
D3	A	Mix5	Scramble	24	0.314
D4	A	Mix5	Plant	24	0.305
A3	B	Ctl-2	NA	0	0.085
A4	B	Mix5	Scramble	0	0.13
A5	B	Mix5	Plant	0	0.13
B2	B	ath-miR158b	Scramble	0	0.135
B3	B	ath-miR158b	Plant	0	0.13
B5	B	ath-miR158a3p	Plant	0	0.13
B6	B	ath-miR158a3p	Scramble	0	0.13
C1	B	ath-miR159	Plant	0	0.127
C2	B	ath-miR159	Scramble	0	0.124
C3	B	ath-miR5642b	Scramble	0	0.127
C4	B	ath-miR5642b	Plant	0	0.127
D3	B	Ctl-1	NA	0	0.085
D4	B	ath-miR827	Plant	0	0.13
D5	B	ath-miR827	Scramble	0	0.129
A3	B	Ctl-2	NA	3	0.072
A4	B	Mix5	Scramble	3	0.286
A5	B	Mix5	Plant	3	0.28
B2	B	ath-miR158b	Scramble	3	0.282
B3	B	ath-miR158b	Plant	3	0.269
B5	B	ath-miR158a3p	Plant	3	0.282
B6	B	ath-miR158a3p	Scramble	3	0.289
C1	B	ath-miR159	Plant	3	0.285
C2	B	ath-miR159	Scramble	3	0.283
