Well_ID,ASV,N_souce,miRNA,Replicate ,Dose(uM),Time,OD_600
E3,6,Mix_17aa,p_mix,n2,10,0,0.119000003
E4,6,Mix_17aa,sc_mix,n2,10,0,0.129600003
E5,6,Mix_17aa,p158a,n2,2,0,0.1184
E6,6,Mix_17aa,sc158a,n2,2,0,0.124200001
E7,172,Mix_17aa,sc827,n2,2,0,0.127900004
E8,172,Mix_17aa,p827,n2,2,0,0.128900006
E9,172,Mix_17aa,p_mix,n2,10,0,0.129299998
E10,172,Mix_17aa,sc_mix,n2,10,0,0.135000005
F2,Control,Mix_17aa,Control,n2,Control,0,0.085100003
F3,6,Mix_17aa,sc827,n2,2,0,0.1149
F4,6,Mix_17aa,p827,n2,2,0,0.120399997
F5,6,Mix_17aa,p5642b,n2,2,0,0.116899997
F6,6,Mix_17aa,sc5642b,n2,2,0,0.114100002
F7,172,Mix_17aa,p159,n2,2,0,0.108900003
F8,172,Mix_17aa,sc159,n2,2,0,0.1149
F9,172,Mix_17aa,p158b,n2,2,0,0.1197
F10,172,Mix_17aa,sc158b,n2,2,0,0.128800005
F11,Control,Mix_17aa,Control,n2,Control,0,0.084799998
G2,Control,Mix_17aa,Control,n2,Control,0,0.081200004
G3,6,Mix_17aa,sc159,n2,2,0,0.116800003
G4,6,Mix_17aa,p159,n2,2,0,0.119199999
G5,6,Mix_17aa,sc158b,n2,2,0,0.119900003
G6,6,Mix_17aa,p158b,n2,2,0,0.119000003
G7,172,Mix_17aa,p158a,n2,2,0,0.106299996
G8,172,Mix_17aa,sc158a,n2,2,0,0.1109
G9,172,Mix_17aa,sc5642b,n2,2,0,0.114
G10,172,Mix_17aa,p5642b,n2,2,0,0.114399999
G11,Control,Mix_17aa,Control,n2,Control,0,0.080499999
E3,6,Mix_17aa,p_mix,n2,10,1,0.184200004
E4,6,Mix_17aa,sc_mix,n2,10,1,0.196099997
E5,6,Mix_17aa,p158a,n2,2,1,0.187299997
E6,6,Mix_17aa,sc158a,n2,2,1,0.195600003
E7,172,Mix_17aa,sc827,n2,2,1,0.1391
E8,172,Mix_17aa,p827,n2,2,1,0.116899997
E9,172,Mix_17aa,p_mix,n2,10,1,0.142399997
E10,172,Mix_17aa,sc_mix,n2,10,1,0.140100002
F2,Control,Mix_17aa,Control,n2,Control,1,0.081100002
F3,6,Mix_17aa,sc827,n2,2,1,0.174099997
F4,6,Mix_17aa,p827,n2,2,1,0.1796
F5,6,Mix_17aa,p5642b,n2,2,1,0.169499993
F6,6,Mix_17aa,sc5642b,n2,2,1,0.180500001
F7,172,Mix_17aa,p159,n2,2,1,0.130700007
F8,172,Mix_17aa,sc159,n2,2,1,0.1162
F9,172,Mix_17aa,p158b,n2,2,1,0.129299998
F10,172,Mix_17aa,sc158b,n2,2,1,0.136099994
F11,Control,Mix_17aa,Control,n2,Control,1,0.084799998
G2,Control,Mix_17aa,Control,n2,Control,1,0.0722
G3,6,Mix_17aa,sc159,n2,2,1,0.171800002
G4,6,Mix_17aa,p159,n2,2,1,0.1708
G5,6,Mix_17aa,sc158b,n2,2,1,0.1664
G6,6,Mix_17aa,p158b,n2,2,1,0.182500005
G7,172,Mix_17aa,p158a,n2,2,1,0.119400002
G8,172,Mix_17aa,sc158a,n2,2,1,0.119800001
G9,172,Mix_17aa,sc5642b,n2,2,1,0.123400003
G10,172,Mix_17aa,p5642b,n2,2,1,0.1197
G11,Control,Mix_17aa,Control,n2,Control,1,0.080499999
E3,6,Mix_17aa,p_mix,n2,10,2,0.271299988
E4,6,Mix_17aa,sc_mix,n2,10,2,0.290199995
E5,6,Mix_17aa,p158a,n2,2,2,0.27700001
E6,6,Mix_17aa,sc158a,n2,2,2,0.276499987
E7,172,Mix_17aa,sc827,n2,2,2,0.140200004
E8,172,Mix_17aa,p827,n2,2,2,0.136199996
E9,172,Mix_17aa,p_mix,n2,10,2,0.142499998
E10,172,Mix_17aa,sc_mix,n2,10,2,0.140100002
F2,Control,Mix_17aa,Control,n2,Control,2,0.076300003
F3,6,Mix_17aa,sc827,n2,2,2,0.269699991
F4,6,Mix_17aa,p827,n2,2,2,0.273400009
F5,6,Mix_17aa,p5642b,n2,2,2,0.257400006
F6,6,Mix_17aa,sc5642b,n2,2,2,0.257999986
F7,172,Mix_17aa,p159,n2,2,2,0.127299994
F8,172,Mix_17aa,sc159,n2,2,2,0.129600003
F9,172,Mix_17aa,p158b,n2,2,2,0.127499998
F10,172,Mix_17aa,sc158b,n2,2,2,0.139699996
F11,Control,Mix_17aa,Control,n2,Control,2,0.0845
G2,Control,Mix_17aa,Control,n2,Control,2,0.068899997
G3,6,Mix_17aa,sc159,n2,2,2,0.253600001
G4,6,Mix_17aa,p159,n2,2,2,0.264299989
G5,6,Mix_17aa,sc158b,n2,2,2,0.254099995
G6,6,Mix_17aa,p158b,n2,2,2,0.266499996
G7,172,Mix_17aa,p158a,n2,2,2,0.123199999
G8,172,Mix_17aa,sc158a,n2,2,2,0.122599997
G9,172,Mix_17aa,sc5642b,n2,2,2,0.121399999
G10,172,Mix_17aa,p5642b,n2,2,2,0.128900006
G11,Control,Mix_17aa,Control,n2,Control,2,0.079899997
E3,6,Mix_17aa,p_mix,n2,10,3,0.368000001
E4,6,Mix_17aa,sc_mix,n2,10,3,0.373800009
E5,6,Mix_17aa,p158a,n2,2,3,0.363700002
E6,6,Mix_17aa,sc158a,n2,2,3,0.367000014
E7,172,Mix_17aa,sc827,n2,2,3,0.167799994
E8,172,Mix_17aa,p827,n2,2,3,0.160899997
E9,172,Mix_17aa,p_mix,n2,10,3,0.164199993
E10,172,Mix_17aa,sc_mix,n2,10,3,0.170300007
F2,Control,Mix_17aa,Control,n2,Control,3,0.084700003
F3,6,Mix_17aa,sc827,n2,2,3,0.353700012
F4,6,Mix_17aa,p827,n2,2,3,0.354900002
F5,6,Mix_17aa,p5642b,n2,2,3,0.340600014
F6,6,Mix_17aa,sc5642b,n2,2,3,0.352600008
F7,172,Mix_17aa,p159,n2,2,3,0.146300003
F8,172,Mix_17aa,sc159,n2,2,3,0.145500004
F9,172,Mix_17aa,p158b,n2,2,3,0.141399994
F10,172,Mix_17aa,sc158b,n2,2,3,0.167199999
F11,Control,Mix_17aa,Control,n2,Control,3,0.085000001
G2,Control,Mix_17aa,Control,n2,Control,3,0.0788
G3,6,Mix_17aa,sc159,n2,2,3,0.342000008
G4,6,Mix_17aa,p159,n2,2,3,0.347900003
G5,6,Mix_17aa,sc158b,n2,2,3,0.349599987
G6,6,Mix_17aa,p158b,n2,2,3,0.363299996
G7,172,Mix_17aa,p158a,n2,2,3,0.147799999
G8,172,Mix_17aa,sc158a,n2,2,3,0.145300001
G9,172,Mix_17aa,sc5642b,n2,2,3,0.142800003
G10,172,Mix_17aa,p5642b,n2,2,3,0.142900005
G11,Control,Mix_17aa,Control,n2,Control,3,0.0801
E3,6,Mix_17aa,p_mix,n2,10,4,0.437599987
E4,6,Mix_17aa,sc_mix,n2,10,4,0.426200002
E5,6,Mix_17aa,p158a,n2,2,4,0.434300005
E6,6,Mix_17aa,sc158a,n2,2,4,0.429100007
E7,172,Mix_17aa,sc827,n2,2,4,0.211099997
E8,172,Mix_17aa,p827,n2,2,4,0.207800001
E9,172,Mix_17aa,p_mix,n2,10,4,0.208199993
E10,172,Mix_17aa,sc_mix,n2,10,4,0.226300001
F2,Control,Mix_17aa,Control,n2,Control,4,0.083300002
F3,6,Mix_17aa,sc827,n2,2,4,0.423200011
F4,6,Mix_17aa,p827,n2,2,4,0.414799988
F5,6,Mix_17aa,p5642b,n2,2,4,0.402200013
F6,6,Mix_17aa,sc5642b,n2,2,4,0.407400012
F7,172,Mix_17aa,p159,n2,2,4,0.185699999
F8,172,Mix_17aa,sc159,n2,2,4,0.181999996
F9,172,Mix_17aa,p158b,n2,2,4,0.168899998
F10,172,Mix_17aa,sc158b,n2,2,4,0.198599994
F11,Control,Mix_17aa,Control,n2,Control,4,0.075999998
G2,Control,Mix_17aa,Control,n2,Control,4,0.072700001
G3,6,Mix_17aa,sc159,n2,2,4,0.402099997
G4,6,Mix_17aa,p159,n2,2,4,0.401600003
G5,6,Mix_17aa,sc158b,n2,2,4,0.394899994
G6,6,Mix_17aa,p158b,n2,2,4,0.410299987
G7,172,Mix_17aa,p158a,n2,2,4,0.187600002
G8,172,Mix_17aa,sc158a,n2,2,4,0.176300004
G9,172,Mix_17aa,sc5642b,n2,2,4,0.163000003
G10,172,Mix_17aa,p5642b,n2,2,4,0.164399996
G11,Control,Mix_17aa,Control,n2,Control,4,0.071099997
E3,6,Mix_17aa,p_mix,n2,10,5,0.509299994
E4,6,Mix_17aa,sc_mix,n2,10,5,0.479400009
E5,6,Mix_17aa,p158a,n2,2,5,0.506299973
E6,6,Mix_17aa,sc158a,n2,2,5,0.500699997
E7,172,Mix_17aa,sc827,n2,2,5,0.27610001
E8,172,Mix_17aa,p827,n2,2,5,0.26879999
E9,172,Mix_17aa,p_mix,n2,10,5,0.275299996
E10,172,Mix_17aa,sc_mix,n2,10,5,0.298000008
F2,Control,Mix_17aa,Control,n2,Control,5,0.079300001
F3,6,Mix_17aa,sc827,n2,2,5,0.485900015
F4,6,Mix_17aa,p827,n2,2,5,0.461100012
F5,6,Mix_17aa,p5642b,n2,2,5,0.464399993
F6,6,Mix_17aa,sc5642b,n2,2,5,0.474400014
F7,172,Mix_17aa,p159,n2,2,5,0.245100006
F8,172,Mix_17aa,sc159,n2,2,5,0.246099994
F9,172,Mix_17aa,p158b,n2,2,5,0.214599997
F10,172,Mix_17aa,sc158b,n2,2,5,0.25819999
F11,Control,Mix_17aa,Control,n2,Control,5,0.079499997
G2,Control,Mix_17aa,Control,n2,Control,5,0.072999999
G3,6,Mix_17aa,sc159,n2,2,5,0.454400003
G4,6,Mix_17aa,p159,n2,2,5,0.443800002
G5,6,Mix_17aa,sc158b,n2,2,5,0.44569999
G6,6,Mix_17aa,p158b,n2,2,5,0.460900009
G7,172,Mix_17aa,p158a,n2,2,5,0.258399993
G8,172,Mix_17aa,sc158a,n2,2,5,0.261599988
G9,172,Mix_17aa,sc5642b,n2,2,5,0.224399999
G10,172,Mix_17aa,p5642b,n2,2,5,0.219799995
G11,Control,Mix_17aa,Control,n2,Control,5,0.0744
E3,6,Mix_17aa,p_mix,n2,10,6,0.656499982
E4,6,Mix_17aa,sc_mix,n2,10,6,0.556299984
E5,6,Mix_17aa,p158a,n2,2,6,0.65079999
E6,6,Mix_17aa,sc158a,n2,2,6,0.639500022
E7,172,Mix_17aa,sc827,n2,2,6,0.3829
E8,172,Mix_17aa,p827,n2,2,6,0.382499993
E9,172,Mix_17aa,p_mix,n2,10,6,0.411900014
E10,172,Mix_17aa,sc_mix,n2,10,6,0.463800013
F2,Control,Mix_17aa,Control,n2,Control,6,0.085299999
F3,6,Mix_17aa,sc827,n2,2,6,0.602100015
F4,6,Mix_17aa,p827,n2,2,6,0.54430002
F5,6,Mix_17aa,p5642b,n2,2,6,0.570100009
F6,6,Mix_17aa,sc5642b,n2,2,6,0.571500003
F7,172,Mix_17aa,p159,n2,2,6,0.356900007
F8,172,Mix_17aa,sc159,n2,2,6,0.372000009
F9,172,Mix_17aa,p158b,n2,2,6,0.320300013
F10,172,Mix_17aa,sc158b,n2,2,6,0.391000003
F11,Control,Mix_17aa,Control,n2,Control,6,0.085100003
G2,Control,Mix_17aa,Control,n2,Control,6,0.0792
G3,6,Mix_17aa,sc159,n2,2,6,0.540600002
G4,6,Mix_17aa,p159,n2,2,6,0.517400026
G5,6,Mix_17aa,sc158b,n2,2,6,0.536499977
G6,6,Mix_17aa,p158b,n2,2,6,0.541199982
G7,172,Mix_17aa,p158a,n2,2,6,0.378300011
G8,172,Mix_17aa,sc158a,n2,2,6,0.368999988
G9,172,Mix_17aa,sc5642b,n2,2,6,0.344900012
G10,172,Mix_17aa,p5642b,n2,2,6,0.354699999
