Well_ID,ASV,N_souce,miRNA,Replicate ,Dose(uM),Time,OD_600
B2,Control,Lysine,Control,n2,Control,0,0.082099997
B3,4,Lysine,sc158a,n2,2,0,0.123499997
B4,4,Lysine,p158a,n2,2,0,0.125599995
B5,4,Lysine,p5642b,n2,2,0,0.122900002
B6,4,Lysine,sc5642b,n2,2,0,0.124300003
B7,6,Phenyalanine,p5642b,n2,2,0,0.118600003
B8,6,Phenyalanine,sc5642b,n2,2,0,0.118000001
B9,6,Phenyalanine,p158b,n2,2,0,0.1153
B10,6,Phenyalanine,sc158b,n2,2,0,0.115099996
C2,Control,Lysine,Control,n2,Control,0,0.082099997
C3,4,Lysine,p159,n2,2,0,0.119599998
C4,4,Lysine,sc159,n2,2,0,0.1197
C5,4,Lysine,sc_mix,n2,10,0,0.124300003
C6,4,Lysine,p_mix,n2,10,0,0.119900003
C7,6,Phenyalanine,sc159,n2,2,0,0.105400003
C8,6,Phenyalanine,p159,n2,2,0,0.1087
C9,6,Phenyalanine,p827,n2,2,0,0.111500002
C10,6,Phenyalanine,sc827,n2,2,0,0.1109
C11,Control,Phenyalanine,Control,n2,Control,0,0.087899998
D3,4,Lysine,sc158b,n2,2,0,0.117799997
D4,4,Lysine,p158b,n2,2,0,0.118100002
D5,4,Lysine,p827,n2,2,0,0.118000001
D6,4,Lysine,sc827,n2,2,0,0.118100002
D7,6,Phenyalanine,p_mix,n2,10,0,0.117600001
D8,6,Phenyalanine,sc_mix,n2,10,0,0.112300001
D9,6,Phenyalanine,sc158a,n2,2,0,0.110399999
D10,6,Phenyalanine,p158a,n2,2,0,0.112499997
D11,Control,Phenyalanine,Control,n2,Control,0,0.080499999
E3,6,Mix_17aa,p_mix,n5,10,0,0.112899996
E4,6,Mix_17aa,sc_mix,n5,10,0,0.118299998
E5,6,Mix_17aa,p158a,n5,2,0,0.121799998
E6,6,Mix_17aa,sc158a,n5,2,0,0.122100003
E7,172,Mix_17aa,sc827,n4,2,0,0.141900003
E8,172,Mix_17aa,p827,n4,2,0,0.136000007
E9,172,Mix_17aa,p_mix,n4,10,0,0.129299998
