Well_ID,ASV,N_souce,miRNA,Replicate ,Dose(uM),Time,OD_600
B7,172,Mix_17aa,sc159,n1,2,0,0.152199998
B8,172,Mix_17aa,p159,n1,2,0,0.147
B9,172,Mix_17aa,sc827,n1,2,0,0.148499995
B10,172,Mix_17aa,p827,n1,2,0,0.146799996
B11,Control,Mix_17aa,Control,n1,Control,0,0.083400004
C7,172,Mix_17aa,p5642b,n1,2,0,0.1417
C8,172,Mix_17aa,sc5642b,n1,2,0,0.140400007
C9,172,Mix_17aa,sc158b,n1,2,0,0.141000003
C10,172,Mix_17aa,p158b,n1,2,0,0.138699993
D7,172,Mix_17aa,p158a,n1,2,0,0.147300005
D8,172,Mix_17aa,sc158a,n1,2,0,0.140000001
D9,172,Mix_17aa,p_mix,n1,10,0,0.137500003
D10,172,Mix_17aa,sc_mix,n1,10,0,0.140900001
D11,Control,Mix_17aa,Control,n5,Control,0,0.080499999
E7,4,Lysine,sc158a,n5,2,0,0.166899994
E8,4,Lysine,p158a,n5,2,0,0.159299999
E9,4,Lysine,p5642b,n5,2,0,0.148800001
E10,4,Lysine,sc5642b,n5,2,0,0.163900003
E11,Control,Lysine,Control,n5,Control,0,0.096199997
F7,4,Lysine,sc159,n5,2,0,0.144999996
F8,4,Lysine,p159,n5,2,0,0.147100002
F9,4,Lysine,p158b,n5,2,0,0.142700002
F10,4,Lysine,sc158b,n5,2,0,0.144099995
F11,Control,Lysine,Control,n5,Control,0,0.087200001
G7,4,Lysine,p827,n5,2,0,0.135100007
G8,4,Lysine,sc827,n5,2,0,0.176499993
G9,4,Lysine,sc_mix,n5,10,0,0.140000001
G10,4,Lysine,p_mix,n5,10,0,0.135499999
B7,172,Mix_17aa,sc159,n1,2,1,0.150399998
B8,172,Mix_17aa,p159,n1,2,1,0.141800001
B9,172,Mix_17aa,sc827,n1,2,1,0.147100002
B10,172,Mix_17aa,p827,n1,2,1,0.148699999
B11,Control,Mix_17aa,Control,n1,Control,1,0.077
C7,172,Mix_17aa,p5642b,n1,2,1,0.141499996
C8,172,Mix_17aa,sc5642b,n1,2,1,0.140799999
C9,172,Mix_17aa,sc158b,n1,2,1,0.142399997
C10,172,Mix_17aa,p158b,n1,2,1,0.140300006
D7,172,Mix_17aa,p158a,n1,2,1,0.153200001
D8,172,Mix_17aa,sc158a,n1,2,1,0.141399994
D9,172,Mix_17aa,p_mix,n1,10,1,0.149599999
D10,172,Mix_17aa,sc_mix,n1,10,1,0.144600004
D11,Control,Mix_17aa,Control,n5,Control,1,0.076099999
E7,4,Lysine,sc158a,n5,2,1,0.173500001
E8,4,Lysine,p158a,n5,2,1,0.169
E9,4,Lysine,p5642b,n5,2,1,0.153200001
E10,4,Lysine,sc5642b,n5,2,1,0.167899996
E11,Control,Lysine,Control,n5,Control,1,0.090800002
F7,4,Lysine,sc159,n5,2,1,0.158700004
F8,4,Lysine,p159,n5,2,1,0.151500002
F9,4,Lysine,p158b,n5,2,1,0.143600002
F10,4,Lysine,sc158b,n5,2,1,0.150600001
F11,Control,Lysine,Control,n5,Control,1,0.082599998
G7,4,Lysine,p827,n5,2,1,0.133000001
G8,4,Lysine,sc827,n5,2,1,0.169499993
G9,4,Lysine,sc_mix,n5,10,1,0.1514
G10,4,Lysine,p_mix,n5,10,1,0.1417
