Well_ID,Replicate,ASV,N_source,miRNA,Treatment,Dose(uM),Time,OD_600
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,0,0.15
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,1,0.218
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,2,0.377
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,3,0.58
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,4,0.914
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,5,1.477
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,6,1.872
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,7,2.035
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,8,2.122
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,9,2.195
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,10,2.235
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,11,2.264
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,12,2.282
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,13,2.299
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,14,2.305
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,15,2.312
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,16,2.313
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,17,2.319
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,18,2.315
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,19,2.314
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,20,2.311
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,21,2.315
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,22,2.308
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,23,2.318
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,24,2.319
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,25,2.322
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,26,2.311
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,27,2.314
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,28,2.318
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,29,2.303
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,30,2.308
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,31,2.304
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,32,2.294
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,33,2.297
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,34,2.283
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,35,2.279
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,36,2.274
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,37,2.276
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,38,2.272
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,39,2.271
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,40,2.27
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,41,2.268
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,42,2.263
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,43,2.262
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,44,2.267
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,45,2.263
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,46,2.265
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,47,2.26
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,48,2.259
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,49,2.263
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,50,2.263
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,51,2.266
B2,A,4,Mix_17aa,ath-miR5642b,Plant,2,52,2.267
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,0,0.155
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,1,0.212
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,2,0.37
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,3,0.563
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,4,0.901
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,5,1.471
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,6,1.842
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,7,2.004
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,8,2.096
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,9,2.171
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,10,2.224
B3,A,4,Mix_17aa,ath-miR5642b,Scramble,2,11,2.255
