Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
A4	N.A.	L-Lysine	N.A.	N.A.	N.A.	0	0.0804
A5	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	0	0.0841
A6	N.A.	L-Proline	N.A.	N.A.	N.A.	0	0.0872
A7	N.A.	Glycine	N.A.	N.A.	N.A.	0	0.0886
A8	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	0	0.0916
A9	N.A.	L-Methionine	N.A.	N.A.	N.A.	0	0.0885
B1	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	0	0.0954
B2	plant_miRNA	L-Isoleucine	mix_5	1	10	0	0.099
B3	plant_miRNA	L-Tryptophan	mix_5	1	10	0	0.0902
B4	scrambled_miRNA	Glycine	mix_5	2	10	0	0.0934
B5	plant_miRNA	L-Lysine	mix_5	2	10	0	0.0931
B6	scrambled_miRNA	L-Methionine	mix_5	3	10	0	0.0933
B7	plant_miRNA	Glycine	mix_5	3	10	0	0.0959
B8	scrambled_miRNA	L-Tryptophan	mix_5	4	10	0	0.0942
B9	plant_miRNA	L-Proline	mix_5	4	10	0	0.0937
B10	scrambled_miRNA	L-Lysine	mix_5	5	10	0	0.0925
B11	scrambled_miRNA	L-Isoleucine	mix_5	5	10	0	0.0871
B12	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	0	0.0856
C1	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	0	0.092
C2	scrambled_miRNA	L-Isoleucine	mix_5	1	10	0	0.0994
C3	scrambled_miRNA	L-Tryptophan	mix_5	1	10	0	0.093
C4	plant_miRNA	Glycine	mix_5	2	10	0	0.1006
C5	scrambled_miRNA	L-Lysine	mix_5	2	10	0	0.092
C6	plant_miRNA	L-Methionine	mix_5	3	10	0	0.0956
C7	scrambled_miRNA	Glycine	mix_5	3	10	0	0.0939
C8	plant_miRNA	L-Tryptophan	mix_5	4	10	0	0.0931
C9	scrambled_miRNA	L-Proline	mix_5	4	10	0	0.0926
C10	plant_miRNA	L-Lysine	mix_5	5	10	0	0.0943
C11	plant_miRNA	L-Isoleucine	mix_5	5	10	0	0.0935
C12	N.A.	Glycine	N.A.	N.A.	N.A.	0	0.0864
D1	N.A.	L-Methionine	N.A.	N.A.	N.A.	0	0.0828
D2	plant_miRNA	L-Methionine	mix_5	1	10	0	0.0915
D3	plant_miRNA	Glycine	mix_5	1	10	0	0.0936
D4	plant_miRNA	L-Proline	mix_5	2	10	0	0.096
D5	scrambled_miRNA	L-Methionine	mix_5	2	10	0	0.0985
D6	scrambled_miRNA	L-Isoleucine	mix_5	3	10	0	0.0962
D7	plant_miRNA	L-Tryptophan	mix_5	3	10	0	0.1014
