Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600	
A4	N.A.	L-Alanine	N.A.	N.A.	N.A.	0	0.0928	
A5	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	0	0.091	
A6	N.A.	L-Arginine	N.A.	N.A.	N.A.	0	0.0868	
A7	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	0	0.0865	
A8	N.A.	L-Histidine	N.A.	N.A.	N.A.	0	0.0824	
A9	N.A.	L-Cysteine	N.A.	N.A.	N.A.	0	0.082	
B1	N.A.	L-Cysteine	N.A.	N.A.	N.A.	0	0.0918	
B2	scrambled_miRNA	L-Alanine	mix_5	1	10	0	0.0916	
B3	plant_miRNA	L-Glutamic_acid	mix_5	1	10	0	0.0913	
B4	plant_miRNA	L-Histidine	mix_5	2	10	0	0.0928	
B5	scrambled_miRNA	L-Arginine	mix_5	2	10	0	0.087	
B6	plant_miRNA	L-Glutamic_acid	mix_5	3	10	0	0.0895	
B7	plant_miRNA	L-Aspartic_acid	mix_5	3	10	0	0.0877	
B8	plant_miRNA	L-Cysteine	mix_5	4	10	0	0.0864	
B9	scrambled_miRNA	L-Glutamic_acid	mix_5	4	10	0	0.0861	
B10	plant_miRNA	L-Arginine	mix_5	5	10	0	0.0908	
B11	plant_miRNA	L-Histidine	mix_5	5	10	0	0.0916	
B12	N.A.	L-Cysteine	N.A.	N.A.	N.A.	0	0.0861	
C1	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	0	0.0948	
C2	plant_miRNA	L-Alanine	mix_5	1	10	0	0.092	
C3	scrambled_miRNA	L-Glutamic_acid	mix_5	1	10	0	0.0983	
C4	scrambled_miRNA	L-Histidine	mix_5	2	10	0	0.0907	
C5	plant_miRNA	L-Arginine	mix_5	2	10	0	0.0923	
C6	scrambled_miRNA	L-Glutamic_acid	mix_5	3	10	0	0.0912	
C7	scrambled_miRNA	L-Aspartic_acid	mix_5	3	10	0	0.086	
C8	scrambled_miRNA	L-Cysteine	mix_5	4	10	0	0.0873	
C9	plant_miRNA	L-Glutamic_acid	mix_5	4	10	0	0.0904	
C10	scrambled_miRNA	L-Arginine	mix_5	5	10	0	0.0968	
C11	scrambled_miRNA	L-Histidine	mix_5	5	10	0	0.0891	
C12	N.A.	L-Alanine	N.A.	N.A.	N.A.	0	0.0813	
D1	N.A.	L-Histidine	N.A.	N.A.	N.A.	0	0.086	
D2	plant_miRNA	L-Cysteine	mix_5	1	10	0	0.0907	
D3	plant_miRNA	L-Aspartic_acid	mix_5	1	10	0	0.0898	
D4	scrambled_miRNA	L-Alanine	mix_5	2	10	0	0.091	
