Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
A3	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	0	0.096900001
A4	N.A.	L-Threonine	N.A.	N.A.	N.A.	0	0.094499998
A5	N.A.	L-Serine	N.A.	N.A.	N.A.	0	0.093400002
A6	N.A.	L-Leucine	N.A.	N.A.	N.A.	0	0.092600003
A7	N.A.	L-Valine	N.A.	N.A.	N.A.	0	0.097400002
A8	N.A.	Mix17	N.A.	N.A.	N.A.	0	0.0889
B1	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	0	0.085500002
B2	plant_miRNA	L-Valine	mix_5	1	10	0	0.101300001
B3	scrambled_miRNA	L-Leucine	mix_5	1	10	0	0.094099998
B4	plant_miRNA	L-Serine	mix_5	2	10	0	0.0964
B5	scrambled_miRNA	L-Threonine	mix_5	2	10	0	0.087700002
B6	scrambled_miRNA	L-Phenylalanine	mix_5	3	10	0	0.084799998
B7	plant_miRNA	Mix17	mix_5	3	10	0	0.086999997
B8	plant_miRNA	Mix17	mix_5	4	10	0	0.084799998
B9	plant_miRNA	L-Valine	mix_5	4	10	0	0.0889
B10	scrambled_miRNA	L-Serine	mix_5	5	10	0	0.097199999
B11	scrambled_miRNA	L-Phenylalanine	mix_5	5	10	0	0.090300001
B12	N.A.	L-Leucine	N.A.	N.A.	N.A.	0	0.081500001
C1	N.A.	L-Threonine	N.A.	N.A.	N.A.	0	0.081699997
C2	scrambled_miRNA	L-Valine	mix_5	1	10	0	0.081
C3	plant_miRNA	L-Leucine	mix_5	1	10	0	0.082199998
C4	scrambled_miRNA	L-Serine	mix_5	2	10	0	0.086499996
C5	plant_miRNA	L-Threonine	mix_5	2	10	0	0.078299999
C6	plant_miRNA	L-Phenylalanine	mix_5	3	10	0	0.0823
C7	scrambled_miRNA	Mix17	mix_5	3	10	0	0.079899997
C8	scrambled_miRNA	Mix17	mix_5	4	10	0	0.085500002
C9	scrambled_miRNA	L-Valine	mix_5	4	10	0	0.076800004
C10	plant_miRNA	L-Serine	mix_5	5	10	0	0.079000004
C11	plant_miRNA	L-Phenylalanine	mix_5	5	10	0	0.079000004
C12	N.A.	L-Valine	N.A.	N.A.	N.A.	0	0.078699999
D1	N.A.	L-Leucine	N.A.	N.A.	N.A.	0	0.0814
D2	scrambled_miRNA	L-Serine	mix_5	1	10	0	0.091899998
D3	scrambled_miRNA	L-Phenylalanine	mix_5	1	10	0	0.087499999
D4	scrambled_miRNA	L-Phenylalanine	mix_5	2	10	0	0.086400002
D5	plant_miRNA	L-Valine	mix_5	2	10	0	0.082800001
D6	plant_miRNA	L-Leucine	mix_5	3	10	0	0.079899997
D7	plant_miRNA	L-Serine	mix_5	3	10	0	0.089000002
D8	scrambled_miRNA	L-Threonine	mix_5	4	10	0	0.0911
D9	scrambled_miRNA	L-Leucine	mix_5	4	10	0	0.091399997
D10	plant_miRNA	L-Threonine	mix_5	5	10	0	0.083400004
D11	plant_miRNA	Mix17	mix_5	5	10	0	0.084100001
D12	N.A.	L-Threonine	N.A.	N.A.	N.A.	0	0.076099999
E1	N.A.	L-Valine	N.A.	N.A.	N.A.	0	0.1052
E2	plant_miRNA	L-Serine	mix_5	1	10	0	0.103399999
E3	plant_miRNA	L-Phenylalanine	mix_5	1	10	0	0.094800003
E4	plant_miRNA	L-Phenylalanine	mix_5	2	10	0	0.101499997
E5	scrambled_miRNA	L-Valine	mix_5	2	10	0	0.096299998
E6	scrambled_miRNA	L-Leucine	mix_5	3	10	0	0.097400002
E7	scrambled_miRNA	L-Serine	mix_5	3	10	0	0.109499998
E8	plant_miRNA	L-Threonine	mix_5	4	10	0	0.105400003
E9	plant_miRNA	L-Leucine	mix_5	4	10	0	0.110100001
E10	scrambled_miRNA	L-Threonine	mix_5	5	10	0	0.1008
E11	scrambled_miRNA	Mix17	mix_5	5	10	0	0.0973
E12	N.A.	L-Serine	N.A.	N.A.	N.A.	0	0.086599998
F1	N.A.	Mix17	N.A.	N.A.	N.A.	0	0.0854
F2	plant_miRNA	L-Threonine	mix_5	1	10	0	0.105999999
F3	scrambled_miRNA	Mix17	mix_5	1	10	0	0.089100003
F4	plant_miRNA	L-Leucine	mix_5	2	10	0	0.088799998
F5	plant_miRNA	Mix17	mix_5	2	10	0	0.090099998
F6	plant_miRNA	L-Valine	mix_5	3	10	0	0.097000003
F7	scrambled_miRNA	L-Threonine	mix_5	3	10	0	0.094899997
F8	plant_miRNA	L-Phenylalanine	mix_5	4	10	0	0.093099996
F9	scrambled_miRNA	L-Serine	mix_5	4	10	0	0.093699999
F10	scrambled_miRNA	L-Valine	mix_5	5	10	0	0.091200002
F11	plant_miRNA	L-Leucine	mix_5	5	10	0	0.086000003
F12	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	0	0.077600002
G1	N.A.	L-Serine	N.A.	N.A.	N.A.	0	0.079400003
G2	scrambled_miRNA	L-Threonine	mix_5	1	10	0	0.090599999
G3	plant_miRNA	Mix17	mix_5	1	10	0	0.083099999
G4	scrambled_miRNA	L-Leucine	mix_5	2	10	0	0.084399998
G5	scrambled_miRNA	Mix17	mix_5	2	10	0	0.080799997
G6	scrambled_miRNA	L-Valine	mix_5	3	10	0	0.077399999
G7	plant_miRNA	L-Threonine	mix_5	3	10	0	0.082699999
G8	scrambled_miRNA	L-Phenylalanine	mix_5	4	10	0	0.081900001
G9	plant_miRNA	L-Serine	mix_5	4	10	0	0.084200002
G10	plant_miRNA	L-Valine	mix_5	5	10	0	0.082199998
G11	scrambled_miRNA	L-Leucine	mix_5	5	10	0	0.082099997
G12	N.A.	Mix17	N.A.	N.A.	N.A.	0	0.073899999
H4	N.A.	L-Threonine	N.A.	N.A.	N.A.	0	0.076499999
H5	N.A.	L-Leucine	N.A.	N.A.	N.A.	0	0.076300003
H6	N.A.	L-Valine	N.A.	N.A.	N.A.	0	0.078599997
H7	N.A.	Mix17	N.A.	N.A.	N.A.	0	0.078199998
H8	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	0	0.078199998
H10	N.A.	L-Serine	N.A.	N.A.	N.A.	0	0.0757
A3	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	1	0.093500003
A4	N.A.	L-Threonine	N.A.	N.A.	N.A.	1	0.084299996
A5	N.A.	L-Serine	N.A.	N.A.	N.A.	1	0.080200002
A6	N.A.	L-Leucine	N.A.	N.A.	N.A.	1	0.087300003
A7	N.A.	L-Valine	N.A.	N.A.	N.A.	1	0.087499999
A8	N.A.	Mix17	N.A.	N.A.	N.A.	1	0.079999998
B1	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	1	0.0832
B2	plant_miRNA	L-Valine	mix_5	1	10	1	0.101599999
B3	scrambled_miRNA	L-Leucine	mix_5	1	10	1	0.093999997
B4	plant_miRNA	L-Serine	mix_5	2	10	1	0.096199997
B5	scrambled_miRNA	L-Threonine	mix_5	2	10	1	0.089599997
B6	scrambled_miRNA	L-Phenylalanine	mix_5	3	10	1	0.087200001
B7	plant_miRNA	Mix17	mix_5	3	10	1	0.087200001
B8	plant_miRNA	Mix17	mix_5	4	10	1	0.086800002
B9	plant_miRNA	L-Valine	mix_5	4	10	1	0.083300002
B10	scrambled_miRNA	L-Serine	mix_5	5	10	1	0.093999997
B11	scrambled_miRNA	L-Phenylalanine	mix_5	5	10	1	0.090099998
B12	N.A.	L-Leucine	N.A.	N.A.	N.A.	1	0.0766
C1	N.A.	L-Threonine	N.A.	N.A.	N.A.	1	0.081699997
C2	scrambled_miRNA	L-Valine	mix_5	1	10	1	0.077699997
C3	plant_miRNA	L-Leucine	mix_5	1	10	1	0.088200003
C4	scrambled_miRNA	L-Serine	mix_5	2	10	1	0.084700003
C5	plant_miRNA	L-Threonine	mix_5	2	10	1	0.077500001
C6	plant_miRNA	L-Phenylalanine	mix_5	3	10	1	0.082000002
C7	scrambled_miRNA	Mix17	mix_5	3	10	1	0.087899998
C8	scrambled_miRNA	Mix17	mix_5	4	10	1	0.085000001
C9	scrambled_miRNA	L-Valine	mix_5	4	10	1	0.085199997
C10	plant_miRNA	L-Serine	mix_5	5	10	1	0.075300001
C11	plant_miRNA	L-Phenylalanine	mix_5	5	10	1	0.079300001
C12	N.A.	L-Valine	N.A.	N.A.	N.A.	1	0.082000002
D1	N.A.	L-Leucine	N.A.	N.A.	N.A.	1	0.080799997
