Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
B2	N.A.	Glycine	N.A.	1	N.A.	0	0.084100001
B3	plant_miRNA	Glycine	aof159	1	2	0	0.093900003
B4	scrambled_miRNA	Glycine	ath827	2	2	0	0.0995
B5	scrambled_miRNA	Glycine	ath5642b	2	2	0	0.097199999
B6	scrambled_miRNA	Glycine	ath5642b	3	2	0	0.098899998
B7	plant_miRNA	Glycine	ath158a3p	3	2	0	0.095899999
B8	N.A.	Glycine	N.A.	4	N.A.	0	0.079899997
B9	plant_miRNA	Glycine	ath5642b	4	2	0	0.093199998
B10	plant_miRNA	Glycine	ath158b	5	2	0	0.094800003
B11	scrambled_miRNA	Glycine	aof159	5	2	0	0.090499997
C2	N.A.	Glycine	N.A.	1	N.A.	0	0.078199998
C3	scrambled_miRNA	Glycine	aof159	1	2	0	0.087800004
C4	plant_miRNA	Glycine	ath827	2	2	0	0.088
C5	plant_miRNA	Glycine	ath5642b	2	2	0	0.084399998
C6	plant_miRNA	Glycine	ath5642b	3	2	0	0.090400003
C7	scrambled_miRNA	Glycine	ath158a3p	3	2	0	0.088100001
C8	N.A.	Glycine	N.A.	4	N.A.	0	0.076300003
C9	scrambled_miRNA	Glycine	ath5642b	4	2	0	0.087099999
C10	scrambled_miRNA	Glycine	ath158b	5	2	0	0.086000003
C11	plant_miRNA	Glycine	aof159	5	2	0	0.086199999
D2	plant_miRNA	Glycine	ath5642b	1	2	0	0.092799999
D3	scrambled_miRNA	Glycine	ath158a3p	1	2	0	0.086400002
D4	plant_miRNA	Glycine	aof159	2	2	0	0.089199997
D5	plant_miRNA	Glycine	ath158b	2	2	0	0.0867
D6	scrambled_miRNA	Glycine	ath827	3	2	0	0.088699996
D7	scrambled_miRNA	Glycine	aof159	3	2	0	0.089000002
D8	plant_miRNA	Glycine	ath158a3p	4	2	0	0.0902
D9	scrambled_miRNA	Glycine	ath158b	4	2	0	0.093999997
