Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
B2	scrambled_miRNA	mix17AA	aof159	1	2	0	0.0901
B3	plant_miRNA	mix17AA	ath5642b	1	2	0	0.0865
B4	N.A.	mix17AA	N.A.	2	N.A.	0	0.0846
B5	plant_miRNA	mix17AA	ath158a3p	2	2	0	0.0926
B6	plant_miRNA	mix17AA	ath827	3	2	0	0.0947
B7	plant_miRNA	mix17AA	aof159	3	2	0	0.095
B8	scrambled_miRNA	mix17AA	ath158a3p	4	2	0	0.0963
B9	scrambled_miRNA	mix17AA	ath827	4	2	0	0.0947
B10	scrambled_miRNA	mix17AA	ath5642b	5	2	0	0.0934
B11	plant_miRNA	mix17AA	ath158b	5	2	0	0.0951
C2	plant_miRNA	mix17AA	aof159	1	2	0	0.0876
C3	scrambled_miRNA	mix17AA	ath5642b	1	2	0	0.0945
C4	N.A.	mix17AA	N.A.	2	N.A.	0	0.0876
C5	scrambled_miRNA	mix17AA	ath158a3p	2	2	0	0.0903
C6	scrambled_miRNA	mix17AA	ath827	3	2	0	0.0936
C7	scrambled_miRNA	mix17AA	aof159	3	2	0	0.0929
C8	plant_miRNA	mix17AA	ath158a3p	4	2	0	0.0951
C9	plant_miRNA	mix17AA	ath827	4	2	0	0.0986
C10	plant_miRNA	mix17AA	ath5642b	5	2	0	0.0951
C11	scrambled_miRNA	mix17AA	ath158b	5	2	0	0.095
D2	scrambled_miRNA	mix17AA	ath158a3p	1	2	0	0.0957
D3	plant_miRNA	mix17AA	ath158b	1	2	0	0.0878
D4	scrambled_miRNA	mix17AA	ath5642b	2	2	0	0.0893
D5	plant_miRNA	mix17AA	ath827	2	2	0	0.0938
D6	N.A.	mix17AA	N.A.	3	N.A.	0	0.0903
D7	plant_miRNA	mix17AA	ath5642b	3	2	0	0.0943
D8	plant_miRNA	mix17AA	aof159	4	2	0	0.097
D9	scrambled_miRNA	mix17AA	ath158b	4	2	0	0.0935
D10	plant_miRNA	mix17AA	ath158a3p	5	2	0	0.0933
D11	N.A.	mix17AA	N.A.	5	N.A.	0	0.087
E2	plant_miRNA	mix17AA	ath158a3p	1	2	0	0.0867
E3	scrambled_miRNA	mix17AA	ath158b	1	2	0	0.088
E4	plant_miRNA	mix17AA	ath5642b	2	2	0	0.0974
E5	scrambled_miRNA	mix17AA	ath827	2	2	0	0.094
E6	N.A.	mix17AA	N.A.	3	N.A.	0	0.0926
E7	scrambled_miRNA	mix17AA	ath5642b	3	2	0	0.0953
E8	scrambled_miRNA	mix17AA	aof159	4	2	0	0.0938
E9	plant_miRNA	mix17AA	ath158b	4	2	0	0.1035
E10	scrambled_miRNA	mix17AA	ath158a3p	5	2	0	0.0947
E11	N.A.	mix17AA	N.A.	5	N.A.	0	0.0905
F2	scrambled_miRNA	mix17AA	ath827	1	2	0	0.0929
F3	N.A.	mix17AA	N.A.	1	N.A.	0	0.095
F4	plant_miRNA	mix17AA	aof159	2	2	0	0.0944
F5	scrambled_miRNA	mix17AA	ath158b	2	2	0	0.0884
F6	scrambled_miRNA	mix17AA	ath158a3p	3	2	0	0.0906
F7	plant_miRNA	mix17AA	ath158b	3	2	0	0.0893
F8	N.A.	mix17AA	N.A.	4	N.A.	0	0.1028
F9	plant_miRNA	mix17AA	ath5642b	4	2	0	0.0917
F10	scrambled_miRNA	mix17AA	aof159	5	2	0	0.0921
F11	plant_miRNA	mix17AA	ath827	5	2	0	0.0894
G2	plant_miRNA	mix17AA	ath827	1	2	0	0.0918
G3	N.A.	mix17AA	N.A.	1	N.A.	0	0.1366
G4	scrambled_miRNA	mix17AA	aof159	2	2	0	0.0921
G5	plant_miRNA	mix17AA	ath158b	2	2	0	0.0895
G6	plant_miRNA	mix17AA	ath158a3p	3	2	0	0.0894
G7	scrambled_miRNA	mix17AA	ath158b	3	2	0	0.0885
G8	N.A.	mix17AA	N.A.	4	N.A.	0	0.0987
G9	scrambled_miRNA	mix17AA	ath5642b	4	2	0	0.091
G10	plant_miRNA	mix17AA	aof159	5	2	0	0.0925
G11	scrambled_miRNA	mix17AA	ath827	5	2	0	0.0969
B2	scrambled_miRNA	mix17AA	aof159	1	2	1	0.0967
B3	plant_miRNA	mix17AA	ath5642b	1	2	1	0.0927
