Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
B2	plant_miRNA	L-Lysine	ath827	1	2	0	0.0955
B3	plant_miRNA	L-Lysine	ath158b	1	2	0	0.0923
B4	scrambled_miRNA	L-Lysine	ath158b	2	2	0	0.0935
B5	scrambled_miRNA	L-Lysine	ath158a3p	2	2	0	0.0946
B6	scrambled_miRNA	L-Lysine	ath827	3	2	0	0.0898
B7	plant_miRNA	L-Lysine	ath5642b	3	2	0	0.0876
B8	plant_miRNA	L-Lysine	aof159	4	2	0	0.0898
B9	plant_miRNA	L-Lysine	ath158a3p	4	2	0	0.0903
B10	scrambled_miRNA	L-Lysine	ath5642b	5	2	0	0.0941
B11	N.A.	L-Lysine	N.A.	5	N.A.	0	0.0865
C2	scrambled_miRNA	L-Lysine	ath827	1	2	0	0.0962
C3	scrambled_miRNA	L-Lysine	ath158b	1	2	0	0.0938
C4	plant_miRNA	L-Lysine	ath158b	2	2	0	0.088
C5	plant_miRNA	L-Lysine	ath158a3p	2	2	0	0.0875
C6	plant_miRNA	L-Lysine	ath827	3	2	0	0.0859
C7	scrambled_miRNA	L-Lysine	ath5642b	3	2	0	0.0895
C8	scrambled_miRNA	L-Lysine	aof159	4	2	0	0.0918
C9	scrambled_miRNA	L-Lysine	ath158a3p	4	2	0	0.086
C10	plant_miRNA	L-Lysine	ath5642b	5	2	0	0.0888
C11	N.A.	L-Lysine	N.A.	5	N.A.	0	0.0823
D2	scrambled_miRNA	L-Lysine	ath158a3p	1	2	0	0.0915
D3	plant_miRNA	L-Lysine	aof159	1	2	0	0.0881
D4	scrambled_miRNA	L-Lysine	aof159	2	2	0	0.0922
D5	plant_miRNA	L-Lysine	ath827	2	2	0	0.0828
D6	plant_miRNA	L-Lysine	ath158a3p	3	2	0	0.0853
D7	N.A.	L-Lysine	N.A.	3	2	0	0.078
D8	plant_miRNA	L-Lysine	ath158b	4	2	0	0.0886
D9	scrambled_miRNA	L-Lysine	ath5642b	4	2	0	0.0884
D10	scrambled_miRNA	L-Lysine	ath827	5	2	0	0.089
D11	plant_miRNA	L-Lysine	ath158b	5		0	0.0939
E2	plant_miRNA	L-Lysine	ath158a3p	1	2	0	0.0855
E3	scrambled_miRNA	L-Lysine	aof159	1	2	0	0.0816
E4	plant_miRNA	L-Lysine	aof159	2	2	0	0.0897
E5	scrambled_miRNA	L-Lysine	ath827	2	2	0	0.0836
E6	scrambled_miRNA	L-Lysine	ath158a3p	3	2	0	0.0852
