Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
B2	plant_miRNA	L-Proline	ath827	1	2	0	0.0999
B3	N.A	L-Proline	N.A.	1	N.A.	0	0.085299999
B4	scrambled_miRNA	L-Proline	aof159	2	2	0	0.0973
B5	scrambled_miRNA	L-Proline	ath5642b	2	2	0	0.095399998
B6	scrambled_miRNA	L-Proline	ath158a3p	3	2	0	0.096100003
B7	plant_miRNA	L-Proline	ath5642b	3	2	0	0.0955
B8	scrambled_miRNA	L-Proline	ath158b	4	2	0	0.086099997
B9	plant_miRNA	L-Proline	ath158a3p	4	2	0	0.092699997
B10	plant_miRNA	L-Proline	ath158b	5	2	0	0.095899999
B11	N.A	L-Proline	N.A.	5	N.A.	0	0.082099997
C2	scrambled_miRNA	L-Proline	ath827	1	2	0	0.088
C3	N.A	L-Proline	N.A.	1	N.A.	0	0.078100003
C4	plant_miRNA	L-Proline	aof159	2	2	0	0.086300001
C5	plant_miRNA	L-Proline	ath5642b	2	2	0	0.084700003
C6	plant_miRNA	L-Proline	ath158a3p	3	2	0	0.086000003
C7	scrambled_miRNA	L-Proline	ath5642b	3	2	0	0.086300001
C8	plant_miRNA	L-Proline	ath158b	4	2	0	0.087099999
C9	scrambled_miRNA	L-Proline	ath158a3p	4	2	0	0.078100003
C10	scrambled_miRNA	L-Proline	ath158b	5	2	0	0.088299997
C11	N.A	L-Proline	N.A.	5	N.A.	0	0.076300003
D2	plant_miRNA	L-Proline	ath5642b	1	2	0	0.091300003
D3	plant_miRNA	L-Proline	aof159	1	2	0	0.086400002
D4	scrambled_miRNA	L-Proline	ath827	2	2	0	0.086900003
D5	scrambled_miRNA	L-Proline	ath158b	2	2	0	0.086999997
D6	N.A	L-Proline	N.A.	3	N.A.	0	0.078400001
D7	plant_miRNA	L-Proline	ath827	3	2	0	0.082400002
D8	scrambled_miRNA	L-Proline	ath827	4	2	0	0.088600002
D9	plant_miRNA	L-Proline	aof159	4	2	0	0.085699998
D10	plant_miRNA	L-Proline	ath158a3p	5	2	0	0.087499999
D11	plant_miRNA	L-Proline	ath5642b	5	2	0	0.089400001
E2	scrambled_miRNA	L-Proline	ath5642b	1	2	0	0.108400002
E3	scrambled_miRNA	L-Proline	aof159	1	2	0	0.102899998
E4	plant_miRNA	L-Proline	ath827	2	2	0	0.099100001
E5	plant_miRNA	L-Proline	ath158b	2	2	0	0.0977
E6	N.A	L-Proline	N.A.	3	N.A.	0	0.090000004
