cluster	HI.5212.006.RPI8.3	HI.5212.007.RPI42.37	HI.5212.007.RPI20.63	HI.5212.006.RPI20.15	HI.5212.007.RPI13.56	HI.5212.006.RPI2.102	HI.5212.007.RPI21.64	HI.5212.006.RPI17.12	HI.5212.007.RPI14.57	HI.5212.008.RPI33.75	HI.5212.007.RPI43.38	HI.5212.006.RPI9.4	HI.5212.007.RPI41.36	HI.5212.006.RPI6.1	HI.5212.008.RPI6.96	HI.5212.008.RPI30.73	HI.5212.007.RPI36.31	HI.5212.007.RPI8.51	HI.5212.007.RPI17.60	HI.5212.007.RPI48.43	HI.5212.006.RPI14.9	HI.5212.006.RPI25.20	HI.5212.006.RPI23.18	HI.5212.008.RPI1.91	HI.5212.007.RPI47.42	HI.5212.008.RPI44.86	HI.5212.007.RPI18.61	HI.5212.006.RPI4.104	HI.5212.008.RPI8.98	HI.5212.007.RPI11.54	HI.5212.008.RPI45.87	HI.5212.008.RPI4.94	HI.5212.008.RPI40.82	HI.5212.007.RPI3.46	HI.5212.007.RPI5.48	HI.5212.006.RPI13.8	HI.5212.006.RPI34.29	HI.5212.008.RPI46.88	HI.5212.007.RPI37.32	HI.5212.007.RPI39.34	HI.5212.008.RPI48.90	HI.5212.006.RPI1.101	HI.5212.006.RPI19.14	HI.5212.007.RPI10.53	HI.5212.006.RPI27.22	HI.5212.008.RPI26.84	HI.5212.006.RPI5.105	HI.5212.008.RPI5.95	HI.5212.008.RPI34.76	HI.5212.008.RPI43.70	HI.5212.008.RPI24.67	HI.5212.008.RPI28.71	HI.5212.007.RPI46.41	HI.5212.007.RPI7.50	HI.5212.008.RPI27.85	HI.5212.007.RPI16.59	HI.5212.007.RPI1.44	HI.5212.007.RPI40.35	HI.5212.006.RPI33.28	HI.5212.007.RPI19.62	HI.5212.006.RPI21.16	HI.5212.007.RPI12.55	HI.5212.008.RPI47.89	HI.5212.008.RPI10.100	HI.5212.007.RPI44.39	HI.5212.006.RPI10.5	HI.5212.008.RPI37.79	HI.5212.006.RPI11.6	HI.5212.006.RPI30.25	HI.5212.006.RPI16.11	HI.5212.008.RPI35.77	HI.5212.006.RPI3.103	HI.5212.006.RPI12.7	HI.5212.008.RPI42.69	HI.5212.007.RPI4.47	HI.5212.008.RPI36.78	HI.5212.008.RPI9.99	HI.5212.008.RPI23.66	HI.5212.006.RPI24.19	HI.5212.008.RPI39.81	HI.5212.008.RPI2.92	HI.5212.008.RPI7.97	HI.5212.008.RPI38.80	HI.5212.007.RPI2.45	HI.5212.006.RPI35.30	HI.5212.006.RPI31.26	HI.5212.007.RPI45.40	HI.5212.006.RPI29.24	HI.5212.006.RPI28.23	HI.5212.007.RPI15.58	HI.5212.007.RPI6.49	HI.5212.006.RPI32.27	HI.5212.008.RPI29.72	HI.5212.006.RPI26.21	HI.5212.008.RPI31.74	HI.5212.006.RPI7.2	HI.5212.008.RPI25.83	HI.5212.008.RPI41.68	HI.5212.006.RPI22.17	HI.5212.006.RPI18.13	HI.5212.007.RPI9.52	HI.5212.007.RPI38.33	HI.5212.006.RPI15.10	HI.5212.008.RPI3.93
ath-miR838_MIMAT0004260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ath-miR165a-3p_MIMAT0000187	3	2	0	0	0	114	0	1	0	0	0	0	0	0	204	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	149	158	2	0	0	0	180	0	0	238	71	0	0	0	48	0	66	129	0	1	2	0	0	0	0	0	0	1	0	0	0	96	48	0	0	0	0	0	1	102	1	0	0	0	115	0	0	4	0	0	2	0	0	5	0	0	0	0	0	0	0	1	0	0	0	153	0	0	0	0	0	0	1
ath-miR165a-5p_MIMAT0031879	4	0	0	0	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	15	2	0	0	0	20	0	0	13	6	0	0	0	2	0	5	13	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	8	1	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ath-miR2112-5p_MIMAT0011154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ath-miR2112-3p_MIMAT0011155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ath-miR5640_MIMAT0022401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ath-miR5656_MIMAT0022429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ath-miR847_MIMAT0004278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ath-miR171b-3p_MIMAT0000920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ath-miR171b-5p_MIMAT0031899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
