#SampleID	Treatment	Plant	Nitrogen	Compartment	Block
1-2AY	2AYS	Arabidopsis	Amino.Acids	Bulk.Soil	2
2-2AB	2ABS	Arabidopsis	NH4NO3	Bulk.Soil	2
3-2AR	2ARS	Arabidopsis	No.Added.Nitrogen	Bulk.Soil	2
4-2BY	2BYS	Brachypodium	Amino.Acids	Bulk.Soil	2
5-2BB	2BBS	Brachypodium	NH4NO3	Bulk.Soil	2
6-2BR	2BRS	Brachypodium	No.Added.Nitrogen	Bulk.Soil	2
7-2CY	2CYS	Control	Amino.Acids	Bulk.Soil	2
8-2CB	2CBS	Control	NH4NO3	Bulk.Soil	2
9-2CR	2CRS	Control	No.Added.Nitrogen	Bulk.Soil	2
10-4AY	4AYS	Arabidopsis	Amino.Acids	Bulk.Soil	4
11-4AB	4ABS	Arabidopsis	NH4NO3	Bulk.Soil	4
12-4AR	4ARS	Arabidopsis	No.Added.Nitrogen	Bulk.Soil	4
13-4BY	4BYS	Brachypodium	Amino.Acids	Bulk.Soil	4
14-4BB	4BBS	Brachypodium	NH4NO3	Bulk.Soil	4
15-4BR	4BRS	Brachypodium	No.Added.Nitrogen	Bulk.Soil	4
16-4CY	4CYS	Control	Amino.Acids	Bulk.Soil	4
17-4CB	4CBS	Control	NH4NO3	Bulk.Soil	4
18-4CR	4CRS	Control	No.Added.Nitrogen	Bulk.Soil	4
19-8AY	8AYS	Arabidopsis	Amino.Acids	Bulk.Soil	8
20-8AB	8ABS	Arabidopsis	NH4NO3	Bulk.Soil	8
21-8AR	8ARS	Arabidopsis	No.Added.Nitrogen	Bulk.Soil	8
22-8BY	8BYS	Brachypodium	Amino.Acids	Bulk.Soil	8
23-8BB	8BBS	Brachypodium	NH4NO3	Bulk.Soil	8
24-8BR	8BRS	Brachypodium	No.Added.Nitrogen	Bulk.Soil	8
25-8CY	8CYS	Control	Amino.Acids	Bulk.Soil	8
26-8CB	8CBS	Control	NH4NO3	Bulk.Soil	8
27-8CR	8CRS	Control	No.Added.Nitrogen	Bulk.Soil	8
28-9AY	9AYS	Arabidopsis	Amino.Acids	Bulk.Soil	9
29-9AB	9ABS	Arabidopsis	NH4NO3	Bulk.Soil	9
30-9AR	9ARS	Arabidopsis	No.Added.Nitrogen	Bulk.Soil	9
31-9BY	9BYS	Brachypodium	Amino.Acids	Bulk.Soil	9
32-9BB	9BBS	Brachypodium	NH4NO3	Bulk.Soil	9
33-9BR	9BRS	Brachypodium	No.Added.Nitrogen	Bulk.Soil	9
34-9CY	9CYS	Control	Amino.Acids	Bulk.Soil	9
35-9CB	9CBS	Control	NH4NO3	Bulk.Soil	9
36-9CR	9CRS	Control	No.Added.Nitrogen	Bulk.Soil	9
37-10AY	10AYS	Arabidopsis	Amino.Acids	Bulk.Soil	10
38-10AB	10ABS	Arabidopsis	NH4NO3	Bulk.Soil	10
39-10AR	10ARS	Arabidopsis	No.Added.Nitrogen	Bulk.Soil	10
40-10BY	10BYS	Brachypodium	Amino.Acids	Bulk.Soil	10
41-10BB	10BBS	Brachypodium	NH4NO3	Bulk.Soil	10
42-10BR	10BRS	Brachypodium	No.Added.Nitrogen	Bulk.Soil	10
43-10CY	10CYS	Control	Amino.Acids	Bulk.Soil	10
44-10CB	10CBS	Control	NH4NO3	Bulk.Soil	10
45-10CR	10CRS	Control	No.Added.Nitrogen	Bulk.Soil	10
46-2AY	2AYR	Arabidopsis	Amino.Acids	Rhizosphere	2
47-2AB	2ABR	Arabidopsis	NH4NO3	Rhizosphere	2
48-2AR	2ARR	Arabidopsis	No.Added.Nitrogen	Rhizosphere	2
49-2BY	2BYR	Brachypodium	Amino.Acids	Rhizosphere	2
50-2BB	2BBR	Brachypodium	NH4NO3	Rhizosphere	2
51-2BR	2BRR	Brachypodium	No.Added.Nitrogen	Rhizosphere	2
52-4AY	4AYR	Arabidopsis	Amino.Acids	Rhizosphere	4
53-4AB	4ABR	Arabidopsis	NH4NO3	Rhizosphere	4
54-4AR	4ARR	Arabidopsis	No.Added.Nitrogen	Rhizosphere	4
55-4BY	4BYR	Brachypodium	Amino.Acids	Rhizosphere	4
56-4BB	4BBR	Brachypodium	NH4NO3	Rhizosphere	4
57-4BR	4BRR	Brachypodium	No.Added.Nitrogen	Rhizosphere	4
58-8AY	8AYR	Arabidopsis	Amino.Acids	Rhizosphere	8
59-8AB	8ABR	Arabidopsis	NH4NO3	Rhizosphere	8
60-8AR	8ARR	Arabidopsis	No.Added.Nitrogen	Rhizosphere	8
61-8BY	8BYR	Brachypodium	Amino.Acids	Rhizosphere	8
62-8BB	8BBR	Brachypodium	NH4NO3	Rhizosphere	8
63-8BR	8BRR	Brachypodium	No.Added.Nitrogen	Rhizosphere	8
64-9AY	9AYR	Arabidopsis	Amino.Acids	Rhizosphere	9
65-9AB	9ABR	Arabidopsis	NH4NO3	Rhizosphere	9
66-9AR	9ARR	Arabidopsis	No.Added.Nitrogen	Rhizosphere	9
67-9BY	9BYR	Brachypodium	Amino.Acids	Rhizosphere	9
68-9BB	9BBR	Brachypodium	NH4NO3	Rhizosphere	9
69-9BR	9BRR	Brachypodium	No.Added.Nitrogen	Rhizosphere	9
70-10AY	10AYR	Arabidopsis	Amino.Acids	Rhizosphere	10
71-10AB	10ABR	Arabidopsis	NH4NO3	Rhizosphere	10
72-10AR	10ARR	Arabidopsis	No.Added.Nitrogen	Rhizosphere	10
73-10BY	10BYR	Brachypodium	Amino.Acids	Rhizosphere	10
74-10BB	10BBR	Brachypodium	NH4NO3	Rhizosphere	10
75-10BR	10BRR	Brachypodium	No.Added.Nitrogen	Rhizosphere	10
76-2AY	2AYE	Arabidopsis	Amino.Acids	Endosphere	2
77-2AB	2ABE	Arabidopsis	NH4NO3	Endosphere	2
78-2AR	2ARE	Arabidopsis	No.Added.Nitrogen	Endosphere	2
79-2BY	2BYE	Brachypodium	Amino.Acids	Endosphere	2
80-2BB	2BBE	Brachypodium	NH4NO3	Endosphere	2
81-2BR	2BRE	Brachypodium	No.Added.Nitrogen	Endosphere	2
82-4AY	4AYE	Arabidopsis	Amino.Acids	Endosphere	4
83-4AB	4ABE	Arabidopsis	NH4NO3	Endosphere	4
84-4AR	4ARE	Arabidopsis	No.Added.Nitrogen	Endosphere	4
85-4BY	4BYE	Brachypodium	Amino.Acids	Endosphere	4
86-4BB	4BBE	Brachypodium	NH4NO3	Endosphere	4
87-4BR	4BRE	Brachypodium	No.Added.Nitrogen	Endosphere	4
88-8AY	8AYE	Arabidopsis	Amino.Acids	Endosphere	8
89-8AB	8ABE	Arabidopsis	NH4NO3	Endosphere	8
90-8AR	8ARE	Arabidopsis	No.Added.Nitrogen	Endosphere	8
91-8BY	8BYE	Brachypodium	Amino.Acids	Endosphere	8
92-8BB	8BBE	Brachypodium	NH4NO3	Endosphere	8
93-8BR	8BRE	Brachypodium	No.Added.Nitrogen	Endosphere	8
94-9AY	9AYE	Arabidopsis	Amino.Acids	Endosphere	9
95-9AB	9ABE	Arabidopsis	NH4NO3	Endosphere	9
96-9AR	9ARE	Arabidopsis	No.Added.Nitrogen	Endosphere	9
