#SampleID	alias	Treatment	Plant	Nitrogen	Compartment	Block
HI.5212.006.RPI6.1	1-2AY	2AYS	Arabidopsis	Amino.Acids	Bulk.Soil	2
HI.5212.006.RPI7.2	2-2AB	2ABS	Arabidopsis	NH4NO3	Bulk.Soil	2
HI.5212.006.RPI8.3	3-2AR	2ARS	Arabidopsis	No.Added.Nitrogen	Bulk.Soil	2
HI.5212.006.RPI9.4	4-2BY	2BYS	Brachypodium	Amino.Acids	Bulk.Soil	2
HI.5212.006.RPI10.5	5-2BB	2BBS	Brachypodium	NH4NO3	Bulk.Soil	2
HI.5212.006.RPI11.6	6-2BR	2BRS	Brachypodium	No.Added.Nitrogen	Bulk.Soil	2
HI.5212.006.RPI12.7	7-2CY	2CYS	Control	Amino.Acids	Bulk.Soil	2
HI.5212.006.RPI13.8	8-2CB	2CBS	Control	NH4NO3	Bulk.Soil	2
HI.5212.006.RPI14.9	9-2CR	2CRS	Control	No.Added.Nitrogen	Bulk.Soil	2
HI.5212.006.RPI15.10	10-4AY	4AYS	Arabidopsis	Amino.Acids	Bulk.Soil	4
HI.5212.006.RPI16.11	11-4AB	4ABS	Arabidopsis	NH4NO3	Bulk.Soil	4
HI.5212.006.RPI17.12	12-4AR	4ARS	Arabidopsis	No.Added.Nitrogen	Bulk.Soil	4
HI.5212.006.RPI18.13	13-4BY	4BYS	Brachypodium	Amino.Acids	Bulk.Soil	4
HI.5212.006.RPI19.14	14-4BB	4BBS	Brachypodium	NH4NO3	Bulk.Soil	4
HI.5212.006.RPI20.15	15-4BR	4BRS	Brachypodium	No.Added.Nitrogen	Bulk.Soil	4
HI.5212.006.RPI21.16	16-4CY	4CYS	Control	Amino.Acids	Bulk.Soil	4
HI.5212.006.RPI22.17	17-4CB	4CBS	Control	NH4NO3	Bulk.Soil	4
HI.5212.006.RPI23.18	18-4CR	4CRS	Control	No.Added.Nitrogen	Bulk.Soil	4
HI.5212.006.RPI24.19	19-8AY	8AYS	Arabidopsis	Amino.Acids	Bulk.Soil	8
HI.5212.006.RPI25.20	20-8AB	8ABS	Arabidopsis	NH4NO3	Bulk.Soil	8
HI.5212.006.RPI26.21	21-8AR	8ARS	Arabidopsis	No.Added.Nitrogen	Bulk.Soil	8
HI.5212.006.RPI27.22	22-8BY	8BYS	Brachypodium	Amino.Acids	Bulk.Soil	8
HI.5212.006.RPI28.23	23-8BB	8BBS	Brachypodium	NH4NO3	Bulk.Soil	8
HI.5212.006.RPI29.24	24-8BR	8BRS	Brachypodium	No.Added.Nitrogen	Bulk.Soil	8
HI.5212.006.RPI30.25	25-8CY	8CYS	Control	Amino.Acids	Bulk.Soil	8
HI.5212.006.RPI31.26	26-8CB	8CBS	Control	NH4NO3	Bulk.Soil	8
HI.5212.006.RPI32.27	27-8CR	8CRS	Control	No.Added.Nitrogen	Bulk.Soil	8
HI.5212.006.RPI33.28	28-9AY	9AYS	Arabidopsis	Amino.Acids	Bulk.Soil	9
HI.5212.006.RPI34.29	29-9AB	9ABS	Arabidopsis	NH4NO3	Bulk.Soil	9
HI.5212.006.RPI35.30	30-9AR	9ARS	Arabidopsis	No.Added.Nitrogen	Bulk.Soil	9
HI.5212.007.RPI36.31	31-9BY	9BYS	Brachypodium	Amino.Acids	Bulk.Soil	9
HI.5212.007.RPI37.32	32-9BB	9BBS	Brachypodium	NH4NO3	Bulk.Soil	9
HI.5212.007.RPI38.33	33-9BR	9BRS	Brachypodium	No.Added.Nitrogen	Bulk.Soil	9
HI.5212.007.RPI39.34	34-9CY	9CYS	Control	Amino.Acids	Bulk.Soil	9
HI.5212.007.RPI40.35	35-9CB	9CBS	Control	NH4NO3	Bulk.Soil	9
HI.5212.007.RPI41.36	36-9CR	9CRS	Control	No.Added.Nitrogen	Bulk.Soil	9
HI.5212.007.RPI42.37	37-10AY	10AYS	Arabidopsis	Amino.Acids	Bulk.Soil	10
HI.5212.007.RPI43.38	38-10AB	10ABS	Arabidopsis	NH4NO3	Bulk.Soil	10
HI.5212.007.RPI44.39	39-10AR	10ARS	Arabidopsis	No.Added.Nitrogen	Bulk.Soil	10
HI.5212.007.RPI45.40	40-10BY	10BYS	Brachypodium	Amino.Acids	Bulk.Soil	10
